reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Staff and location brilliant!,"Staff and location brilliant!
Went today before lockdown no2.
Staff and service were brilliant and the pizza are the best pizza express pizzas!

I have been a pizza express customer for at least 30 years and the cooks here are one of the best. A credit to the franchise team.
Thanks guys and good luck for the next lockdown. Let’s hope it doesn’t last more than 4 weeks",Date of visit: November 2020,Pizza Express,1,"Salisbury, United Kingdom"
Brilliant service under covid,"Brilliant service under covid conditions.
Nice atmosphere, busy and a lovely evening out.
The food was good pub food.
Staff were very friendly and Shelly was great too!
Thank you so much and I’m sorry you have to close again for lockdown.
Good luck guys.",Date of visit: November 2020,Fox and Hounds,1,"Wimborne Minster, United Kingdom"
Family room bunk beds with teenagers,"Booked this hotel with 2 teenage boys. 14&15. Given a family interconnecting room.
Crikey: it was a large wardrobe with bunk beds in. Hardly great for teenage boys.
So there starts the teenage rows as they had to sleep on our sofa bed! Now paying for a ‘cupboard’ they can’t use.

Service with a smile...lacking.
Breakfast....mediocre.
Outdoor terrace...not the best service but pizzas awesome!!
View....to die for. And this is simply how this hotel survives. The rest is like a hi de hi.

Stupid covid arrows everywhere which are uncalled for really.

They say no toilets available accept for your rooms. However public toilets are open nearly everywhere now.

Lazy staff and management ????

Look out of your balcony and the old deserted tables, sand and furniture has been stacked there forever. No cleaning has been done during lock down at all.

They need to up their game or reduce their prices as this is a 2-3 star hotel at the most. But in a 5 star area. So don’t expect a lot when you arrive. Wish I had taken photos to show the mess on the terrace.",Date of stay: August 2020,Sandbanks Hotel,1,"Poole, United Kingdom"
Dinner,"I had chicken Caesar salad and my husband had fish and chips.
His looked amazing. Mine...was not worth the money. I couldn’t even take a photo of mine it wasn’t anything to shout about. I was so disappointed because I used to love eating here.

Luckily the atmosphere made up for it.",Date of visit: August 2020,Jazz Cafe,1,"Poole, United Kingdom"
Much better than its sister hotel the sandbanks.,"Our room was basic but lovely and clean. 220. Overlooking old Harry rocks. Divine.
No one can fault the 5 star view.

We had lunch on the terrace. We ordered a bottle of wine and chicken burgers. The food arrived, we ate, and when we finished we had to go to the bar to ask where our wine was. Never known that in my life for food to arrive and not the drinks!!

There was one lady at the bar. She was over worked. In fact, all the staff were. This was disappointing and took away from our relaxing lunch. We complained but not compensation was offered.

Under these Covid circumstances with beautiful weather, and in turn busy occupancy, I don’t understand why the limited staff are being stretched. They could easily employ local people (who are all looking for jobs during this time) and give the guests the service that they are paying for.

The covid floor one way stickers were such over kill that everyone ignored them and were also very confusing anyway.

The pool bar was closed. So there was only one place to order drinks from...and that as I already mentioned was too busy.

There was a guest who we overheard on his phone to lots of his friends saying that the staff were stretched and service not as it should be.

Charge high money for a nights stay then not give the service that people are paying for.

Luckily the sun shone and that’s what made our stay.

No interaction from the reception staff on arrival except for all the covid rules. There must be more personal contact when paying this kind on money.

A massive lack of atmosphere, but I would return purely because I don’t live that far away so it was nice to have a break away with my husband. Shame it was let down by the over worked staff and lack of everything else.",Date of stay: August 2020,Haven Hotel,1,"Poole, United Kingdom"
Quick lovely pub lunch,"Having heard the previous managers were no longer running the pub we decided to pop by for lunch and see if the food had gone back to the great way it used to be.
I ordered the Welsh rarebit which was served with chips and salad.
It was fabulous!
The difference in my review now to the one in August is 100% better!

Joe, the manager back in charge, is turning things back to the way it used to be, good quality, reasonably priced pub food.

Would happily return with the family in tow.",Date of visit: October 2019,The Cricketers,1,"Blandford Forum, United Kingdom"
Poor food,"I am sorry to write this review as we are a local family but this is why we try and support the local pubs, but for hard earned money, don’t want to be disappointed.

I was unfortunately.

To be fair, I had to be honest to the waitress and I did get £5 knocked off my bill.

I ordered Welsh rarebit. I’ve had it before about a month ago so knew it was nice.

It arrived, it was cold when I cut into it (I presume from a freezer heated up?). The chips were the dregs of the fryer.

When I mentioned it to the landlady the reason for the chips was due to the fat frier. This was repeated about 4 times. The chips weren’t ‘whole’ chips, but the broken ends and re cooked. Nothing to do with “changing the fat on a Sunday so it depends on what day you have chips”

The rarebit was cold and thick and didn’t taste of cheese at all. She told me that this was the new recipe.

I agree it was good to have money knocked off my bill, but I still paid for our food, drinks and experience and all I had were excuses (ie my fault for not liking the food).

Would think again about going to this local village pub. Shame as it is a managed pub and no idea what’s going on in the kitchen as the food used to be very very good.",Date of visit: July 2019,The Cricketers,1,"Blandford Forum, United Kingdom"
Slickly disappointing,"Went on a highly recommended review from my cousin.
Attended. Teenage sons ordered pepperoni pizzas (standard!).
Came with mushrooms on.
The waitresses said they would remake without mushrooms.

They actually charged us for 3 pizzas.

So we ordered 2 pepperoni.
Remade without mushrooms. Totals 4.
But because we didn’t read the menu properly they met half way and charged us for 3. Ummmm

Experienced travels around the world and never ever known pepperoni on a pizza.
Customers fault I guess for not reading the menu.",Date of visit: July 2019,Arka Ristorante&Pizzeria,1,"Bodrum City, Turkey"
5 out of 10,"We have spent a lot of time in Turkey in the past. So no offence meant by my comments but to me the holiday experience is about being there and seeing what’s out and about.

All inclusive, you don’t see any of this.

Luckily Bodrum is a 6-7 euro taxi ride away and we went out 5/7 nights to town. Purely to see the shops/market, buy nice ice cream, eat nice food and soak up the atmosphere.

At the TUI hotel I would say the following:

WIFI -
Excellent, even at the beach and never drops out.

ROOMS -
Mattresses...no different to lying on a sun lounger so we were really looking forward to getting home to our own beds.

Mini bar - they tell you they restock the water every day and it’s free. It is free but they don’t restock it every day so be prepared to bring water back from the bars to your room. Soft drinks - they said the fridge is free first time round and then they charge afterwards to restock this. Utter rubbish as there is no way of policing that.

Balconies - main building - tiny!! Worth paying for a sea view though, as we did, otherwise you could have no view at all.

Cleaning - very good and ladies very sweet.

Mosquitos - yes they are around so keep your doors shut!

Check out - have to vacate the rooms by 12pm. You have to pay more to keep the room until later. DONT! What they don’t tell you is that you store your bags in the reception area, then you can shower for free at the spa (all ages) and this saves you a few bucks.

FOOD:
. Not to our liking really.
Repetitive
Ice creams - 1 out of 10.
Hot chocolate machine for the kids - quite often not working.
I’ve probably let come home slimmer than when I arrived!

POOL:
Lilos....everywhere!
Reserve beds....yes.
Could we be bothered....no!

My husband witnessed, at the pool bar, a girl/lady asking the bar staff to fill up a babies bottle with coke. He did a double take, and when they filled it with coke she screwed on the teat. It was for a baby. No wonder there are health problems around the world! Maybe that is more a personal comment or judgement of class of people around the world, but not whom we would choose to holiday with.

TUI - on the whole okay, but your reception staff need to speak better English and the restaurant needs to up their game.

Would we return - no.
Did we have a nice holiday - yes ish!
Family of 5:
Myself and my husband.
Daughter aged 16
Sons aged 13 & 14.
None of us said we would do all inclusive like this ever again.

But it is what it is, and once again, I seriously need to up our budget!!!

Happy holidays!",Date of stay: July 2019,TUI MAGIC LIFE Bodrum,1,"Bodrum City, Turkey"
Perfect day on a boat,"Where do I start?!
Fabulous hosts, beautiful boat, clean and tidy!
Lyn was such great company with brilliant communications about our trip from first enquiry to the actual day.

We went with our 3 teenage children and another family so it was more or less private hire.

The food was amazing, salad, chicken and pasta for lunch, fruit for afternoon snacks. All lovingly prepared.

We saw all the pirate and busy boats pass us by playing loud music and we were so glad not to be on them!!

As and when we return to Bodrum we would book again, and we would highly recommend this boat.

Lyn took so many lovely photos of us and the children jumping in. To care about your guests is lovely. And we got on so well, it was like being with friends!

Thank you guys and we wish you a wonderful summer. Xx",Date of experience: July 2019,Adorya Daily Private Boat Trip,1,"Bodrum City, Turkey"
