reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Fantastic Bar,"We've been coming to Svoronata now for 3 years and absolutely love this bar , it's a great chilled out place that plays fab rock music and Nikki the owner is a wonderful, friendly host and is so welcoming, she also serves top drinks too , can't wait to see you next year in June and September lot's of love from Jane & Phil",Date of experience: September 2019,Legends Music and Cocktail Bar,4,"Cephalonia, Greece"
Great Holiday,"We have just recently returned from 2 weeks at this fantastic hotel, the Astra Village is set in such a lovely location everything was just perfect , from our room which was kept lovely and clean by our maid, to all the staff who are very welcoming and friendly, special thanks to Chris and Alex in the bar who are such lovely guys, this was our second stay and we have booked to return again in June and September 2020 see you next year.
Jane & Phil xx",Date of stay: September 2019,Astra Village Hotel & Suites,4,"Cephalonia, Greece"
Beautiful Day,"What a fantastic day we had with the lovely George and Petros on the Queen Bee Boat, they were such fabulous host's , we were met with a hug from the lovely George and set sail for the day we had 2 stops for swimming and exploring and lunch was served ( made by their Mamma ) it was very very delicious and thank you Petros for checking about the red wine vinegar in the salad then we had another stop for more swimming and exploring and a bit of a mud exfoliation from the mountain which was good fun.
Thank you both for your hospitality and a brilliant day we loved it and will be definatley booking for September next year.",Date of experience: September 2019,Kefalonia Trips QueenBee,4,"Cephalonia, Greece"
Amazing Day ❤❤,"This was our 3rd trip on this working fishing boat and what a wonderful day we had, Antonia and Michalis are fantastic host's and such lovely people, we were met with Greek coffee and cake at 8am and then set sail to the fishing net's and Magda brought the catch in , there were all kinds of different fish, we swam in the beautiful blue waters while lunch was prepared, the food was beautiful, and the freshly caught fish was cooked we had a wonderful day and will be coming back again next year, this is a fantastic trip you will not want to miss, thank you Antonia, Michalis and Magda we will see you very soon.",Date of experience: September 2019,Fishing Tourism Kefalonia Michalis,4,"Cephalonia, Greece"
Best Day,"This was our 2nd trip with Michalis Antonia and Hasan, it was fabulous just like last September, the catch was amazing , and the freshly cooked food was so beautiful , tasty and plentiful, we had lobster spaghetti, fresh lobsters, all kinds of different fish , Potato salad, fish soup , salad and lot's more .
This trip is an absolute must you don't want to miss it, it's so much more than just going out on a boat, you get to watch the working Fishing boat at work and eat the delicious catch , and what beautiful people who make you feel very very welcome , and Antonia is hilarious.
See you all in September for our third trip , we are already looking forward to it.",Date of experience: May 2019,Fishing Tourism Kefalonia Michalis,4,"Cephalonia, Greece"
Wonderful Day with Beautiful People,"We had a wonderful day on this working fishing boat and are so glad we choose this over a ' normal boat trip '
My husband and our 2 friends were greeted with Greek coffee and homemade
cake by Antonia and made to feel very very welcome, it was one of the best day's of holiday, we watched as Hassan brought the nets in full of all different types of fish, the food we ate was beautiful cooked by Michalis and Hassan fresh fish , fresh salads , Octopus spaghetti , potato salad,and more, Antonia even made me a seperate batch of one of the dishes as i am allergic to red wine , we had lots of time for swimming also , Antonia, Michalis, Hassan and Nikki thank you for once again you are such beautiful people and Antonia you are so funny I loved your sense of humour, we will be back next year and are already looking forward to another trip with you all.",Date of experience: September 2018,Fishing Tourism Kefalonia Michalis,4,"Cephalonia, Greece"
Amazing Holiday.,"We have just returned from 2 weeks holiday at the Astra Village and we had a wonderful time. It's a beautiful hotel in a beautiful setting, the breakfast was lovely and so much to choose from and the bar snacks were equally as nice , we didn't get chance to eat in the Elias restaurant .
Special thanks to the lady who kept our room lovely and clean every day and also Chris behind the bar who was lovely and friendly and made a very good Zombie Cocktail and not forgetting Alex also who was equally as friendly.
We loved every minute of our holiday and Svoronata and are hoping to return again the same time next year, thank you all once again see you soon.",Date of stay: September 2018,Astra Village Hotel & Suites,4,"Cephalonia, Greece"
Another Fab Holiday at our favourite Hotel on Santorini,"Well what can I say that I haven't already said about this hotel, stayed here for 18 days in August/September and it was amazing as usual and in the perfect location right on the Beach.
We stayed in a room at the back which was spacious and clean, George,Evie, Manos.Nikos and all the staff cannot do enough for you, nothing is too much trouble, this was our 8th time to Santorini and our 6th time staying at the Seaside, we have already booked to go back again in May for a week.
Also their restauraunt is lovely as well, the food is homecooked and very tasty, we have tried most things on their menu.
They make the best Mojhito on the Island, and let me tell you I have tried many and The Seaside's are by far the best, special thanks to the staff Nikos, Mario,Gregory and Mariabelle for making these Mojhito's and looking after us for our 18 days of bliss.
Cannot wait to see you all in May 2015.",Date of stay: August 2014,Seaside Beach Hotel,4,"Santorini, Greece"
Tasty Greek Food,"During our stay at The Seaside Beach Hotel we must have dined in the restauraunt at least every other day, the food is home cooked and very tasty as always and at very reasonable prices, the service was excellent and the waiters were lovely. I would say my favourite meal was the Kleftico and i loved the Spaghetti Bolognese, i would highly recommend eating here and i will be going back next year.",Date of visit: September 2013,Sea Side Restaurant,4,"Santorini, Greece"
Wonderful Hotel,"We have just returned from 2 wonderful weeks at The Seaside Beach Hotel, this was our 5th stay . From the moment George picked us up from the airport and Manos dropped us back for our return journey it was perfection for 2 weeks. We stayed for the second time in room 25 and it was a spacious, spotless clean lovely room, in a peaceful location at the back of the hotel . The beach is right in front of the hotel, what more could you ask for, i would not stay anywhere else in Santorini . Oh and the new seating area at the front is wonderful, we spent most of our evenings there drinking wine and the lovely cocktails made by Nikos and Mirabelle watching the world go by and chilling out . The family are so very warm and friendly and cannot do enough for you George ,Manos,Nikos,Evie, Maria and all the staff we shall see you next year",Date of stay: September 2013,Seaside Beach Hotel,4,"Santorini, Greece"
Great Food,"This was our second time to Kiwi, we dined here in September 2011, and the food and service was excellent on both occasions, the staff are very friendly and we were very impressed with everything overall, there were 5 of us and we all had the Chicken and Sweetcorn soup and Ribs to start with , and i has Sweet and Sour Chicken with Rice . I would highly recommend this Chinese Restauraunt if you fancy a change from all the lovely Greek food that's on offer in Kamari.",Date of visit: September 2013,Kiwi,4,"Santorini, Greece"
