reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Nice meal,We ordered much to much food but finished it all which says something. We enjoyed all the dishes we had.,Date of visit: July 2020,Dragon Pearl Chinese Restaurant,1,"Paignton, United Kingdom"
Good old fashioned fun,Nice to go on a pier where you are not charged or inundated with crap. Lots of flashing lights and electronic ways to spend your money.,Date of experience: July 2020,Paignton Pier,1,"Paignton, United Kingdom"
So good we went twice,"Definitely a lucky find we all enjoyed everything thing we ordered. Great pizzas, burgers and the beer I had was fantastic. All staff we encountered were welcoming, friendly and helpful. We even went back the next day for breakfast which was also really good. Great view from inside the building.",Date of visit: July 2020,Shoreline,1,"Paignton, United Kingdom"
Nice Pint,Called in for a cheeky pint which was only £3 so had a couple. Pub is not very salubrious but it has something about it. We didn't eat but the food others had did look good.,Date of visit: July 2020,The Horse and Groom,1,"Ivybridge, United Kingdom"
Friendly Welcome,Even as a walk in during the time of covid we were afforded a fantastic welcome. We had only called in for a drink but also ended up ordering food off takeaway menu (which was excellent and cheap). We enjoyed the beer garden though it was in shade when we were there in the early evening. Only downside was the lack of the choice of draught beers though to be fair it was very well kept and the reason for this is how quiet the pub is due to the current times.,Date of visit: July 2020,Anchor Inn,1,"Ugborough, United Kingdom"
Wow,"Only visited this hotel to have a cream tea. Simply stunning. We walked both ways as low tide and all around the island so got to see the hotel from all angles. We enjoyed everything both in and out of the hotel. Now saving up for a return visit, staying next time.",Date of stay: July 2020,Burgh Island Hotel,1,"Burgh Island, United Kingdom"
Fantastic walking,Some steep up and downs but well worth the effort to be able to visit little coves and spend time enjoying the views.,Date of experience: July 2020,South West Coast Path - Burgh Island,1,"Bigbury-on-Sea, United Kingdom"
Quick Pint,Had a quick pint at the end of a visit to Burgh Island? Nice beer on a fantastic island. Came in a plastic glass so even got a souvenir.,Date of visit: July 2020,The Pilchard Inn,1,"Bigbury-on-Sea, United Kingdom"
Nice beach,Good looking beach a short walk from Bigbury. Nice looking cafe bar overlooking beach some parking which is much cheaper than Bigburys pay and display.,Date of experience: July 2020,Challaborough Beach,1,"Bigbury-on-Sea, United Kingdom"
Might just have found my new favourite beach,Wow we seriously loved this beach only came the Bigbury as we had booked for a cream tea on Burgh Island on a day the weather was due to be cloudy. However the sun shone so we spent a day on the beach. Lots going on but even on a busy day lots of space. No doubt this would have changed if the tide was in.,Date of experience: July 2020,Bigbury-on-Sea Beach,1,"Bigbury-on-Sea, United Kingdom"
First Visit,"Went with friends in the pre Covid 19 days. The place was suprisingly busy (and remained so) despite us just missing the happy hour. The cocktails we had were mostly excellent, mixed from memory and done the proper way with staff even scorching orange peel as part of a Negroni. We had a few drinks leading to headaches the next day. One round was a little inconsistent but this was corrected. The prices initially seemed higher than average but were worth it.",Date of experience: March 2020,Monk Bar,1,"Sheffield, United Kingdom"
