reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Fantastico boat fishing,"Best sea fishing I have experienced, great crew with a fantastic skipper Capitano Ali,we all caught fish and all thoroughly enjoyed the trip .
From 8.00 till 13.00hrs,take a hat,light jacket,and sun lotion,drinks and lunch provided",Date of experience: December 2019,FISHING in Fuerteventura,1,"Fuerteventura, Spain"
Bellisimo,"Great welcome and greeting food was excellent we had the fried goats cheese and crab and crayfish starters for mains king prawn penne and seafood ravioli, small bottle of mateus and a couple of draught moretti,superb food and pleasing value at £70 inc tip",Date of visit: July 2020,tuscany TOO,1,"Scarborough, United Kingdom"
Wonderful place to stay,"Welcomed at the door by Johnathan and immediately felt that we had chosen a gem ,felt very safe with the precautions under the current way of the world.The room and seaviews were extra special as was the stunning breakfast and brilliant friendly staff ,there should be 10 stars for this wonderful place",Date of stay: July 2020,Mansion House Scarborough,1,"Scarborough, United Kingdom"
"No chicken wings,no rice and no Sanges lager","Food and staff excellent as usual how on earth does a busy restaurant run out of basics? It not the biggest menu and an they not get in emergency Stoke from another Nandos
A boer mark a plan",Date of visit: September 2019,Nando's Lincoln,1,"Lincoln, United Kingdom"
Very expensive matched by poor quality,"Worst food I've had for years the starter of ham hock terrine looked like a tin of corned beef that had been shot with frozen peas
Had to pay £45 per chalet just to get in, extortion that leaves a taste as bad as the the food,go elsewhere
The waiter service was very attentive",Date of experience: September 2019,Tattershall Lakes Country Park,1,"Tattershall, United Kingdom"
Underwhelming,"Booked a table for two explaining it was my wife's birthday and they said they would organise something a little special with a Spanish theme,they organised the worst table in the freezing cold corridor next to the kitchens ,we ordered the food and had to ask for the heaters to be turned on ,the food was very good and served promptly.
We then had to ask for the bill three times oh the special surprise is still coming they forgot",Date of visit: April 2019,Ole Ole Tapas Bar & Restaurant,1,"Lincoln, United Kingdom"
Wonderful welcome and great fopd,"Speedy gonzalo and his team were their usual excellent selves with great greeting and excellent service
Always amazing value as well",Date of visit: March 2019,Fado Rock,1,"Fuerteventura, Spain"
Outstanding food and atmosphere,"Wonderful ambiance matched with attentive knowledgeable staff
I had the lamb cutlets which were wonderful and my partner had the pork loin.The bill was 56 euros which is great value for a wonderful dining experience. A big GRACIAS to Gerrard and his fantastic team",Date of visit: November 2018,Tuxedos Restaurant Chill Out,1,"Fuerteventura, Spain"
An awesome restaurant experience,"The minute we walked through the door we were treated like old friends the drinks were ordered and arrived promptly and the waiters were very knowledgeable regarding the various dishes the theatre of the food being cooked by the waiter at your table was marvellous, The food is sublime we had the mixed meat grills and shared this with the the chicken kebab.The team led by speedy gonzalez
are a credit to customer service and is our best restaurant in correlejo
The big shock was the bill arrived
Only 65 euro
Highly recommended restaurant",Date of visit: November 2018,Fado Rock,1,"Fuerteventura, Spain"
Excellent experience and knowledgeable salesperson,"Visited whilst on a general trip to Rutland reservoir and was just looking for a bike purchase next year met Michael a sales representative there who explained the full giant range and qualified what I wanted a bike for and his suggestion was one I hadn't even considered ,well I bought the bike got two years 0% and PDI the bike there and then wonderful service from all the staff",Date of experience: October 2018,Giant Store Rutland,1,"Edith Weston, United Kingdom"
