reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Best trip ever,We had an amazing day with Nansy and Giannis on their beautiful fishingboat. Nice catch of the day ...Nansy and Giannis are so helpfull all day long. While Nansy was preparing the fresh fish we caught we could go for a swim . Waaw... really amazing.Food and wine drinks music and lovely people what more do you need For sure i'll be booking Samos fishing trips again next year.,Date of experience: July 2019,Samos Fishing Trips,4,"Samos, Greece"
Super,Mega lekker..super bediening. Spare ribs om vingers en duimen af te likken alsook de ossenhaas met petfecte cuisson. Waren al fan en dat blijven we ook.,Date of visit: April 2019,Tante Julia,4,"Hasselt, Belgium"
Holiday,Zeer gezellig...mooi groen. Super vriendelijke bediening lekker eten en een leuk muziekje erbij. free sunbeds and good wifi,Date of experience: July 2018,Mare Deus Beach,4,"Samos, Greece"
Scorpios is gewoon TOP,"Absolute aanrader voor een rustige vakantie, hotel met prachtig uitzicht over de baai, een heerlijk Grieks ontbijt met altijd een verrassing die Nancy in petto heeft.Voor die prijs kan je nergens zo uitgebreid ontbijten. Zalig zwembad met handdoeken, nette mooie kamers , heerlijk bed romantisch gevoel met de gordijntjes! service was top , wordt met hart en ziel uitgebaat.Nancy maakt heerlijke frappé met Baileys. Ze vertelt je ook waar je goede restaurants vind naarmate wat je zoekt. Bv. Artemis heerlijk eten daar! Wij gaan zeker terug want dit is dubbel en dik genieten! Scorpios -> the best...c u agian !",Date of stay: September 2015,Scorpios Hotel &Suites,4,"Samos, Greece"
Zeer lekker !,Zeer lekker en prachtig uitzicht..neem zeker de aanbevelingen op de speciale kaart! Leuke vriendelijke bediening,Date of visit: September 2015,The Steps,4,"Samos, Greece"
Romatisch en lekker,"prachtig uitzicht op de baai van Samos, heel gezellig en lekker vooral de lamb in oven en de lambchops!",Date of visit: September 2015,Tassos Restaurant (Close),4,"Samos, Greece"
top,"zalig eiland...hebben 15 dagen een motor gehuurd, bijlange nog niet alles gezien dus gaan zeker nog terug",Date of experience: September 2015,Samos,4,"Samos, Greece"
Eten op het strand,Heerlijke visschotels geweldige bediening...harde werkers en ondanks soms de drukte blijven ze megavriendelijk. Je kan bij mooi weer eten op het strand....genieten van prachtige zonsondergang,Date of visit: September 2015,Meltemia,4,"Samos, Greece"
Top ! Mijn favoriet,"Uitstekende Griekse keuken bereidt door de vrouw des huizes...Nikos en 2 zonen..geweldige bediening en achteraf altijd een grieks dessertje aangeboden door niko. Lamb in oven...chicken in lemon sauce ; youvetsi , mixgrill , dolmades, enfin alles gewoon top!",Date of visit: September 2015,Artemis Taverna,4,"Samos, Greece"
Paradijs,Het mooiste strand ...zeer rustig gelegen echt paradijs! leuke beachbar met kleine gerechtjes maar zeer lekker! Tonijnsalade en greek salade en heerlijke frappe bailleys,Date of experience: September 2015,Livadaki Beach,4,"Samos, Greece"
