reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Bästa ölhaket i gävle.,"Absolut det bästa ölhaket i Gävle helt klart. Denna gång testade jag även maten, kan verkligen rekomendera det. Grym burgare! Fantastisk personal som är ölkunniga och trevliga.",Date of visit: May 2019,Trivs Pub & Restaurang,1,"Gävle, Sweden"
Nothing to complain about.,"I really liked this hotel. Good food at the restaurant, nice rooms, the poolarea are always clean and the staff that works there are the best. If u go to rhodes u should book this hotel. Only 15 minutes away from Rhodes town.",Date of stay: September 2018,Villas Duc-Rhodes,1,"Rhodes, Greece"
Wonderful trip!,"Had a lovely day with fishing, snorkelling and BBQ. Nothing to complain about. Love the guys who works on the boat.",Date of experience: September 2018,Makarounas Fishing Trip Rhodes,1,"Rhodes, Greece"
Bad experience,"The rooms where decent. But ants and cockroaches in The shower. Very bad maintaned facilities. We had to ask for fresh towels and toiletpaper. No wifi in The rooms and The cable to our tv was ducktaped..
The food at the resturant was nothing to brag about. And warm drinks every time at the bar!
Bad service overall. Should not be called a resort!

Choose a different hotel in this area.",Date of stay: January 2018,Subic Waterfront Resort and Hotel,1,"Luzon, Philippines"
Nice hotel,"We stayed at this hotel for 1 night. Really Nice rooms and a shower that worked, finally! And The stuff was very helpfull. The only thing that I can complain about was the location. And all of The Roosters outside that waked you up in The morning",Date of stay: January 2018,OYO 124 Blue Dawn Boracay,1,"Panay Island, Philippines"
Magiskt!,"Blev tipsade av en vän om just detta ställe. Mysig atmosfär, jättebra bemötande och maten var helt magisk. Vi tog avsmakningsmenyn och fick 9 rätter. B la var det sushi, spicytuna taco, vårrullar med anka m.m.Finns absolut ingenting att klaga på. Verkligen jättenöjda och kommer definitivt komma tillbaka :)",Date of visit: January 2018,Ping Pong,1,"Sundsvall, Sweden"
Real greek cuisine! 😃,"Very Nice staff, really Good food. This resturant is worth a visit.

This is the place where the greek People go and eat also.",Date of visit: December 2017,Aspri Avli Garden Restaurant,1,"Rhodes, Greece"
Real mexican food!,"I wanted to try chicken Mole. The didnt had it in The meny but still they fixed it for me. Omg, it was so delicius Im definitely coming back before im going back to Sweden.",Date of visit: March 2017,Nativo,1,"Playa del Carmen, Mexico"
Best burrito I've ever had! 😍,"Like I said, The best burrito I've ever eaten. And the service was Amazing. If you go to cozumel you should definitely eat att this place.",Date of visit: March 2017,CRAZY KING Burrito,1,"Cozumel, Mexico"
Allt är hembakat! :D,Älskar riktiga konditorier där allt bakas på plats. Supertrevlig personal och stor variation av bakverk. Rekommenderas verkligen! :),Date of visit: September 2016,MALMBORGS KONDITORI,1,"Jönköping, Sweden"
Medelmåttigt,"Helt okej mat om man ska ut och äta med vänner och ha en trevlig kväll allmänt. Sånt jag kan störa mig lite på är att dom heter En italienare och en grek, men har planka på menyn. Men håller med andra omdömen att personalen vill ju bara gå hem. Ett leende skulle ju inte skada!",Date of visit: September 2016,En Italienare & en grek,1,"Jönköping, Sweden"
Really good burgers!,If you are tired of The greek food and likes great burgers you should definitly try this place. I liked it alot! :),Date of visit: October 2015,Boston Burger bar,1,"Rhodes, Greece"
Supermysig atmosfär!,Jättemysigt ställe i Ialyssos. Och riktigt god grekisk mat. Vi tog grekisktallrik för 2. Jättemkt mat! :),Date of visit: October 2015,Kostas Village Taverna Ialyssos,1,"Rhodes, Greece"
Dåliga förhållanden till djuren.,"Åkte till denna djurpark idag. Det var hemskt att se alltihopa. Har nog aldrig varit på en djurpark med så dåliga förhållanden till djuren. Trasiga inhägnader, sjuka/för smala djur, för små inhägnader till t ex kamelen, kängurun och speciellt babianen. Den stackars apan hade nog minsta inhägnaden på hela stället. Näe, jag rekommenderar inte detta ställe.",Date of experience: October 2015,Farma of Rhodes Petting Zoo,1,"Rhodes, Greece"
God mat och bra service! :),"På detta ställe kan du få det mesta i matväg. Mkt mat och god såklart. Jättetrevlig personal!
Har menyer på många olika språk och också.",Date of visit: October 2015,Zum Zum Restaurant,1,"Rhodes, Greece"
Riktigt god grekisk mat!,Supergod grekisk mat. Men bara Thomas själv gör det värt att gå tillbaka.Vilken trevlig människa! Rhodos behöver fler sådana här ställen! :),Date of visit: October 2015,Thomas Taverna Restaurant,1,"Rhodes, Greece"
