reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Fabulous,"What a great night. Interactive and fun. So much talent. Singing, comedy, acrobatics. Can’t wait to take other family members. So much fun!!!",Date of visit: July 2019,Teatro ZinZanni,4,"Seattle, Washington"
Highly recommend!!,We decided to do this trip...different from all the sunset cruises that are offered. We are so glad we did. Anthi was great as were her crew. Interesting to see how the traditional fishing is done. The onboard lunch of all the fish caught was exceptional. You can partake in as much or as little as you wanted. I would highly recommend this excursion over the regular catamaran cruises. She comes from a long line of fisherman. Nice to see a woman at the helm. Probably one of best days on Santorini. Thank you!!!!,Date of experience: June 2019,Santorini Traditional Fishing Experience with transportation,4,"Santorini, Greece"
Excellent,"The hotel we stayed at recommended this restaurant and we were not disappointed. It does not have the view that most are looking for when visiting Santorini but why do you need the view every night? The fava appetizer was delicious. We could have had a second order and called it a meal. It was that good. Helen told us how she made it, and yes I will attempt the instructions she gave. I ordered the chicken with lemon and herb and again, it was delicious. My husband had the lamb souvlaki and thought it was fantastic. The whole experience was great. Small and intimate restaurant. The staff when needed were warm and served with a smile. We have several more days in Santorini and we will definitely be visiting again. These negative reviews I read must have been people that either don’t travel much or people that cannot be pleased. Ignore those reviews. One of the best meals we have eaten in Greece so far.",Date of visit: May 2019,Nikolas Restaurant,4,"Santorini, Greece"
Fantastic,"We were part of a tour group that had a cooking class here. Unfortunately we did not have the opportunity to stay in the accommodations. What we did see of them, which Erwin kindly showed us, was just lovely. The property overlooks the quiet country side. Something that is right up our alley. Back to the cooking class. The class instruction was easily followed and they encouraged each of us to take part. The final meal was absolutely delicious. I will definitely be recreating it soon. The family are so sweet. A good balance between friendly and professional. I would definitely revisit this place again if visiting the area. A wonderful experience. Thank you!!",Date of stay: June 2018,Hofgut Hafnerleiten,4,"Bad Birnbach, Germany"
"Great people, great place!!","We had the chance to visit the farm and meet the family. This place has so much to offer. If you haven’t tried the bread, you absolutely have to!! I was partial to the olive bread. The amount of plants was impressive, the fresh produce delicious. You can tell they love what they do. A little bit of everything and everything done so well. The family are one of the most lovely I have met. Definitely stop by when you’re passing through. You won’t be sorry.",Date of experience: April 2018,Eleuthera Island Farm,4,Eleuthera
Beautiful Resort,"We had a large organized trip for the last week of January ‘18. We have visited a lot of resorts and this one is probably my favourite. It was small enough that we were able to see every one walking about. We did have events most evenings and visited all restaurants. Our first and last dinner was at Aqua with a private table set apart. Food was outstanding on both nights. Thanks so much Mauricio and Luis, your service was great. Next was Portafino, Himitsu and Seaside Grill in that order. There are a few other places to grab breakfast and lunch or quick snack. Drinks at bars are above grade. We were spoiled with the Presidential Suite so I have absolutely no complaints with the room. Very roomy both inside and out. The entire staff are so friendly and helpful. And they are sincerely happy to help. Not once did I feel that anywhere was crowded like those huge resorts. I much prefer this size. I think they have about 200 rooms. Wildlife...monkeys, parakeets, iguanas, all types of birds outside our room. Loved seeing them all. It’s a short ride from the airport but never heard an planes overhead. Yes it is hilly, we walked most everywhere but the odd time took a shuttle which was always running and never a wait at all. Would it have been different if we weren’t with a big group? I don’t think so after reading the other reviews. This is a great resort with great food and especially great staff. Pura Vida!! Thank you so much.",Date of stay: January 2018,Secrets Papagayo Costa Rica,4,"Gulf of Papagayo, Costa Rica"
Great spa...wonderful staff,"I have been a client of Tiffany’s at Let it Heal for around 10 years or more. It’s safe to say I have made the move with them every time (like many others undoubtedly). That says a lot about the service they offer and the people they are. With their recent addition of a new business, Spa in the Village, it only made sense to move downtown Burlington to incorporate both businesses under one roof. I treated both my mum and daughter for their birthdays recently, and was enjoyed by all. They had facials and pedicures and I chose aromatherapy massage and manicure. The staff are wonderful, the building decor is beautiful and services that were received by us were very good. Give yourself an hour or two to unwind and relax, or purchase a gift certificate for someone in your life who you think deserves some time for them. These girls are great!! I live in the states now but every time I come to visit I book an appt. I will continue to do so and now with the option of additional services I just may need to spend a day rather an hour hahaha. On a side note, there is some beautiful artwork hanging in the spa that is for sale. Done by one of their talented employees. Be sure to check them out as well. Good luck ladies. I am sure your new adventure will be a success!!",Date of experience: December 2017,Spa in the Village,4,"Burlington, Canada"
Outstanding,"Outstanding
We recently stayed at Douglas Park Guest House for 5 nights and we loved it. Ken and Shona were so warm and welcoming throughout the entire stay. We stayed in room 3 that overlooks the water. What a view to wake up to every morning!! Bed was most comfortable as well. There is plenty of food for breakfast including fully cooked...delicious. The house itself is beautiful inside and out. You can tell they love what they do. It is a short walk to town (20/25 min). Two ferry docks within easy reach, loads of hiking. It is probably the best B and B we have stayed at. I think that has a lot to say about the owners. Again, very warm and welcoming and they will make sure your stay is the best possible. Can't forget Tilly. Lovely little dog if you're missing your own. Very highly recommended. Miss their hospitality already. Along with their haggis!!",Date of stay: August 2017,Douglas Park Guest House,4,"Dunoon, United Kingdom"
Great restaurant,We visited this restaurant twice in our five night stay in Dunoon. great service and food was excellent. One of the best pizzas we have tasted this side of Italy. You also have to try the gingerbread cheesecake!!!you will not be disappointed. Do call ahead to book a table because they fill up fast.,Date of visit: August 2017,Livingstone's,4,"Dunoon, United Kingdom"
Wish we could have stayed longer,"We stopped overnight and wish we could have stayed longer. I can't say enough about how beautiful a spot this is. The staff were great, food was excellent. On our overnight stay the Power went out but they continued with their service as best they could... which was great. I couldn't get my dessert but they delivered, as requested, to have it for breakfast. It was the best bread pudding ever...was delighted with the custard that arrived with it. Nice finish to my breakfast. Thanks Ben for passing that request on. It's the little things that make holidays special. Thanks for that. Loads of great hiking and beautiful views. Will highly recommend this to others passing through. Thank you for your service and attention John, Jess, Ben and all the others we did not have a chance to meet.",Date of stay: August 2017,Haweswater Hotel,4,"Bampton, United Kingdom"
