reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Fantastic food!,Never visited before but we will definitely be back. The food was delicious to go with the modern decor. Fairly priced for the portions received and staff are very friendly! 5*,Date of visit: September 2019,The Red Lion,4,"Hawkshaw, United Kingdom"
What an experience!,"We were bought a ‘Gincident’ tour as a gift and what an experience this was! We knew we were going to try some gins but not to this scale, just look at the photos! Tom who hosted the event was fantastic and introduced us to the famous ‘Helga’ story, whilst having us in stitches all the way through. We also won a bottle of gin and my partner smashed the ‘Gin Face’ game! Rum tour next with a few friends but you will absolutely love being part of a cruise if you get yourself booked in! Thanks to everyone involved!",Date of experience: June 2019,The Liquorists,4,"Manchester, United Kingdom"
"Great, private speakeasy!","We’ve been to The Washhouse on numerous occasions previously and we will always return. It’s rare to find a small, intimate location where you can actually hear your partner speak and enjoy a quality drink without being surrounded by pretentious people in Manchester. The staff here are brilliant and always make you feel welcome. If you want to get away from the usual Manchester life, book a table here and you won’t be disappointed!",Date of experience: May 2019,The Washhouse,4,"Manchester, United Kingdom"
Always love it here!,"Re-visited here with the partner for our anniversary and we are never disappointed. The staff are always really friendly and welcoming and compared to other ridiculously expensive establishments, Gino’s gives you quality food at a fair price. Definitely be back!",Date of visit: May 2019,Gino D'Acampo,4,"Manchester, United Kingdom"
Great views and scenery!,Great on a warm day to walk to and enjoy the surrounding scenery. You can help yourself to some water too if you have a bottle spare!,Date of experience: May 2019,Chalice Well,4,"Glastonbury, United Kingdom"
Awesome place to visit!,"We visit Glastonbury once a year and we’re so happy to find this place! Definitely on our list for future visits as a ‘must’. Staff were very friendly and welcoming, the food was perfect and the drinks that were available were refreshing and made you want more. The Appleflopper we tried is one of the best ciders I’ve ever tasted. Keep up the good work guys, we will be back!",Date of visit: May 2019,Rose and Portcullis,4,"Butleigh, United Kingdom"
Gets better with every visit!,"I visited when I was a lot younger and only remembered going through caves, however visiting at a later stage in life, you take in the cool air and stunning cave formations. Cheese is stored in the caves, giving the perfect temperature for storage, as well as numerous wedding ceremonies and divers exploring even further! More of the caves were open to the public and it seems the more that’s discovered, the bigger the tour will be. Make sure you get some cheese or at least try some, you won’t be disappointed!",Date of experience: May 2019,Wookey Hole Caves,4,"Wookey Hole, United Kingdom"
Great tasting food!,"Accidentally stumbled across The Ashcott as we were due to eat somewhere else, but due to a power cut, a member of the local community recommended we visited here. Great food available with friendly staff with portions being a great size too! Definitely return to The Ashcott on our return to Wells / Glastonbury!",Date of visit: May 2019,The Ashcott,4,"Ashcott, United Kingdom"
So good we took back litres of the stuff!,"A tradition through generations brought us to The Somerset Cider Brandy Company. A very popular place with the locals and tourists, selling ‘proper’ cider as well as other unique drinks. Be back next year to pick some more up!",Date of experience: May 2019,Somerset Cider Brandy Company,4,"Martock, United Kingdom"
Like being a child all over again!,"When you open the door, it’s like taking a step back in time to when you were a child. It took me ages to figure out what I wanted and I could’ve easily spent so much! Great to see shops like this still around.",Date of experience: October 2019,Ye Olde Sweet Shoppe,4,"Wells, United Kingdom"
Stunning piece of architecture!,The photos taken don’t do this building enough justice. The rain was hammering it down as I was taking photos and admiring what was standing before me. Great to see up close and from a distance.,Date of experience: May 2019,Wells Cathedral,4,"Wells, United Kingdom"
Great place to relax and soak in the architecture!,"Not being local to Wells at all, we wanted to visit for the local culture where we stumbled across The Bishop’s Palace and Gardens. Very peaceful and a lovely plot to stroll around and admire.",Date of experience: May 2019,The Bishop's Palace and Gardens,4,"Wells, United Kingdom"
Great place to stop off for a cider or two!,"Friendly, warm welcome and a good selection of drinks available. Most definitely worth a visit if you are in and around Glastonbury!",Date of visit: May 2019,The George and Pilgrims,4,"Glastonbury, United Kingdom"
Awesome food and drink!,We’d been recommended this place and it definitely lived up to the expectation. The cider available was fantastic and the food tasted amazing! Keep up the great work!,Date of visit: May 2019,The Who'd A Thought It Inn Restaurant,4,"Glastonbury, United Kingdom"
Home away from home!,"First glamping trip with the partner and this place has set the bar ridiculously high! The complex was spotless and well kept, with a great range of accommodation on-site. A private fishing pool was also available to us which we took full advantage of - I’d recommend fishing on prawn for some good fish! If you get the opportunity, order a pizza from the cart that visits on site as they were delicious! Plenty of facilities available too if you don’t wish to move from the site! Be back next year!",Date of stay: May 2019,Old Oaks Touring Park and Glamping,4,"Glastonbury, United Kingdom"
Definitely be back!,"After recently making our own sushi, me and my partner decided to visit Yo! Sushi with a voucher I’d previously won. I’d never been to Yo! Sushi, however my partner loves it, so I opted for the Arndale branch and I wasn’t disappointed. Queuing is definitely worth the wait and definitely ask for a both so you can enjoy the food in comfort. We didn’t pay a penny (because of the voucher), however I would’ve happily paid for the food as we had a great laugh with the staff making the sushi. The food here is fresh and tastes great! Will definitely make it a habit to buy more sushi from Yo! Sushi.",Date of visit: March 2019,Yo! Sushi Manchester Arndale,4,"Manchester, United Kingdom"
Great evening with friends!,"As a group of 7 friends, we decided to visit West Ivy for a catch up. The location is pretty much plonked on the pavement and you can’t miss it, but inside is a very nice vibe. The food and drink here is spot on and we all had a great night! You can also book afternoon tea sessions which other friends have recommended highly! If you haven’t visited yet, get yourself down to West Ivy for a good meal/drink!",Date of visit: March 2019,West Ivy,4,"Bury, United Kingdom"
Great curry!,"Three of us decided to visit after we heard the good reviews and also read the low reviews on here but as we love a good curry, we went in open-minded. I had booked a table for 4 originally but one person pilsner make it - Not a problem for when we turned up. We had great service all night and the food was great. We were all starving and the portion size throughout was a fair size! Not too sure why people have bad reviews on here as we never had additional extras on the bill or bad service - We actually we’re given extra food! We will be back soon!",Date of visit: March 2019,Hot Chilli Indian Restaurant,4,"Bolton, United Kingdom"
Glorious breakfast!,"Partner recommended here after a hard night celebrating my 30th - Just what the doctor ordered! Full English cooked perfectly and it tasted ace! Never been to Bill’s prior to this visit, however, I’ll definitely be going back!",Date of visit: February 2019,Bill's Spinningfields,4,"Manchester, United Kingdom"
Amazing Chinese food and hospitality!,"My partner chose to go here for her birthday and we were treated so well, everyone loved the evening! I had organised with Charlie via email to bring out a cake after the meal and to have a cocktail ready for my partner - Both came out perfectly on top of the faultless service and friendliness of everyone on the night. The food was wonderful - This was our second visit and we will definitely be back soon. Thanks to all for a wonderful evening!",Date of visit: February 2019,8 Manchester,4,"Whitefield, United Kingdom"
Easy place to eat and very cheap for portion size!,"We visited here with a couple of friends for a quick catch up and the place catered the 4 of us and a new born very well. A high chair was supplied instantly and before you knew it our food was with us! For the portion size, the food was ridiculously cheap! Highly recommend for a cheap filling meal.",Date of visit: December 2018,"Waterfold Farm, Dining & Carvery",4,"Bury, United Kingdom"
Amazing experience for any Potter fan!,"I decided to treat my girlfriend for her 30th to a visit here but when it was ‘Hogwarts in the Snow’ - I’m so glad we waited as being Christmas-themed made the experience that little more special. I won’t spoil the tour for anybody but any fans of Harry Potter will not want to leave! If visiting in the colder months, keep your coat/warm clothing as you do go outside on the tour. You will need to factor in the tour will be guided for the first 15 minutes and then you can leisurely enjoy the tour yourselves. Expect to be there between 3-4 hours and make sure you try a Butter Beer as it’s only 1 of 4 locations in the World that sells the beverage. Amazing experience!",Date of experience: December 2018,Warner Bros. Studio Tour London - The Making of Harry Potter,4,"Leavesden, United Kingdom"
Finally got to visit and wasn’t disappointed!,"I’d be nagging my partner for ages how much I wanted to visit Tru Street in the Trafford Centre just from looking at the menu walking past. We had met up with another couple and decided to give it a try - to which we were all made up with the choice. The food was spot on and very very filling; I myself had the 15” hot dog and devoured it! The wings for starters were also very tasty and sticky! If you’re in the Trafford Centre, pop by and have s look at the menu - the food here is top quality and the price is fair for the portions and service you receive.",Date of visit: November 2018,Tru Street,4,"Manchester, United Kingdom"
Cheap as chips!?!,"Me and my partner had heard and seen plenty of the franchise around Paphos and decided we would have our late lunch here before we flew back home - I was still full when we landed back in England! I ordered a chicken club sandwich which I thought would come with a bowl of chips, not surrounded by chips! It was so filling and for the price I was amazed at the amount of food I was presented with. If you like to enjoy an ‘English’ meal, especially for children, visit one of the franchises and you’ll feel like you’re eating at home. The staff here were very friendly and efficient. I’d highly recommend for a cheap and filling lunch.",Date of visit: November 2018,Tea for Two,4,"Paphos, Cyprus"
