reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Completely Untemarkable,"I’m bummed about this place, because the reviews were so positive. I came here with my 1.5 year old daughter and 3 other adults. We were quickly seated, but I think our server must have been new. That’s not a criticism of the restaurant, or the server, just might be related to our experience.
We waited a while for our food, which was 2 orders of unimpressive avocado toast, a pancake, and biscuits & gravy.
The pancake was perfectly good, it’s hard to screw that up. My mom got the weirdest chicken noodle soup, it tasted like pickle juice was in it or something.
Maybe we chose the wrong items from the menu & maybe we hit them on an off day, unfortunately, this experience just fell flat.

I’m not expecting perfection, it’s just a local diner, but still.",Date of visit: June 2020,Mary's Kitchen,1,"Geneva on the Lake, Ohio"
Not Bad,"We came into GOTL to eat at another restaurant, but many places are closed, presumably due to COVID-19. We saw this place was open so we stopped over. They have a walk-up menu with tables outside under a roof to eat at, if you want.
We ordered our food to go.
We got a LOT of cheese foods, because my sister is a vegetarian. A cheese calzone (HUGE, good to share with someone,) a caprese salad, 2 orders of fried provolone and a medium mushroom pizza.
Our total was about $50 and we have quite a bit of leftovers. The pizza had very little sauce, but LOTS of cheese. The fried cheese was good, but the ‘marinara’ was more like salsa in my opinion.
This place has a lot of options, nothing too healthy, but still, lots of choices. It was pretty quick.
Like the title says, not bad. Didn’t change my life.",Date of visit: June 2020,Zeppe's Pizza,1,"Geneva, Ohio"
"Spacious, clean rooms, great breakfast","I’ve really enjoyed staying here. We have an over-night layover. They have a free shuttle to & from the airport, large rooms, large bathrooms and a beautiful shower. Breakfast is nice as well, this morning we had 2 options for omelettes, pancakes, 2 sausage options, fruit, yogurt, muffins & plain bagels, cereal, oatmeal, and a few juices. Very nice staff. Highly recommend, I wish we were staying here longer!",Date of stay: January 2020,Holiday Inn Express & Suites Houston IAH - Beltway 8,1,"Houston, Texas"
A great spot,We came here while visiting family. They come to this spot every Monday and they employees know them. We ordered tacos and went next door to the brewery and ate over there. It was delicious!,Date of visit: August 2019,Osprey Tacos,1,"St. Augustine, Florida"
Amazing food at very affordable prices,"What a great spot! My husband, daughter & I were looking for lunch and came across Harry’s. After seeing the outdoor eating area we could resist eating out there. Lenny and Amy took care of us and did a great job. We had the crab cake appetizer (came with 2 cakes,) blackened tuna entree and the oyster po’boy with seasonal veggies (zucchini, squash & broccoli.) everything was huge and fabulous. The cost was surprisingly inexpensive for the quality, especially when you consider the size of the portions!
Very nice spot, I highly recommend it.",Date of visit: August 2019,Harry's Seafood Bar and Grille,1,"St. Augustine, Florida"
"Quality seafood, reasonable prices, lovely view","I’m so glad we came here! We are out-of-towners here visiting family and friends. Our local friend recommended this place and it was wonderful. Three adults ate and shared an appetizer and our bill was ~$95. There was a wait and they don’t accept reservations, but they will text you when your table is ready. Our wait was 30 minutes at 6pm on a Saturday in August, so not completely unexpected.
Our seats were outside with a view of the water & ships. Eric was our server and he was kind and friendly.
Now to the food, they had a featured appetizer, royal red shrimp cocktail. It wasn’t what we had expected, it was shelled and tossed in a light mayo sauce, no cocktail. It didn’t need it, it was refreshing and tender. It came with 6 shrimp. Three adults were in my party and my 8-month-old. One adult had their bleu cheese topped ribeye special and he enjoyed his meal. Another adult had the pick 2 fried fish, she ordered deviled crab and shrimp, she loved it and said she would order it again. I had a very hard time choosing, rock-paper-scissors was involved, and I ended up getting clam chowder and a half dozen oysters. My meal was lovely. I wish we would have had time for dessert, but babycakes was ready to go.

For parents, they do have high chairs and a changing table in the women’s bathroom, I don’t know about the men’s. There are kids options as well.

I definitely recommend this spot, wonderful seafood and great ambiance.",Date of visit: August 2019,Julington Creek Fish Camp,1,"Jacksonville, Florida"
Choose another spot,"We chose this restaurant based on the good reviews, but were disappointed. We started with a dozen raw oysters, which were almost flavorless. My husband ordered the trigger special with lobster sauce, this just missed the mark. $22, wasn’t worth $8 for the flavor. I had the steamed and raw clams. The steamed clams were fine- overcooked, but not bad. I wasn’t a fan of the raw clams, but that was my first time trying them, so I can’t pin that in the restaurant.

We didn’t finish our meals and I was so hungry once we got back to the hotel that I got a grilled cheese sandwich where we were staying! Save yourselves the trouble and eat someplace else",Date of visit: August 2019,Beachside Seafood,1,"Jacksonville Beach, Florida"
"Not bad, not sure if it was worth the price","We stayed here for our Niece’s wedding and paid $250 for a night here (it writing this before checking out.)

BREAKFAST
The breakfast room is HUGE and there are many options. Bacon, eggs, French toast, potatoes, sausage, fresh fruit, oatmeal, cereal, some bread options too.

ROOMS
We needed two double beds & we did get two double beds, a bathroom & a living room with a sitting table and a pull out couch. There are two TVs. This was a life saver because my husband snores, so our daughter & I got to sleep in the bedroom & we sent him to the couch bed. There is a door between them. We used the iron last night & it snagged the crap out of my skirt, it looked like it had fallen on the ground, so just be cautious with that.
Everything was clean enough, as far as hotel rooms go. It’s definitely nothing fancy, but it’s acceptable.

VIEW
Our room was labeled as a ‘noncore room’ but that was not the case. Our room overlooked the river, so you might get more than you bargained for!

PARKING
There is a garage attached to the hotel. Parking is $10/day if you self park & $26 for valet.

I have no major complaints about this hotel. I was a bit surprised, knowing what we paid. I would expect a place like this to be more in the $175 range, but we booked directly through the hotel, so maybe that was my mistake. It’s perfectly good. There is a pool, but we didn’t get the chance to explore it, and it is open during the construction.",Date of stay: June 2018,Embassy Suites Cincinnati Rivercenter,1,"Covington, Kentucky"
I LOVED IT!!,"We stopped in here after seeing the Empire State Building. If you like seafood, this is the place to go! We got raw oysters, oyster poboy, shrimp poboy, fried catfish & jambalaya. Our server was very well dressed, polite, efficient & quick. Everything was fantastic!!!",Date of visit: May 2018,CajunSea & Oyster Bar,1,"New York City, New York"
Went to the Huron restaurant- Strongly Recommend!!!,"We absolutely LOVED this place! We stopped in because we love Thai food. We arrived at 8pm and we were the only customers there.
We started off with hot & sour soup and cucumber salad that came with our meals. I’m not usually a fan of that soup, but I actually enjoyed it! It was the best I’ve had.
The cucumber salad had seaweed and a delicious vinegar dressing. We inhaled it.

For appetizers we enjoyed the fried tofu and ‘fresh’ rolls. The fried tofu was very good, and the fresh rolls were summer rolls. Shrimp, cucumber, cilantro, rice noodles, with a peanut sauce. I make these at home, they were awesome.

For our entrees we shared Thai green curry with chicken and beef, along with pad Thai. The best I’ve ever had!! Every single thing we ordered was delicious, and the server was patient and informed.
There were three of us and the bill was $39, definitely try it out.",Date of visit: February 2018,Jo Wok,1,"Sandusky, Ohio"
