reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
New to area,"Just moved just a few minutes walk from The Old Boathouse, after days of constant unpacking we decided to walk down and have lunch at our 'local'.
We werent disappointed friendly staff, lovely atmosphere and very tasty food.
We both ate off the 2 courses for £8.95 menu, I had pate` and hubby had soup, both were delicious (we tried each others) and then i had quiche and hubby had fish and chips, it was hot, tasty and more than worth the money.
We werent waiting long, despite being busy and werent at all rushed.
Particular reference to young lad who waited on us, excellent service and so friendly and the blonde lady who also went beyond to make us feel welcome, apologies for not knowing your names, but outstanding service.
Will absolutely return.
Thankyou for making the move nicer, and for making our first visit warm and welcoming.",Date of visit: October 2019,The Old Boathouse,1,"Astley, United Kingdom"
Our piece of Heaven,"First visit to Svoronata, decided to visit Dum Spiros Speros on our second night, beautiful 20 minute walk from Astra Village to location in Svoronata village ( although longer with my camera!!) Immediately felt relaxed, greeted at the door by owner Spiros and offered any table, which was lovely....table 27 then became ours we visited every other night after that, we tried others but the food, service and staff could not be beaten. Dad in the kitchen, mum baking, Spiros and his wife Anna out front with the wonderful Peter. You are treated as friends not customers, we witnessed people returning afters years of visiting this beautiful part of Kefalonia to be hugged and welcomed back to this wonderful restaurant. We were left to enjoy our evening rather than being rushed to order, often staying 3 hours to savour the house Rose' and the delicious home cooked food. Never had a bad dish and went through most of the menu. The homemade Taramasalata was divine, Mama Dum is a must, Stifado, Kleftiko and my personal favourite chicken Souvlaki..the whole menu was wonderful, cooked with love and flavours of Kefalonia. These special people became our friends even making me a birthday cake and singing for me on my special day....absolute gems, and we will return here for many years to come ❤️",Date of visit: June 2018,Dum Spiros Spero Restaurant,1,"Cephalonia, Greece"
What a fantastic experience!!!,"We are here on holiday and had heard good things about Michalis Fishing Tourism. So I contacted them and got an immediate response from Antonia, Michalis' wife..booked for two of us for the day.
Well we just returned from not just an exciting and beautiful day but an informative one too. We got to the harbour at Svoronata for 7.30am greeted by boatman Hassan with a Greek coffee. Antonia and Michalis arrived with homemade cake. Antonia is amazing at welcoming you and giving you lots of information about the island and lots of other useful tools about Kefalonia.
We set off around 8.15 with 10 other guests including children to go and pick up the nets....wow!!! Lovely people, scenery and so fascinating to watch this lovely boat on a normal ish working day....questions about the catch answered if you had any...holding the catch was amazing...especially Larry the huge Lobster ....once nets are in we pulled into the small bay at Spartia, so the team could cook the catch....amazing homegrown veg salads and lobster...beautiful homemade Salva...Bruschetta...homemade wine which was devine....lots of time for swimming in the beautiful bay and then set off for home.
Please try this experience you will not regret it...pure family run authentic day out...with amazing,beautiful people who tirelessly help to make your day amazing...the best trip ever!!!!",Date of experience: June 2018,Fishing Tourism Kefalonia Michalis,1,"Cephalonia, Greece"
"Cosy, welcoming base location for peak district.","Just returned from a 3 day/2 night stay at this hotel. After reading previous reviews i was looking forward to our little break to finally walk to Dovedale and see more of the lovely Peak District. Well what a lovely little find....perfect location, lovely warm staff...especially Jo who looked after us at breakfast....which was hot and delicious...loved the toasted oatcakes!!! Lovely, cosy room...we were in 16. Gorgeous grounds with cat and chickens. Easy access to Tissington Trail ( at top of garden) Milldale just 1/4 mile away...beautiful...turn left out of hotel driveway and almost immediate right...Milldale to Dovedale walk a must!! Highly recommend the location, cosiness and pricing of this lovely place. P.s new tea room menu looked amazing but didnt try this time...maybe next",Date of stay: October 2016,Newton House,1,"Newton Grange, United Kingdom"
A dream come true,"Just returned from a long awaited trip to the Peak District to do a couple of days walking...but primarily to walk to Dovedale. We started in the beautiful hamlet of Milldale....no parking fees!!! Much to look at...the cottages are choclate box dreamy!!! The 3 mile walk was breathtaking, im just starting photography and on the walk there i took 267 pictures its simply beautiful....please try it suitable for all ages and low walking difficulty!!!",Date of experience: October 2016,Dovedale,1,"Ashbourne, United Kingdom"
Passed on way home.,"Not a bad little outing, slightly biased by the recent beauty of walking the peaks the prior two days....froendly staff, lovely ice cream...nice walk but dont think id return...got some nice pictures of The Holes tho",Date of experience: October 2016,Carsington Water,1,"Ashbourne, United Kingdom"
Lovely food!!!,"Stumbled on this little fish place whilst looking for something for tea in a strange town....lovely little place, decor fab!!! And gorgeous fish and chips!!! Would return if im in the peak district again definately...and recommend!!! Not too pricey if on a budget either....fish was huge and very nice batter!!!! Large portions and we ate in!!!",Date of visit: October 2016,Market Place Fish & Chip Restaurant,1,"Ashbourne, United Kingdom"
Best ever!!!,"Me and my partner love castleton...and this is our cherry on the top!!! Love exploring here...then practically running up the hill to get our treat...tasty, reasonably priced andworth every single calorie!!! Beautiful day out with gorgeous fish and chips in paper with glorious views...its a must!!!",Date of visit: October 2016,Castleton Fish and Chips,1,"Castleton, United Kingdom"
Love it here,"One of my favourite places to visit....the drive in is spectacular, the village is stunning...i plan to win the lottery and move here!!! Plenty of options to snack or dine...i recommend the chip shop!!! The pubs are fab for food or a little tipple!! The village is stunning to walk round, lovelt little shops and fab walks to the cave and surrounding areas!!! Please visit...if your nearby xxx",Date of experience: October 2016,Castleton Walk,1,"Castleton, United Kingdom"
I adore La Roma,"Intimate, excellent food...wonderful atmosphere and staff. Would eat here everynight if i had the budget!!! Me and my partner have been several times and its always our first choice for date night!!!!",Date of visit: August 2016,La Roma Restaurant,1,"Manchester, United Kingdom"
