reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
It is the first time I have,"It is the first time I have been to La Turka and we had a lovely evening. I was pleasantly surprised to find they were continuing to eat out discount for a Tuesday night. The atmosphere was great, our server Alex was extremely attentive and had excellent attention to detail and service and the food was delicious. We will definitely be returning.",Date of visit: September 2020,La Turka Bistro Monton,1,"Eccles, United Kingdom"
Great food and drinks and also doing takeaway in lockdown,"This is a brilliant little bar and restaurant with character and banter and fantastic wines and a great Sunday roast or breakfast bagel or sourdough pizza. Currently a great place with lockdown for take away food, wines and beers. Would highly recommend",Date of visit: May 2020,The Chorlton Green,1,"Manchester, United Kingdom"
Misrepresentation on menu and poor customer service,"The menu looks full of fantastic options but when I ordered a Naked Hero Burger with an extra patty and sweet potato fries for 14 pounds which was advertised as two 6 ounce burger patty’s, this arrived as one leaf of lettuce with two tiny patty’s that looked smaller than a McDonald’s cheese burger patty and there was no way either were 6 ounces. When we brought this to the attention of a member of staff he said that they make them themselves and thus they are squashed down. There is absolutely no way there was 12 ounces of meat there and the plate of food that cost 14 pounds was the size of an average starter and I left hungry to go and get a meal elsewhere. I will not be back.",Date of visit: January 2019,Expo Lounge,1,"Manchester, United Kingdom"
Educational and Interesting day out,"It was amazing how many different artifiacts are on display and how much there is to see. It was a really interesting and fun, not to mention free, afternoon out. I would definitely recommend it.",Date of experience: August 2018,Science and Industry Museum,1,"Manchester, United Kingdom"
"Fantastic food, presentation and customer service","I went to Indique for the first time for our wedding anniversary. The food was delicious, the service was fast and the presentation was excellent. When they heard it was our wedding anniversary they also brought out a free decorated dessert. We will definitely be back.",Date of visit: September 2018,Indique,1,"Manchester, United Kingdom"
The gem of the Northern Quarter,"I went on Sunday and had the Meat platter which was delicious and a great portion for the price. The music was brilliant and just to my taste. The staff were friendly, welcoming and attentive. Callum who served us was full of banter and good tips of Manchester site seeing for my family that were visiting. I loved the decor and the outdoor smoking area was great. We will definitely be back. It definitely seemed the busiest place in the Northern Quarter and I always go somewhere busy as I know it must be good. Thank you and see you soon.",Date of visit: June 2018,The Patron,1,"Manchester, United Kingdom"
Definitely worth visiting while in Athens!,The museum has an incredible collection of artifices that have been lovingly restored. The museum has actually been built on stilts over a current excavation site that they are still excavating and the plan is that soon you will be able to tour this under the museum as well. It gives you a great idea of the history of Athens and the progression from 500 BC until 400 years ago. You cannot take photos inside and it cost us 5 euros a ticket. We spent about 2 and a half hours there.,Date of experience: June 2018,Acropolis Museum,1,"Athens, Greece"
"Good value, well located and very friendly","Clean hotel, very friendly and helpful staff, great roof top bar and restaurant with views of the Parthenon. Free WiFi, Safe and air conditioning with computer and printer available for use and 24 hour reception. Would definitely stay here again.",Date of stay: June 2018,Apollo Hotel,1,"Athens, Greece"
Fantastic rooftop restaurant - excellent value for money,"This was a brilliant restaurant with view of the Parthenon, beautiful decor and huge portions for the amount you paid.
Very worth visiting and we would definitely go back.",Date of visit: June 2018,Misafir,1,"Athens, Greece"
Fantastic friendly venue with great service from Danai,"Fantastic coffee, gin and tonic and wine, brilliant friendly and helpful service from Danai! Great decor and the coolest spiral staircase the tastefully decorated and really clean bathrooms. We did not eat but the food looked mouth watering my delicious. We will be back before the end of our 3 days in Athens ❤️",Date of visit: June 2018,If Espresso Bar,1,"Athens, Greece"
