reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Authentic Aegean Fishing Trip,"Exceeded all expectations despite glowing reviews! Must, must do. Captain Anthi puts you on the bite. And her crew is competent and friendly. Just as all the reviews have stated earlier. That would be enough for a great day fishing. But these folks go way beyond. Anthi was constantly teaching and educating our family. She taught the adults and teens technique, species, history, and conservation. She protects the sea and has an incredible passion to teach others to do the same. We've fished fresh and salt around the world. The Giorgaros tour is at the top of our list!",Date of experience: July 2019,Giorgaros fishing tours Santorini,1,"Santorini, Greece"
Even more hidden gem!,One of the best dining experiences you can have in Baltimore. Was in for lunch recently and construction is really hurting their business. You will be sorry for long wait or maybe you can’t even find table once this section on the waterfront is complete. The addition of their new “river bar” will make this the place to be for high class successful set.,Date of visit: August 2018,Ouzo Bay,1,"Baltimore, Maryland"
Guided is always better,Had great day Kayaking on the Lake with the family. Amina was knowledgeable and patient with my crew. Yea we could have grown kayaks on roof ourselves however we would have shorted our experience. Maneuvering the lake is simple however Amina’s story telling kept the attention of two adolescent boys. No small feet. Negotiating launch and especially beach landing without angering the crowds could not be accomplished with her. Overall great day!,Date of experience: August 2018,Tahoe Adventure Company,1,"Tahoe Vista, California"
"Excellent, truly, but the beach....","Ok Ive learned that Im a beach snob. Walking the beach for hours is more important that I understood previously. If this isn't a high priority for you then they deserve the 5 stars. Food, drink, property, service all excellent. Any complaints come from those that don't understand where they are on the planet. Bugs, humidity, smells are all part of the jungle and ocean coast. The beach is iffy, They have built a lagoon to protect their beaches from wave erosion and probably sea weed. Excellent for kids but not for those who like waves beating the shores and long sandy beaches to walk. Again all is excellent but I did miss my long walks.",Date of stay: April 2018,Bahia Principe Luxury Akumal,1,"Akumal, Mexico"
Beautiful Beach,Beautiful Beach however getting overrun by tourists. Seaweed can be issues at times as well. Find more isolated beach. too many peeps.,Date of experience: April 2018,Akumal Beach,1,"Akumal, Mexico"
Excellent DC Location,National Zoo is just across the street as is DC Metro station to launch you into the Nations Capital. Great restaurants and amenities as well. All the business amenities exist as it has extensive conference space however this is good family location as well.,Date of stay: June 2018,Washington Marriott Wardman Park,1,"Washington DC, District of Columbia"
"Quality sushi, great atmosphere",We totally pigged out. Two rounds of sushi dented the visa although after being o feet all day we earned it. drinks were just ok but hate sushi was excellent. All fresh and numerous house favorites that we indulged. Sorry no recollection of a specific roll or dish but all was excellent. Price was about average for the area which is not cheap however quality leaves you thinking you got your money’s worth. Really nice vibe with many locals which is always a great sign.,Date of visit: June 2018,Tono Sushi,1,"Washington DC, District of Columbia"
Must visit for out of towners,"The Mall is the center of it all. Jefferson, Smithsonian, Capitol building and more. You can spend all day sight seeing, watching people, and visiting museums. Must must place to spend an afternoon.",Date of experience: June 2018,National Mall,1,"Washington DC, District of Columbia"
Nations History,Great experience for patriots and those with imagination. No flashing lights or sounds just rich history. Standing on deck within sight of Federal Hill and short distance from where Francis scott Key penned our national anthem is incredible. Great history lesson that the kids will surely remember. For others Hooters is across the street.,Date of experience: October 2016,Historic Ships in Baltimore,1,"Baltimore, Maryland"
Asian in the hills,"Very good restaurant really. Service, food quality, and pricing all very much above average. Sushi was nice surprise as was variety of Sake. Overall you'll be very happy in your in the mood for asian cuisine.",Date of visit: May 2017,Asian Express,1,"Charlottesville, Virginia"
"Food, Drink, Views, Beach and Waves",One of my favorite places in VA Beach to visit. Ok its my favorite by a mile. Great eats and people watching. The beach and waves are icing on the cake. The menu is extensive and sushi is awesome. Pricing is mid to upper range,Date of visit: July 2017,Mahi's Seafood and Sushi,1,"Virginia Beach, Virginia"
Fine dining in VA Beach,Fine dining all around but your at the beach and no where near it. Ok thats the only minus. The dining experience itself is excellent. A bit pricey however well worth it. Leave the kiddies home the food is too good for them unless they have mature palates. Great date night and those looking for romantic ambience. Loved the northern Italy however all looks exceptional.,Date of visit: January 2017,Aldo's Ristorante,1,"Virginia Beach, Virginia"
One of the best on east coast,"Exceptional people watching and those with activity in mind. Bike, blade, walk or run. Plenty of space to handle the largest of crowds. Amenities abound! Restaurants, snacks, drinks and sights are everywhere. Not a quiet stroll location expect in off season. This a boardwalk bussing with activity.",Date of experience: May 2017,Virginia Beach Boardwalk,1,"Virginia Beach, Virginia"
