reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
מסעדת רטטוי בתרשיחא,"מסעדת רטטוי בתרשיחא, בתוך בית ששופץ עם גינה מקורה נפתחה מסעדה בסגנון צרפתי עם קשר הדוק לגליל ולסביבה,
נכנסו באקראי לחפש מקום לאכול ויצאנו מוקסמים , השרות סופר אגיב , האוכל וההגדה ברמה מדהימה והמחיר סביר ביותר",Date of visit: October 2019,Taipei Chinese Restaurant,1,"Haifa, Israel"
"חברת תעופה עלובה, ללא שרות וללא זמני טיסה","המטוס היה דחוס, שרות גרוע והטיסה התעכבה ב40 דקות.
מאחר והיה לנו טיסת המשך עם אותה חברה שאלנו את הדיילות בנוגע להמשך ונעננו כי הכל מתואם.
כשנחתנו בקייב הסתבר כי כל הנוסעים שהיו צריכים טיסות המשך אחרו אבל אף אחד בחברה לא טרח לטפל בנוסעים.
אחרי כשעתיים המתנה נשלחנו עם יתר הנוסעים לדלפק אחד שהפקידות בו הי חסרות יחס לחלוטין ורק כעבור שעה וחצי נוספת הציעו לנו מלון. כשבקשנו מלון בשדה סרבו והציעו מלון בעיר למרות שיש מלון בשדה.
לבסוף קבלנו מלון בשדה אבל שלחו אותנו ברגל , בשלג, מרחק של כ קילומטר עד המלון ורק שהגענו למלון הסתבר שיש הסעה מהשדה אבל הפקידות שלו אותנו ברגל ולא יידען על ההסעה.
חברה גרועה עם שרות נורא , שרות שלא קיים למעשה.",Date of travel: January 2019,Ukraine International Airlines,1,World
"חברת תעופה דייקנית , טיסות חוצאות בזמן ומגיעות בזמן. המטוסים בקו ישראל מינכן היו פשוטים ביותר ללא מערכת בידור ומושבים פש","הטיסה יצאה חהגיעה בזמן ללא עיכובים ואיפשרה טיסת המשך בנוחות, המטוסים בקו מישראל לגרמניה פשוטים ללא כל מערכת בידור , לא אישית ולא כללית, מושבים פשוטים ולא מתכוננים. בטיסות פנים הדיקנות נשמרה אבל המטוסים היו קטנים והזכירו אוטובוס גאד משנות ה 50 בנוחות ובתנאים",Date of travel: July 2019,Lufthansa,1,World
wonderful hotel in the best spot,"nice hotle in the center of leopzig near the main raill way station. large and nice rooms , very good service, excellent breakfast and very friendky staff
the holtel is located in the "" old "" city and kust 4-5 minute walk from the old city hole and market place.",Date of stay: June 2019,Seaside Park Hotel Leipzig,1,"Leipzig, Germany"
אחוזת קבר עם גן רחב ומטופח.,"יצאהו לטיול משפחתי עם מבוגרים וילדה קטנה, האתר רחב ידיים, גנים מטופחים ונקיים , כמעט חו""ל, לא עולים על הדשא ולא אוכלים בפארק. הכל מטופח ונקי, הרבה צמחים שונים ומגוון פרחים.
טיול טבעת בגן לוקח כחצי שעה , נחמד וכדאי לטיול קצר עם ילדים.
מחוץ לפארק מגרשי חנייה רחבים עם הכוונה ומקומות לעשות פיקניק עם שולחנות וכסאות
לא כמקובל בארצנו - הכל חינם ללא תשלום.",Date of experience: January 2019,Ramat HaNadiv,1,"Zichron Yaakov, Israel"
בשר ועוד בשר,"יצאנו ביום שמש חורפי לטיול ברמת המדיב ועצרנו בוריס קצבים לאכול.
המסעדב היתה מלאה אבל יש לה אגף נוסף לאורחות TAKE AWAY עם שולחנות וספסלים מסביב לנוחות האורחים.
הזמנו המבורגרים ונקניקיות עם תוספות, ציפס וכרוב כבוש.
האוכל טוב, הבשר איכותי , השרות במנקודת ההזמנה ובנוקדת קבלת האוכל היה טוב עם הרבה מידע
ורצון לשרת.
בחוץ באזור הישיבה המצב שונה, השולחנות לא נקיים ולא היה בסביבה מישהו מהצוות שידאג לנקיון.
לסיכום, אוכל טוב ומחיר סביר , אוירה נינוחה ונוף יפה, יש לשפר את הניקיון.",Date of visit: January 2019,Doris Katzavim,1,"Zichron Yaakov, Israel"
מסעדה סינית שכיף לאכול בה מבלי לקורע את הכיס,"מסעדה סינית שבעליה אמנם אינם סינים אבל עשו "" עליה ""ממזרח אסיה ושימרו את כל הטוב שזכרו מהבית.
סתם ביום חורף התחשק לנו אוכל סיני וחזרנו בפעם המי יודע כמה ליאן יאן, אנחנו כבר מכירים את בעלת המקום וכרגיל קבלה אותנו בשמחה כבני בית שחוזרים לביקור משפחתי.
האוכל טעים, מנות נדיבות ובלי לעשות הצגה של מנות יוקרה מקבלים מנות טעימות ולא יקרות.
ממש כיף לבלות שעתיים שלוש באוירה כמו סינית",Date of visit: January 2019,Yan Yan Chinese Restaurant,1,"Haifa, Israel"
דוכן - חנות פלאפל,"פלאפל מישל הוא מקום קטן עם מסורת וטעם אישי בולט, פלאפל מעולה , סלטים וטחינה משובחת, נמצא בוואדי בחיפה ממול פלאפל הזקנים",Date of visit: January 2019,Falafel Hwadi Micheal,1,"Haifa, Israel"
מסעדה עם מסורת של עשרות שנים,"מקום מדהים, עמוס תמונות ומזכרות מכשרות שנים של פעילות, אוכל מזרח אירופאי במובן כטוב ביותר שלו עם דגש על בשר , ממולאים ומעושנים והמובן מבחר גדול של בירות",Date of visit: December 2018,Ma'ayan Habira,1,"Haifa, Israel"
עיר מרשימה וחבל שלא משקיעים ומטיילים שם יותר.,"עשינו סיור משפחתי של שלושה דורות, עיר מרשימה עם שלל מבנים ופסיפסים אבל חבל שלא משקיעים יותר באתר, בפיתוח, הכוונה והסבר. הרבה היסטוריה שלא נחפרה עדיין במלואה .",Date of experience: January 2019,Zippori National Park,1,"Zippori, Israel"
חוף עם מפרץ מלאכותי אידיאלי לשחיה לקטנים וגדולים.,"חוף נחמד שנוצר משובר הגלים שקיים במקום ובמשך הזמן יצר מפרץ שקט גם בשיא הקיץ עם שטח חול גדול, המקום מטופח ובאופן יחסי נקיף עם מצילים ושרותי חוף.",Date of experience: September 2018,Meridian Beach,1,"Haifa, Israel"
טיטול נחמד לילדים והנכדים,"נסענו עם הנכדה לראות פרות ואיך מעבדים מוצרי חלב.
מסלול נחמד שכולל האכלת עגלים מבקבוק וסיור בתחנות שונות מחליבה ועד לגבינה.מעניין לראות שהסיור חוצה מגזרים ומוצאים ונראה שכולם נהנו במקום.",Date of experience: November 2018,Shvil Parot HaChalav (Milky Cow Way),1,"Beit Lechem Haglilit, Israel"
מסעדת עם אוכל טוב אבל עם כמה חסרונות,"הזמנו שולחן לארוע משפחתי וטוב שהזמנו כי היה מלא ועמוס.
מנות ראשונות מצוינות, ארטישוק , חציל, קלמרי וסלט השף.
מנות עיקריות טובות ומוגשות יפה.
השרות היה אדיב, מקצועי ועם הרבה ידע ועזרה, מלצריתיין שעזרה לבחור וסיפקה טעימות עד שמצאתי את מה שרציתי.

חסרונות:
רועש מאוד, ממש אי אפשר לנהל שיחה, יקר בלי יחס למנות.

מאוד נהנינו מהאוכל, אני אישית אכלתי דניס בפטריות וכשחזרתי הביתה סבלתי מקלקול קיבה קשה...",Date of visit: January 2019,Bella Restaurant,1,"Beit She'arim, Israel"
מסעדת דגים חם תחכונית אוטנטית,"היינו שני זוגות, הזמנו שולחן ל6 בערב ובאמת מייד שהגענו ערכו לנו שולחן ואיפשרו לנו לבחור היכן לשבת.עוד לא הספקנו להתרווח והגיע מלצר חביב עם מגש עצום של סלטים, מגוון גדול , חלקם היו חריפים מידי אבל כולם היו טריים.
הזמנו קלמרי , שרימפס ודג ים , הקלמרי היה מצויין, פריך ולא ספוג שמן, השרחמפס בחמאה ושום צף החמאה אבל הדג היה מוסר ים בתנור והיה מושלם הטעם ובהגשה.
שרות מהיר, אדיב וחיכני ליווה אותנו כל הארוחה.
500 ש""ח ל4 סועדים נראה לנו סביר ביותר.",Date of visit: December 2018,The Old Man and the Sea,1,"Jaffa, Israel"
"מסעדה איטלקית ברמה , עיצוב ואיכות","מסעדה איטךקית , מעוצבת ובעלת אוירה המתאימה למסעדה ברמה, במקום שכנה בעבר מסעדת פופולו שגם היא היתה מסעדה איטלקית או פיצריה משודרגת אבל ממש אי אפשר להשוות בין השתיים, כמובן לטובת וויוינו.",Date of visit: October 2018,Vivino,1,"Haifa, Israel"
מקום נחמד לטבעונים,צסעדה קפה שכונתית עם נטיה לכיוון הצמחונים והטבעוניםף מאמצים יפים להביא אוכל טוב ובמחיר סביר לטבעונים צמחונים וכאלו שלא מחפשים סטייק וקבב.,Date of visit: October 2018,Cafe Louise,1,"Haifa, Israel"
מקום חמים עם הרגשה ביתית,"מסעדה של ארוחות בוקר זוגיות ומעט אוכל אחר אבל עם אוירה נעימה , שרות נחמד והרגשה של ביתיות, מחירים סבירים ובלי הנשאות חסרת בסיס.",Date of visit: November 2018,Biga,1,"Haifa, Israel"
פאב שכונתי עם פוזה,"פאב מסעדה שכונתי עם פוזה של משעדת שף, הרבה רושם וגינונים של יין
, מחירים גבוהים אבל בסופו של יום פאב שכונתי",Date of visit: October 2018,Sasson,1,"Haifa, Israel"
מקום שפוי של יחסי ערבים ויהודים בעיר מעורבת,"שארית של שכונה ערבית גדולה שמשמרת את האוטנטיות של שכונה ערבית, מקום של דו קיום בון יהודים וערבים ומקום בילוי וקניות בסופי שבוע בעיר חיפה.שוק קטן, מסעגות דגים ושלושה מקומות ידועים של פלאפל שבראשם פלאפל הזקנים",Date of experience: December 2018,Wadi Nisnas,1,"Haifa, Israel"
אתר היסטורי חשוב ומוזנח בצורה מבישה,"אתר היסטורי חשוב לעיר חיפה ולכלל ההתישבותבארץ ישראל, בעל ממצאים חשובים אבל הוזנח קשות ונפל קורבן להזנחה ארוכת שנים של העיריה ורשות העתיקות",Date of experience: December 2018,Tel Shikmona,1,"Haifa, Israel"
מקום קטו ונחמד חאוהבי בשר,"מקום קטן ומעט מאולתר שגלש לרחוב אבל עדיין חביב ומגיש בשר טוב, המבורגר באיכות טובה ומחיר סביר לכל נפש",Date of visit: October 2018,Canibar,1,"Haifa, Israel"
רעיון יפה בפארק לא מושקע,"גשר תלוי מעל הואדי, רעיון יפה ךטיול בפארק עם גשר תלוי באמצע רק שפה אין פארק והגשר מסתיים בכביש המהיר שעולה מנשר לכרמל.מגיעים מנשר ולא בטוח שתמצאו חנייה בשבת בקרבת הגשר.",Date of experience: September 2018,Hanging Bridge at Nesher Park,1,"Haifa, Israel"
מסעדה שרוצה להיות אסיאתית,"מסעדה עם יומרות להיות מסעדה אסיתית אוטנטית, מעוצבת מעניין ומציעה תפריט רחב אבל מתקשה

להיות אוטנטית .שרות סביר ולא יותר, מנות קטנות עם שמות מסובכים ובשורה התחתונה לא שוה את התמורה לכסף

.",Date of visit: November 2018,Minna Tomei,1,"Haifa, Israel"
מסעדת בשרים אוטנטית,"מסעדת בשרים אמיתית עם אוכל מצויין ושרות מכל הלב.
קנקני בוטנים על השולחן והמנהג לזרוק את הקליפות על הרמת פה נותנים למקום נופך ואוירה.
השרות אדיב ויעיל והאוכל מגוון , בלי כותרות ודמות מפוצצים ובמחיר שפוי.
מקום מצויין לצהריים",Date of visit: December 2018,Ha'bokrim Steakhouse,1,"Haifa, Israel"
נוף מהמם טיילת קצת פחות,"טיילת לואי בשיא הרכס היא נקודת תצפית מדהימה על כל מפרץ חיפה, הנמל, גני מקדש הבהאיים והמושבה הגרמנית . ביום בהיר אפשר לראות את מפגץ חיפה עד ראש הנקרה ואת הרי הגליל ושיא החרמון , הטיילת לא במצב מזהיר ורק בחלק ממנה אפשר לשבת ולצפות על הנוף אבל בשביל הנוף שווה להגיע",Date of experience: December 2018,Louis Promenade,1,"Haifa, Israel"
שוק חג המולד ב ימקא ירושלים,"מלון יפיפה שמנסה לשלב מזרח ומערב עתיק וחדש,
שוק חג המולד בירושלים, אוירה חורפית קסומה אוירת חג נוצרי בירושלים, ממול מלון המלך דוד, אוירה של שבת וחג בעיר המיוחדת לכל הדתות, רגע של שפיות בעיר כל כך טעונה",Date of stay: December 2018,"Jerusalem International YMCA, Three Arches Hotel",1,"Jerusalem, Israel"
הוליווד של מרוקו,"עיר הסרטים של מרוקו, אתר גדול ורחב ידיים, מלא תפאורות שניבנו לסרטים וכאשר היינו שם היו תפאורות בסגנון מקדש מיצרי.",Date of experience: November 2018,Atlas Film Studio,1,"Ouarzazate, Morocco"
"מקום ציורי כמו תפאורה לסרטים, בחלקו הרוס אבל מה שנשאר מרשים","מקום ציורי וגדול מאוד , מזכיר תפאורה מהסרטים, בחלקו הרוס אבל מה שעוד עומד על תילו מרשים ביותרושווה ביקור",Date of experience: November 2018,Taourirt Kasbah,1,"Ouarzazate, Morocco"
לא שווה את הכסף והטירחה להגיע אליו,"מלון עם חזית מרשימה בסגנון הקסבה המרוקאית אבל בפנים מתגלה מלון ברמה נמוכה עם אחזקה גרועה.אין מעלית לקומה השניה אז קבלנו כנופיה של סבלים שרבו על הטיפים לסחוב את המזוודות לקומה השניה.
חדרים גדולים אבל בסיסיים, חדר שרותים מוזנח בלי מים חמים וזרם חלש ביותר במקלחת.
חדר אוכל גדול אבל לא ערוך, שולחנות ללא סכום וכוסות ואם הגעת מעט אחרי שפתחו כבר יש מחסור באוכל.
בחדר היתה טלוויזה עם מסך קטו ותחנה אחת בלבד לצפיה וגם היא עם הפרעות קשות.למרות שסגרנו את הטלוויזיה באמצע הלילה היא נדלקה מעצמה בקול רם והעירה אותנו.
לא שווה את הכסף וקשה לקרוא לו מלון של 2 כוכבים.
כנראה שאין משהו ראוי יותק בעיר המשמימה שהוא שוכן בה.",Date of stay: November 2018,Hotel Karam Palace,1,"Ouarzazate, Morocco"
חוף ים רחב ונקי,"מפרץ אגדיר רחב ומרשים, רצועת חוף רחבה מאוד עם שינויים גדולים בין שפל לגאות, צמוד לטיילת של אגדיר עם מבחר גדול דל בתי קפה ומסעדות, מעט סככות וצלונים וכיסאות להשכרה",Date of experience: November 2018,Agadir Beach,1,"Agadir, Morocco"
nice hotel in very nice location,"we stayed 2 nights in this hotel and it was lovely

with out asking we were upgraded to a suite with 2 rooks and 2 were nice and modern bath rooms
the location is very good just on the beach road
food was good too.",Date of stay: November 2018,Kenzi Europa,1,"Agadir, Morocco"
Mr meni dror,"Very nice place, big and very clean rooms, wonderful home like place. The front desk was very helpful especially Tiffany.the hotel is in a small ally near the main road, very quiet but near the center of old town, a lit of fun in the evening and many places to eat during the day",Date of stay: September 2018,Liman Wenzhi No.1 Hotel,1,"Lijiang, China"
