reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
A quiet sushi restaurant just a stone’s throw away from Authent Hotel Otaru,"We had a bus back to Kiroro booked at 6.20 pm from Authent Hotel Kiroro and were looking for a good sushi restaurant within walking distance. Savor Japan recommended Sushi Restaurant Shun so we have it a try. A very nice smallish place run by the chef and great value sushi sets in which you leave it to the chef to decide - just choose 9 pieces, 10 pieces or 11 pieces. We also ordered the thick cut grilled sea eel and it was so nice and succulent we ordered two more. Very friendly service and we will definitely pop by again. A nice find in a town known for great sushi.",Date of visit: December 2019,Sushi Restaurant  Shun,4,"Otaru, Japan"
How can you not pay a visit,"Despite the queues outside, it’s an essential stop to the outlet that started it all - a place where all the wait staff are speaking in diff languages to handle all the tourists from many parts of the world. Food is of course Din Tai Fung consistent and excellent but you didn’t just come for the food - you came to experience the Real McCoy.",Date of visit: December 2019,Din Tai Fung (Xinyi),4,"Zhongzheng District, Taipei"
My first stay here - will definitely return,"Based on glowing TA reviews and the fact that the use of a washer and dryer are essential for family trips, I booked this City Inn at the Ximending Branch. What I can say, the reviews are spot on and thank you to all who have come before me for the recommendation. Location is absolutely perfect - a stone’s throw from the hustling and bustling Ximending shopping and eating with a mall just opposite with a basement supermarket and Ximending train station exit 3 just opposite the hotel. It is not a luxury hotel but 6 star in terms of service and you can see the attention to detail in the weight machine in the lobby with the various airlines’ baggage weight limits. Every convenience for the traveller has been thought through in advance. We enjoyed the bright and clean lounge area in the basement - after many a long lonely wait for my washing to be done in dingy laundry rooms, this is such a nice bonus to have a nice area with a computer and free coffee, milk tea, hot chocolate and snacks to wait in. City Inn just hits the spot in all the right details.

I could stop there but I do need to mention the one glaring difference between this hotel and others - the service is amazing! Special mention to Bonnie and the night staff - you made it wonderful. A special touch and a quick eye to offer help - thanks for a great stay and we will never stay anywhere else the next time we are in Taipei. Check out my photo - I returned to my room to find my messy charging cables neatly bundled up with a strip of Velcro. Lovely.",Date of stay: December 2019,CityInn Hotel Plus - Ximending Branch,4,"Zhongzheng District, Taipei"
Excellent location if you want to be near MBK and Chinatown,"4 min walk to National Stadium BTS station and MBK shopping centre. We needed a family sized room with washer and dryer for our family of four and this was perfect. Breakfasts were good as well - made to order eggs, pancakes, waffles and oatmeal. Service very efficient - didn’t know how to work the dryer and they came twice almost immediately. Will return. Studio apartment was spotless with a cute small pool.",Date of stay: November 2019,LiT BANGKOK Residence,4,"Bangkok, Thailand"
Must try for old school chinese,Must try for old school chinese favorites - best meal we had for reasonable prices and the roast pig is out of this world. No credit cards accepted. Oyster omelette and crab with glass noodles was perfection and the crab fried rice was laden with big white juicy crab chunks,Date of visit: November 2019,Tang Jai Yoo,4,"Bangkok, Thailand"
Great way to see the surrounding parts of Bangkok,We had a great time doing the weekend edition which involved a trip to the weekend market which was much less touristy than other markets we had been too. Pace of the cycling was very good given that we had two 12 year olds on the trip - better than some of the other cycling tours we had tried in the region. Some parts of the trail are narrow and on elevated pathways so if you are not too confident on a bike then this is not for you but really pace was relaxed so you can take it slowly. Highly recommended as a nice break from the main city and wonderful guides accompanied us. Crossing the river was also a nice part which our kids really enjoyed.,,Colors of Bangkok,4,"Bangkok, Thailand"
Good location and perfect rooms,"Everything you want for a central Seoul stay, on the airport limousine shuttle bus stop, opposite a historic palace site for a morning walk, plenty of cafes nearby and a short stroll to Myeong-dong if that’s your scene. Rooms are very new, Molton Brown toiletries and great view of the Blue House in the distance. Staff are very courteous and go out of their way to help.",Date of stay: July 2019,"THE PLAZA Seoul, Autograph Collection",4,"Seoul, South Korea"
Good Burgers just off the main walking street in Pai,"We had very yummy burgers with thick beef patties, we ordered the classic beef burger with bacon which is served with a thick layer of fatty bacon which went well with the burger. All burgers come with homemade thick cut fries. Staff was very friendly and welcoming. They also run a stand-alone stall on the walking street in the evenings.",Date of visit: June 2019,Grunge Burger,4,"Pai, Thailand"
Good stay if you want to be right in the night bazaar,"This is an older hotel with a great location - right opposite the Anusarn market and in the middle of the night bazaar. Plenty of foot massage places next to the hotel for a quick foot massage and a Big C supermarket a quick walk down the street. Facilities wise the hotel is decent value, don’t expect spanking new facilities but you are here for convenience and location. Breakfasts are ok but nothing to shout about.",Date of stay: June 2019,Dusit Princess Chiang Mai,4,"Chiang Mai, Thailand"
Well located hotel,Good facilities and good location next to a skytrain station. Restaurants are sometimes fully occupied for conferences but there are lots of other places nearby to eat. Room is in good condition but if you have to take a cab it is not that easy to find one in a hurry as there is often a traffic jam on the streets in front of the hotel.,Date of stay: June 2019,Renaissance Bangkok Ratchaprasong Hotel,4,"Bangkok, Thailand"
