reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Saturday night dinner!,"Best place in town!Colorful, aesthetic high-style corner wine bar, outside comfortable social distancing sitting, indoors spacious atmospheric dining room Cosmopolitan with Mediterranean touch and tastes kitchen, masterful cooking and beautifully decorated dishes, friendly personalized service attentive to details; and above all, the most welcoming, friendly with a warm smile manager, Periklis ready to “navigate” you through their extensive wine list and take you for a look down stairs, to their spectacular wine cellar No doubt, a must place when in old town Nafplion",Date of visit: October 2020,3Sixty,4,"Nafplio, Greece"
A wonderful place for Sunday lunch!,"A wonderful place, beautiful open air environment, distance sitting, friendly, personalized service with all the “treasures of the sea”, fresh - fresh , masterfully prepared, large, generous servings, best value for money!! We really enjoyed our Sunday lunch with our friends A must visit place, when in Glyfáda",Date of visit: October 2020,Iolkos,4,"Glyfada, Greece"
Dinner out!!,"A so pleasant surprise, a small hidden treasure up in the mountains outside the picturesque village of Arnea, on the way to the Byzantine-time monasteries of Mount Athos!! Beautiful family wooden suites, having the restaurant on the premises! Warm atmosphere, fireplace burning at the corner, nice selection of wines, creative dishes based on local recipes, friendly service! Worthwhile exploring if you are in the area!!",Date of visit: January 2020,Green Village Restaurant Bar,4,"Arnaia, Greece"
"Superb, spectular seafront fish restaurant!!","Went for family dinner while visiting ""Pollonia"", we were staying in Plaka, and we had the most pleasant dining nexperience. Friendly and welcoming service, beautiful dishes, creative cooking, superb tastes, and a good selection of white wines!!",Date of visit: September 2019,Gialos restaurant,4,"Milos, Greece"
Navigate around gorgeous Milos!!,"Chartered “Poseidon” as a family with our skipper, captain Andreas!
Sailed from picturesque “Pollonia” in the morning, we spent the day touring the southern part of Milos, visiting spectacular beaches, most known the magical one, called “Kleftiko”!!
Captain Andreas was a great companion and host making continuously sure that we have everything, from a tasty breakfast to a gourmet-style “fruit de mer” lunch (fresh shrimps, pasta dishes), cooled white wine, etc!!
A relaxing and enjoyable day, the best way to explore Milos and see beaches that you can’t reach from land!!!
Highly recommended!!",,Explore Milos with Poseidon®,4,"Milos, Greece"
Superb lunch😊,"Lovely place by the sea with nice shade, best for a comfortable and tasty meal!!
Three brothers own the place, one of them is a fisherman so ask for the catch of the day!!
Delicious dishes, salads, the local Cretan “dakos” and tasty local desserts!!
A must place to visit",Date of visit: August 2019,Galini,4,"Crete, Greece"
Just wonderful⛱🏊‍♀️🏊‍♂️,"A nice long beach, beautiful scenery and deep blue clear waters!! Offers sun beds and umbrellas, fresh water showers, and happily no music!!

Just across the street, nice restaurants with delicious local Cretan cuisine, the local grapa called “tsikoudia” and fresh fish!!!

Accessible by road, 1,5 hour from Chania!",Date of experience: August 2019,Sougia Beach,4,"Crete, Greece"
Lovely lunch,"On our way from Loutro to Sougia, the boat made a stop at Aghia Roumeli!
A friend had recommended this place and we went for lunch!
The owner Mr Prokopis was friendly and welcoming and whatever he suggested was well cooked and tasty!!
The service was attentive and overall we were pleased! Reasonably priced, good value for money!",Date of visit: August 2019,Samaria Restaurant,4,"Crete, Greece"
A most hospitable place!!,"We came to Aegina for the wedding of the son of a very good friend of ours! They booked us at Xanthippi hotel, an excellent choice!
Located on the breezy side of the island, it is a new hotel, impeccably clean, all rooms with a view to the sea and beautiful gardens!

Breakfast is very nice with lots of choices, and it’s restaurant is a must for a lovely, atmospheric dinner!

The owner Nikos, a very friendly and sophisticated person, will be also very willing to tell you on what to do, what to see and where to eat all over the island.
All the staff is also very well mannered, friendly and willing to assist you with anything you need!

If Aegina is your destination, definitely worth of considering “Xanthippi” for your stay on the island.

Aegina is a large island and definitely you need a car to enjoy and explore it!! A must visit is the ancient “temple of Afaia”, very well preserved with a panoramic view!!",Date of stay: July 2019,Xanthippi Hotel Apartments,4,"Aegina, Greece"
A lovely place for home-cooking lunch and dinner😊,"What a lovely find this family-run taverna!!
Fresh-fresh seafood and fish, cooked to perfection! Local ingredients, garden grown veggies, tomatoes,cucumbers, peppers, you name it ... with original taste!!
Just delicious Manolis, the owner will welcome you with a huge smile and very gentle, polite manners; Erasmia, his wife and cook, a lovable, friendly person and a caring mother; and daughter Michaela, a great helper and hard working young girl, will make sure you have everything for a lovely meal!
A must: broiled sardines, broiled or fried baby squid (Kalamari); baby red mallets (barbounia), fish soup and broiled big fish!!
Tasty home made fresh salads, and season fruits Located on the north eastern side of the island, in Vagia village..",Date of visit: July 2019,Panorama,4,"Aegina, Greece"
