reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Great food in excellent atmosphere,The best tzaziki in town and amazing octopus. Great service and very clean place with an amazing sea view,Date of visit: July 2019,Agorastos Taverna,1,"Thásos, Greece"
Best place to stay in Thassos,It is perfect apartment hotel with all needed utilities. The apartments are recently renewed and are extremely cosy and comfortable. From the balcony we had sea view and mountain view. Truelly amazing. For the hot days there is air-conditioner. We could park the car inside in the parking and it is great location - quiet and in close proximity to some of the most beautiful Thassos beaches and to the best tavernas in the island. It is very clean and the staff is very helpful with every request we had. Excellent place to stay with the family and friends. Thanks you for the great experience.,Date of stay: July 2019,Holiday Villa Thassos,1,"Thásos, Greece"
Great experience a lot of fun,It was really interesting and very well organized fishing trip. I am no fisherman but it was a lot of fun. We were with friends and my daughter of 3 years old. It was great. We caught some fish and we even saw dolphins. Thank you for the good experience,Date of experience: July 2019,Fishing Trips Thassos,1,"Thásos, Greece"
Amazing Asian restaurant,This is one of the best restaurants for Asian food. The sushi is great! The duck is awesome! Thank you for the good service. You made our evening special.,Date of visit: July 2019,KabukiCanton Kremasti,1,"Rhodes, Greece"
Unique place,I was really proud to taste the traditional flavours of the Bulgarian cuisine served in such an exquisite manner.,Date of visit: December 2018,Andre,1,"Sofia, Bulgaria"
Best Mexican restaurant ever,"Great food, excellent service and chocolate tequila. The tomato salsa is amazing. You need to try the nachos as a starter.",Date of visit: September 2018,La Cucaracha,1,"Leuven, Belgium"
Excellent experience,Thank you so much for this experience. It is very well-done real life escape room. For us was the first time and we were with two. We had a lot of time and we will go also for the rest of the rooms.,Date of experience: July 2017,ExitRoom,1,"Leuven, Belgium"
Great takeaway sushi choice,This is very good sushi place for take-away. The salmon menu is one of the best I have tried. The prices are not so expensive.,Date of visit: July 2017,Tokio Sushibar,1,"Leuven, Belgium"
The sushi can be better,The sushi is not top quality compared with the other restaurants in Leuven. There is not big difference with the sushi from delhaize. The good points are that there is delivery to home.,Date of visit: May 2017,Sikinoya,1,"Leuven, Belgium"
Very good Asian restaurant,This restaurant is perfect for teambuilding also for normal dinner with the family. The sushi not the best so I would strongly recommend to go for the wok. There is really great wok choice and all are prepared excellent.,Date of visit: September 2016,Wok Dynasty Heverlee,1,"Heverlee, Belgium"
Best steak in town,Excellent restaurant. If you want to go for a delicious steak this is the place. The quality of the food is perfect. The service is great.,Date of visit: June 2017,Meating Room,1,"Leuven, Belgium"
Best burgers in town,"The burgers are great. Very good meat, delicious bread. Very good quality. The service is also really good. The restaurant is very well ventilated and you don`t stink of food when you are leaving which is in almost every other burger place I have been.",Date of visit: June 2017,Babo's,1,"Leuven, Belgium"
Not happy with the quality,The meat is strangely prepared. The souse is with weird spices. Too much curry. The prices are quite expensive for this quality. And after you leave the restaurant you smell like you have been sitting in the kitchen for the entire day.,Date of visit: March 2017,Sticky Fingers BBQ,1,"Leuven, Belgium"
I would expect better quality of service from such a hotel,"The cleanliness of the rooms was not optimal. I have found hair in the bath tube, which I find very disgusting. We have used the shower gels and they were never replaced. Neither any of the used other kits in the bathroom. The beds were well done but my pajamas were not folded but put on a ball next to the pillows. The breakfast was not rich on choice but the products selected were good. The hotel facilities are excellent and the rooms are very comfortable. The lift to the terms from inside the hotel was not working.",Date of stay: March 2016,"Radisson Blu Palace Hotel, Spa",1,"Spa, Belgium"
Horrible location,The location is outside anywhere. If you are there without a car cannot move.It is quite scary if it is dark. It is in the middle of the big shops and it is in between two parkings. I was scared to go out,Date of stay: April 2016,Hotel Chamdor,1,"Roeselare, Belgium"
Amazing experience,"Amazing team, extremely helpful and friendly. They don't give up until everyone is above water. I would definately recommend this experience!!!",Date of experience: May 2015,Flyboard Mallorca,1,"Majorca, Spain"
Good food traditional restaurant,"Very nice and cosy traditional restaurant.
The food is very delicious. They have also suggestions of the chef which are always interesting choice and a must do.
The restaurant brews its own beer which is really good. There is a tasting menu with small samples of the different beers that the restaurant brews. This is excellent way to select the beer you like most.
The service is ok. Price for value is good.",Date of visit: October 2015,Domus,1,"Leuven, Belgium"
Amazing museum,"This is must see place in Washington. From meteorites to dinosaurs, everything is there. It is free of charge and it is not overcrowded.",Date of experience: October 2015,Smithsonian National Museum of Natural History,1,"Washington DC, District of Columbia"
Excellent,The most incredible tour guide in the world. Thank you so much Henry for this inspiration and for showing us Washington :) #bigbustoursusa #washington,Date of experience: October 2015,Big Bus Tours,1,"Washington DC, District of Columbia"
Super pizza,"Real Pizza! The atmosphere in the restaurant is very nice. The oven for baking pizzas is impressive. Order pizza with the house white wine, divine taste!!!
Oh something very important on the same street just two-three numbers away there is just a regular bakery with the same name. The first day we got confused and didn't find the proper place :)",,Trattoria Pizzeria Belle Arti,1,"Bologna, Italy"
Cosy cafe,"If you want to experience good coffee, delicious snack and great service this is your place. It is small and cosy place perfect to relax with cup of coffee or glass of prosecco!",,Toffee art cafe,1,"Bologna, Italy"
Friendly staff,"The facilities of the hotel are nice, the rooms are big and bright, the restaurant is very nice and the food is good. If you want to stay and eat there you won't regret it.
We were on a conference and there was terrible internet connection. And we had some problems with the cleaning personnel. I didn't have any shower gel for 2 days. The gym is ultra small so don't count on it.
But the location is very good.",Date of stay: October 2014,Aemilia Hotel,1,"Bologna, Italy"
Super hotel,"The hotel is very nice, the rooms are really comfortable. There is everything inside. The internet is very good and fast. It is very clean and the staff is friendly. It is located in between the city center and the port. But you cannot walk really to any. The metro stop is 10 min away. It is very close to Valencia football stadium.
The breakfast is quite poor and it is not worth.",Date of stay: October 2014,Sweet Hotel Renasa,1,"Valencia, Spain"
Perfect place to dine,The food was excellent and the service was perfect. The atmosphere is very cosy. Better reserve table 2 days in advance.,,Restaurante Navarro,1,"Valencia, Spain"
The best sushi in town,"The sushi is perfect, the rice is well-cooked and the topping is excellent.
The service is friendly and extremely helpful. They value their customers.",Date of visit: October 2013,Sakura Sushi & Sashimi,1,"Leuven, Belgium"
