reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Great day with Captain Nikolas and Captain Artemis,"Took my 9 year old son for a day of fishing with Nikolas and Artemis. They were gracious, fun, accommodating and super friendly. They gave us a lot of background on Mykonos and took us out for a great day of fishing, swimming and eating. It was a treat to spend the day with two of them. Nikolas cooked up a bunch of the fish with some other local food and made a fantastic meal. Artemis cleaned a large amount of fish for us to take home as well which we ate the next night.",Date of experience: June 2019,Captain Nikolas,5,"Mykonos, Greece"
Wish we had booked to stay longer,"When booking a trip to the Greek Islands, we wanted to try an island other than Santorini or Mykonos. We opted for Naxos and stayed at Valea Villa. The home was beautiful and well maintained. There was a fruit bowl and pound cake upon arrival. All of the amenities were included to get you started, from shampoo and conditioner, coffee, and bottled water. They do a great job of checking in without being intrusive. The children loved swimming in the pool and there was a parking spot available for a rental car. There were multiple balconies overlooking the Aegean Sea. The beach was close and a small village walking distance for food and restaurants. We only stayed 3 nights. I wish we had planned a longer visit. We usually don't go back to the same place twice, but we will be back to Naxos and I would definitely stay at Valea Villa again!",Date of stay: June 2019,Valea Villa Naxos with Private Swiimming Pool,5,"Naxos, Greece"
Full day trip from Athens,"I would like to thank George with Visit Meteora Travel for the excellent tour of Meteora and the organization of the tour from Athens. His love of the region and deep knowledge of history and culture was infectious. The backdrop of Meteora was breathtaking. The only disappointment was that we only allotted one day, in retrospect at least three to four days in the area is the minimum needed to explore this area. We will be back for a hiking tour and will definitely contact George again to arrange.",,Meteora Monasteries Full Day Private Tour,5,"Kalambaka, Greece"
Multiple visits,Great sorbets and gelatos and service! My favorites were the lemon and orange sorbet. Hugs are free!,Date of visit: June 2019,Lolita's Gelato,5,"Santorini, Greece"
Cruise around the Caldera,"The experience with Captain Mario and his first mate, Nancy lived up to all the 5 star ratings. Fantastic experience - the hospitality, the conversation, the food and drinks , the cruising - all excellent. They were super accommodating to my entire family - wife, 3 kids (16, 13 and 9) and my 75+ year old mother in law.

Best seafood saganaki ever!",Date of experience: June 2019,Barbarossa Sailing,5,"Santorini, Greece"
Awesome,"We took the 30 minute Arches Back Country trip with my 15 year old daughter and 8 year old son. Just short of returning to the airport, we ran into a little bit of unexpected weather so the pilot hovered for a while to let it pass and return us safely. Well it did not, so we landed in a field while the owner came to get us and drove us back into town. The trip was fantastic, views incredible, pilot engaged and we had finished our half an hour; but because the owner perceived us as being inconvenienced, he refunded the entire trip. I insisted that we pay, they still refunded. Class act. Great business. Strongly recommend.",Date of experience: June 2018,Pinnacle Helicopters,5,"Moab, Utah"
Great Day!,"I went here with my parents (70+) and my child 8. Our guide was Jess and everything was fantastic. I read through all the comments prior to going and my concerns were that it was going to be child un-friendly and that there would not be sufficient food. None of those concerns were founded, all the staff was super accommodating and attentive to the young ones (there were also two infants and a 3-4 year old on the trip). And the food, plenty of it and delicious. The extra treat was cracking macadamia nuts and eating fresh avocado, coffee beans and fresh fruit from trees. Remember to bring wine or beer to enjoy with your meal.",Date of experience: March 2018,O'o Farm,5,"Maui, Hawaii"
Awesome. Six stars!,"I can't say enough positive things about this trip. We did the full day All the Way Around trip with my parents (70+) and child 8. Haley was our guide. I won't reiterate what is in most of these reviews but all the positives were our experience as well.

A couple things I would like to add are I appreciated Haley's candor and professionalism as well as her knowledge and appreciation of Hawai'ian language, culture and history.

I also wanted to convey my deepest appreciation for their post trip actions. We lost a bag on the trip somewhere and it was turned into the Hana PD by someone, it contained some rather important items; Gustavo (one of the owners) picked up my stuff from Hana within the next few days and Jasmine (the other owner) has arranged to have it sent to me back on the mainland.",Date of experience: March 2018,Holo Holo Maui Tours,5,"Maui, Hawaii"
Great experience.,"Though we did not fly (weather did not accommodate), I want to commend the professionalism and integrity Nate brought to this experience.

Firstly, we booked late and did not give Nate many options in dates/times, he managed to make our date/time work.

The morning we were supposed to fly, the weather looked socked in and he called to say we were not safely allowed to fly; however, we may be able to do it an hour or two later than scheduled time. He called back a few hors later to inform us that we could safely fly but the trip wouldn't be as memorable as a lot of the valleys with the waterfalls might still be cloudy. He basically said, if the experience is just to get in a helicopter, go; however, if you want the real experience, save it for another time. I appreciated his candor, integrity and honesty and giving us an honest assessment and not taking us and wasting our money.",Date of experience: March 2018,"Pacific Helicopter Tours, Inc",5,"Maui, Hawaii"
2 Day tour with Mr. Khem,Excellent. Could not recommend any higher. Mr. Khem had a very easy going personality and very deep knowledge and passion for Siem Reap and the Khmer history. I thoroughly enjoyed his tour and company.,Date of experience: November 2015,Happy Angkor Tour,5,"Siem Reap, Cambodia"
