reviewTitle,reviewDetails,reviewDate,reviewFor,reviewRating,reviewLocation
Hot Tub break,"We stayed in early August for a weeks break using the hot tub as much as we could in the rain! This was a spacious and well kept lodge with all the facilities we needed, our boys had a room each and it was a great base to tour Oban from.

The Spar shop is just round the corner and the wee games room with a pool table and table tennis table is just enough to fill a bit of time at night. The staff are incredibly helpful and we thoroughly enjoyed our time here.",Date of stay: August 2019,Loch Awe Holiday Park,4,"Taynuilt, United Kingdom"
Serious lunch,"A fantastic setting looking out over the water makes a great start for this seafood extravaganza!

With plenty of choice across the board from shellfish to fresh grilled fish this is certainly a place where serious seafood eaters can enjoy a meal. The restaurant has its own boat and lands fresh seafood on the harbour every day so you can be assured of the best.

We had fantastic starters with scallops and langoustines followed by seafood stews, fish pie and a beautifully grilled sole with lemon butter.

This is a great place to eat with the only downside being the cost, bring your card!",Date of visit: August 2019,Cafe Fish,4,"Isle of Mull, United Kingdom"
Sometimes you win...,"With time wearing on and not having booked anywhere we chanced a gamble on Bar Rio as Oban was busy and we figured you can't go much wrong with Pizza and Pasta.

Unfortunately this was the wrong assumption and what was delivered to us was no better than a shop bought soggy disappointment. Loaded with too much cheese and overwhelmed with garlic the pizza was not what I had expected. The carbonara was heavy with thick cream sauce and was too stodgy to really enjoy.

Looking round the steak looked a much better option but by this time there was no saving Rio....

No win this time on a restaurant gamble.",Date of visit: August 2019,Rio,4,"Oban, United Kingdom"
Worth a visit,"Hidden out of the way close to Taynuilt is the beautiful setting of the Brander Lodge. Staying at the local holiday park we walked here to find ourselves in a lovely breakfast room overlooking the garden. It was a shame that it was raining as a seat outside would have been lovely!

We sat down to an excellent lunch with well presented food, lovely soup and sandwich combinations and plenty of choice across the menu. While it wasn't cheap, it was excellent and the staff could not have been nicer or more helpful in suggesting a trip down to the waterside.

I'd venture back here again.",Date of visit: August 2019,The Brander Lodge Hotel & Bistro,4,"Taynuilt, United Kingdom"
How it should be,"Please just forget about the restaurants and everywhere else selling seafood in Oban and head here. If you're lucky you might get a seat under the canopy if not just slum it on the edge off the harbour!

Whatever you eat from the massive Crab sandwich, to oysters or the giant seafood plate you will not be disappointed. The queue of foreign visitors tells a tale that this is the freshest of food from our beautiful shores.

Half a dozen oysters at less than a pound each and a plate of mussels meant that was in heaven, I don't think I'd want to eat seafood anywhere else in this town.",Date of visit: August 2019,Oban Seafood Hut,4,"Oban, United Kingdom"
Fantastic stay,"We stayed at this resort for two weeks and were very impressed with the service and cleanliness of the hotel. It's recently been refurbished and to a very high standard which is maintained by the constant vigilance of the staff. Nothing was too much trouble for them and really we didn't have to do a thing for ourselves.

The staff at the spa were excellent and my time in the Hammam was amazing! Very much enjoyed being treated like a king. The gym is reasonable and a good size, never tried the indoor heated pool for obvious reasons!

The buffet meals were varied and the food was always fresh for breakfast, lunch and evening meals. We tried the a la carte restraints but found the tasting menu a bit much to eat over the course of the evenings. The only thing that bothered me was you were not allowed to fill a water bottle at the bar area during the days, a bit strange.

There were plenty sunbeds for everyone and the beach area is very well kept. Evening entertainment got a bit repetitive but you could easily retire to the bars.

Local taxi rank is just across the road and there are a few excellent restraints and bars close by if you do want a change. I would avoid paying for ant Tui tours, it's easy to organise your own from the harbour for a much better price.",Date of stay: July 2019,Akti Imperial Deluxe Resort & Spa Dolce by Wyndham,4,"Rhodes, Greece"
Relaxed lunch,"We spent a good few hours at Pedi beach being served by the staff here, it's well run and very well maintained. The sea deck where lunch is served is stunning and we were all very welcomed by the staff. We stuck with Calamari and shrimps and were not disappointed with the quality of the food. Loads of tasty bread and the best Garlic dip went down well with us, a bit more expensive than usual but worth it for the scenery.

We would all go back again!",Date of visit: July 2019,Restaurant & Beach Bar Katsaras,4,"Symi, Greece"
Exercise before lunch,"If you fancy some exercise before lunch then have a go at the 357 steps up to the village, there are plenty of great photo stops on the way and some great views at the top. It's less of a tourist place at the top where you can get lovely pastries at the local bakery or even climb the rest of the way to the church at the top. It doesn't take a long time but might be tougher in the mid day heat.

Give the Olive Tree Cafe a shot if you're looking for some tea and cake!",Date of experience: July 2019,Kali Strata,4,"Symi, Greece"
Absolutely idyllic,"We ended up here after climbing the Kali Strata steps and I have to say it was a very peaceful and beautiful location. Sunbeds are €5 each and run by the local hotel. The water is clear and still and there are a few fish to be seen if you bring your snorkels, the hotel brings drinks to the sunbeds and even brought some complimentary snacks out!

We spent a good ,3 hours here before catching the local bus back to the harbour, a cracking day out.",Date of experience: July 2019,Pedi Beach,4,"Symi, Greece"
Welcome break,"At the top of the Kali Strata lies a beautiful hidden gem of a cafe, ful of atmosphere, great food and very pleasant staff. The ladies that run this place could not be nicer and serve up some tasty dishes including excellent home made cake! The lemonade was sharp as refreshing and the view over symi was really great.

Thanks to the owners recommedation we took the ten minute walk t Pedi beach from there, well worth it. If you can make the climb don't miss The Oive Tree out of your trip.",Date of visit: July 2019,The Olive Tree Cafe,4,"Symi, Greece"
Can't move yet,"Holy Moly what an absolute feast we had at this outstanding Asian restaurant. Sushi, Sashimi or Miso are all catered for extremely well in this well appointed out of the way hotspot. We opted for some sushi and gyoza which came with a lovely sweet/sour dip and followed this up with a massive Korean barbecue complete with kimchi and lettuce wraps which took us over 2 hours to eat!

The only downside to this restaurant is the time it will take you to try and make up your mind what you want to eat!

Honestly if you're in Rhodes don't miss it, the place could make a fortune in the UK.",Date of visit: July 2019,Nami Sushi & Korean BBQ,4,"Rhodes, Greece"
Good day out,"Definitely the best value for money park I have been in, there are a variety of ways to go with the local bus and free bus being the cheapest option. Depending on where you are located taxis all have set fares. Adult day tickets are €24 and can be bought online or on the day. The park is well organised and most rides are in easy walking distance of each other, for those too tired by the heat there is a little land train to ferry you around. Food was very well priced with most main courses around €8 with drinks at €2.

Wear water shoes as the ground is hot and they cost €10 to buy them at the park, rash vests and t-shirts are also allowed on all the rides. Huge variety of rides as well to suit all levels of thrill seeker. Lockers are available and you can also load up your wristband with cash to spend getting any back at the end of the day.

My only gripe is that not all the staff are as well trained and I found some to be quite abrupt and at times rude to customers, a bit disappointing.",Date of experience: July 2019,Water Park,4,"Rhodes, Greece"
Relaxed lunch,Up a side street and out of the bustle is a lovely place called Zizi. With some pergolas and beautiful flowers all around it was a great place to stop. The food is fairly standard across Taverna's and opting for fried squid and mussels we were not disappointed. There is a family feel to this place and I enjoyed lunch here a lot.,Date of visit: July 2019,Zizi Restaurant,4,"Rhodes, Greece"
