reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Good start to our holiday!,"Came to Jimmys on our first night arrived late and Taverna was busy but they accommodated is well in a safe way whilst still keeping the usual Greek hospitality! Lots of choice on the menu I would say this Taverna is a traditional affair whilst serving serving some very nice pizzas as well! My husband and I both went for traditional Greek dishes and enjoyed them both, nice big portions which was good as we were hungry, all at a very reasonable price! A good start to our stay!!",Date of visit: August 2020,Taverna Pizza Jimmy's,1,"Skiathos, Greece"
Lovely experience,"Thoroughly enjoyed our experience today, made to feel very welcome nice family atmosphere! 4 year old nephew loved the dinosaurs and the interaction, server was great with the kids and attentive, food was tasty too large portions and fresh ingredients. Would definitely recommend it as a family meal out.",Date of visit: February 2020,Jurassic Grill,1,"Kettering, United Kingdom"
Greek Escape,"Had a fabulous time at the Elena Village, Hotel is built on an amazing setting with Telemenos directly in front of you and the cliffs behind. We were lucky to get and upgrade for a night in one of the rooms with a private pool, we didn’t realise this was an option as wasn’t available with Jet2 but definitely worth it if you can book one of these. However the standard rooms are equally as good large plenty of space, lovely big balconies so you can admire the amazing views. Hotel is very clean and tidy, all the staff are very friendly and helped us with any queries we had. Breakfast was good standard and plentiful. Short walk into the main area of town lots of tavernas to choose from didn’t have one bad meal. Would highly recommend.",Date of stay: October 2019,Elena Village,1,"Kalymnos, Greece"
Traditional Greek Hospitality,"Great restaurant on a balcony over looking across to Telendos, lots of lovely traditional Greek dishes on the menu all really good value, my Beef Stifado was delicious and my husband really enjoyed his Lamb Kleftico, service was good and the place had a good atmosphere.",Date of visit: September 2019,Matheos,1,"Kalymnos, Greece"
Good service,"This little place is always jam packed but we wanted to give it a try as it’s famed for its grilled food, service throughout was great and the value was good, our starter was really good and my husbands main was delicious just little disappointed in my chicken souvlaki as it was so dry it was almost inedible but thankfully it came with some tszazki, maybe I was just unlucky.",Date of visit: September 2019,Panos Restaurant Kalymnos,1,"Kalymnos, Greece"
Good vaue,"Don’t be fooled like we were for a few nights thinking the restaurant is empty it actually has a large seating are out the back looking over at Telendos and is always busy, so glad that we came in we both had lovely lamb dishes really good service as well, the complimentary cake was a winner too!",Date of visit: September 2019,Avra Aigaioy,1,"Kalymnos, Greece"
Great start,"Come here on our first night what a great way to spend our holiday although it was pretty quiet it still had a lovely traditional Greek taverna feel to it, the whole family are involved. What was quite nice was how we were told how the dad made the bread and the honey was there own too. We liked it here as everything was produced by them a farm to plate experience! Good service and good value definitely recommend.",Date of visit: September 2019,Tsopanakos Restaurant,1,"Kalymnos, Greece"
Traditional Greek tavern,"Of you want traditional definitely come here lovely setting looking across to Telendos, lots of traditional dishes to choose from and good traditional Greek hospitality!",Date of visit: September 2019,Kalymnos Greek Taverna,1,"Kalymnos, Greece"
Busy atmosphere,"This place was busy every night of our stay with a lively good atmosphere, people always waiting for a table which is always a good sign, we only had a 10 minute wait which we didn’t mind, tables did feel a bit close together but it wasn’t to much of a problem, not many traditional Greek dishes but different takes on Mediterranean food. Slightly higher priced than other places we ate but worth it as food was lovely and service was good.",Date of visit: September 2019,Aegean Tavern,1,"Kalymnos, Greece"
Favourite meal of the week,"Came here for our wedding anniversary as we had seen all the good reviews and it always looked busy, service was very good all the staff where really friendly and helpful, all our dishes were very tasty my husband had the fish platter for one which he said was his best meal of the holiday, I enjoyed my pasta dish too. Highly recommend!",Date of visit: September 2019,Prego Ristorante,1,"Kalymnos, Greece"
