reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
The best guide in Jaisalmer,"We toured the city with Harish and he was fabulous. Very knowledgeable and the sweetest guy! He shared all the fun tidbits about Gadisar Lake, Patwon ki Haveli and the Fort. Also shared a refreshing drink with my husband and I when we were done with our tour and told us about his family and his own travels. He is very professional and really strives to make sure his guests have the best time. 100% recommended!",Date of experience: September 2019,Jaisalmer Tour Guide,4,"Jaisalmer, India"
Highlight!,"Nikos and his wife, Frosa are AMAZING! they are so warm and inviting. They took great care of us and made us the BEST meal we had in Milos!",Date of experience: April 2019,Milos Fishing Experience,4,"Milos, Greece"
Fantastic Location,Tania and her family makes you feel like a part of their family. The property is very well maintained and cozy. We were comfortable and the views are amazing. We felt completely taken care of! Would stay here over and over again.,Date of stay: April 2019,Tania Milos,4,"Milos, Greece"
Best Tour in Hanoi!,"We got to try so many different foods and Tai looked after us extremely well. He attended to all our wishes and didn't limit our tour to just food. We loved Tai and how much he helped us understand his wonderful city. He had a ton of knowledge to keep us intrigued and taught us a lot. Would visit again just see our new friend, Tai",Date of experience: January 2019,Tours By Locals,4,"Hanoi, Vietnam"
Highlight in Hanoi,"We got to try so many different foods and Tai looked after us extremely well. He attended to all our wishes and didn't limit our tour to just food. We loved Tai and how much he helped us understand his wonderful city. He had a ton of knowledge to keep us intrigued and taught us a lot. Would visit again just see our new friend, Tai We also had help from Mike via Whatsapp. He answered a lot of our questions quickly and efficiently.",Date of experience: January 2019,Rose Kitchen,4,"Hanoi, Vietnam"
Highlight of the trip,"What’s there to say that hasn’t already been said. Steve, our guide, was attentive, knowledgeable, and charismatic. Hé made sure our dietary needs were met and really showed us a fantastic time. The tuk tuk rides showed us a lot of the country. He and his partner curated a great tour to teach you about the food and also the people. Absolutely recommended! Cant miss.",Date of experience: December 2018,Siem Reap Food Tours,4,"Siem Reap, Cambodia"
Private Day Tour,We had Ken as our guide and he was just perfect. His enthusiasm for the food and knowledge of the history and culture opened our eyes to the possibilities of Malay cuisine. The tour was comfortable in a private car with a little bit of walking but the experience was top notch. We felt well looked after by Ken and was of course fed incredibly well. Highly recommended for anyone interested in eating true Malay cuisine!,Date of experience: December 2018,Food Tour Malaysia,4,"Kuala Lumpur, Malaysia"
A Piece of Heaven,"Leela Udaipur is by far our absolute favorite hotel experience in the world, thus far. We have stayed at over 20 different hotels in the last 4 years, both boutique and part of a Group, but the hospitality and crucial attention to detail at Leela has been unmatched. Starting from our pickup at the airport by Mr. Kamal to a surprise sunset boat ride with a cake to celebrate our anniversary, the staff at Leela are fantastic and truly strive to make their guests happy. Elty was our butler and did everything to make sure our 5 year anniversary was nothing short of special. We didn’t even ask for the wonderful additions but she happily set everything up for us. The gesture and surrounding beauty of the lake and hotel nearly brought tears to my eyes. The hotel itself is spotless with gorgeous decor throughout. I’d recommend experiencing The Leela to every one who visits!",Date of stay: April 2018,The Leela Palace Udaipur,4,"Udaipur, India"
FOODIE PARADISE,My husband and I were unaware of Bohri people and their specific traditions so this was the best learning experience. We were welcomed into someone’s home and sat around a huge thaali with about 10-12 more people. The 8 course feast was absolutely perfect bite after bite and note after note. What a symphony of flavors that we don’t think we’ve experienced anywhere else. Nafisa Aunty who overlooked every item is a Master Chef and her love and passion for her cooking shines through. Come hungry and leave veryyy happy!!,Date of visit: April 2018,The Bohri Kitchen,4,"Mumbai, India"
Delhi to Agra - Taj Mahal,"My husband and I were picked up by our driver, Subodh, from our hotel. He drove for about 4 hrs each way from and back to Delhi. He was a safe driver who took very good care of us during the journey. He was able to communicate well with us in English and made the trip very comfortable!
Our guide in Agra was Mr. Arif. He was a extremely knowledgeable and gave very interesting info throughout out the trip. He gave us plenty of time to enjoy Taj Mahal and took some seriously amazing shots for us. Maybe in another life he should consider photography as another career choice. Then he took us to a marble artifact making shop where we saw how the marbles are carved and in-laid with various semi-precious stones. Our final stop (after lunch) was Agra Fort. Such a majestic complex and Mr Arif knew so much about all the parts open to public. He took very good care of us and was a joy to be with!",Date of experience: April 2018,Chaman Duggal Private Tours,4,"New Delhi, India"
Clean and Renovated,We were upgraded to a room on the too floor with a great view of the marina. The room was spacious and well maintained. Staff was friendly and helpful. Would definitely recommend staying here. If I were to come back with my husband we would stay at the Hamilton for sure. Marcus’ restaurant was fantastic with attentive waiters.,Date of stay: March 2018,"Hamilton Princess & Beach Club, a Fairmont Managed Hotel",4,Bermuda
