reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Mycket gott,"Åt charkuterier som förrätt och råbiff som huvudrätt. Mycket gott, bra service då jag är matkänslig mot vissa saker och fick bra bemötande med andra råvaror",Date of visit: October 2020,Kalmar Kött & Bar,4,"Kalmar, Sweden"
Överraskad,"Mysigt SPA som alltid, stora fräscha rum. Maten har tidigare varit en besvikelse men denna gång blev jag glatt överraskad. Mycket god mat. Hade bokat vardagslyx-paket, bra pris",Date of visit: August 2020,Ronneby Brunn,4,"Ronneby, Sweden"
God mat ...,... och trevlig personal. Åt lunch från a la carte. Den bar supergod och lagom pris. Mysigt ställe. Rekommenderas,Date of visit: August 2020,Bistro Bakgarden,4,"Ronneby, Sweden"
Bästa lammet jag ätit,"Varit här innan, tre år sen, men denna gång var det ännu lite bättre. Jag åt lamracks som smälte i munnen och resten av sällskapet var oxå nöjda med sina rätter. De åt hamburgare och tonfisk.

Ett litet minus är priset, att inte något ingår till tonfisken och lammet. Fick lägga till side-dishes. Blir dyrt när man är många från en o samma familj.",Date of visit: August 2020,KOL & Cocktails,4,"Helsingborg, Sweden"
Rekommenderas,"God mat, trevlig och familjär personal, god dryck. Extra plus till rökta räkor och lammracks. Och mycket prisvärt!",Date of visit: July 2020,Kaptensgarden,4,"Falsterbo, Sweden"
Rekommenderas varmt,"Mycket fräscht och lättillgängligt Bed and Breakfast nära vatten, centrum, Strandpromenaden som leder 20 minuters promenadväg till Wägga fiskrestaurang. Lagom frukost och mycket god. Stannar gärna här igen när vi kommer till Karlshamn nästa gång",Date of stay: July 2020,Vagga Bed & Breakfast,4,"Karlshamn, Sweden"
Mycket bra men...,"Vi var mycket nöjda med skaldjursfat för fyra pers och en Wägga Special (fisk i olika former) men hummern var en besvikelse. Det var ingen selta i den, dåligt smaksatt, men annars supernöjda med både mat och dryck och service",Date of visit: July 2020,Wagga Fisk & Delikatessrokeri,4,"Karlshamn, Sweden"
Rekommenderas varmt,Denna lilla Bistro bland lägenhetshus är att varmt rekommendera. Vi blev väl mottagna och både mat och dryck var till stor belåtenhet. Smakerna var goda o köttet kanon. Gå hit,Date of visit: March 2020,La Bergerie,4,"Stockholm, Sweden"
Wonderful,"Wonderful views a sunny day. Great skiing, even for a ""almost"" new-beginner like me. The mountain has slopes that is suitable for all levels of skiing.",Date of experience: February 2020,Hintertux,4,"Tux, Austria"
A great stay ....,".... both last year and this year.
The hotel is very close to Eggalm lift and even closer to the Tux-bus that drives every 10th minute to Hintertux glacier. We had breakfast and dinner included in our price. The food was good, a little better than average, no luxuary but very sufficiant and you can Always ask for more.
The staff is very helpful and kind. Good wi-fi.

The thing that brings our stay to a little minus is the heat in the rooms that you cannot control, so we had to sleep with the window open.

And a minus is cleaningsstaff... they cleaned well but knock on the door every morning before we were up. Not everyone wants to go up at 7 a.m to have breakfast and go skiing early.",Date of stay: February 2020,Hotel Pinzger Tux,4,"Tux, Austria"
