reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Great Chinese in Kiev,This was a highlight during our visit in Kiev. It is sometimes difficult to find other food types in Ukraine. This one offers one of the best Chinese (along with the Bruce Lee theme).,Date of visit: January 2018,Bruce Lee,4,"Kyiv (Kiev), Ukraine"
Excellent food and hosts! Go!,"The best food we had in Athens and excellent return on investment. The hosts were kind, the kitchen newly remodeled and clean. The staff wonderful and the food - was amazing. The guac was excellent. There were options for vegans and the entire place was gluten free. Perfect choice for celiacs.",Date of visit: September 2018,Taqueria Maya Athens,4,"Athens, Greece"
"Marriott service, clean and comfortable",Lovely hotel with Marriott service. We were welcomed at check in. Great shuttle service down to the touristy areas. Breakfast is lovely and the staff excellent. Beautiful and modern with rooms that are new. Close to the new planetarium.,Date of stay: September 2018,Athens Marriott Hotel,4,"Paleo Faliro, Greece"
"Hidden gem, away from the horde","Lovely place to stop for lunch or a mid-afternoon snack. Enjoy the umbrella tables, cold drinks, lounging cats, and sandwiches. A relaxing respite from the hordes of tourists. You can elect to stay at the hotel or just enjoy the lovely cafe. Offered options for vegan and celiac diners. Small place with limited seating. Decorated with local art and unique gifts.",Date of visit: September 2018,Avalon Cafe,4,"Rhodes, Greece"
Great stop after hiking,"Perfect for a cold drink after walking the tunnel and seeing the seven springs, reservoir, etc. Reasonably priced. Animals and restrooms on site.",Date of visit: September 2018,Taverna Epta Piges - Seven Springs,4,"Rhodes, Greece"
"Unique, walk the tunnel","In September, most of the seven springs are dry. However the highlight is walking the tunnel and walking the shaded paths around the grounds. Bring a flashlight and swim shoes if you don't like to walk bare foot. The walk was fun and a bit of a thrill in the darkness. Enjoy a cool drink at the shop after your journey. Restrooms on site. The tunnel walk is perfect for a hot day.",Date of experience: September 2018,Epta Piges,4,"Rhodes, Greece"
"Excellent excursion, two thumbs up!","Well worth the money, excellent fishing! You are treated like part of the family. Great guides. We caught 9 while on our trip and dined on 12 - the hosts had a couple just in case. They grill and serve the fish with a salad and drinks. You have the option to swim if you like.",Date of experience: September 2018,Makarounas Fishing Trip Rhodes,4,"Rhodes, Greece"
Greek food and hospitality,"Lovely local place for traditional Greek food. Less touristy. Part of our day that included Archangelos Castle, Epita Piges and other sites. Attentive staff.",Date of visit: September 2018,Marias Taverna,4,"Rhodes, Greece"
"Wonderful sand, off the beaten path","Excellent beach - in late September it was lovely. Offering golden sands, sunbeds, and some fun snorkeling.",Date of experience: September 2018,Agathi Beach,4,"Rhodes, Greece"
Excellent food,Amazing views and food - perfect for that special dinner. Spendy but well worth the cost. We had a rental car and visited the castle nearby before dining.,Date of visit: September 2018,Ktima Lindos,4,"Rhodes, Greece"
Great side trip,Part of our journey around the island included visiting this wonderful castle. Our favorite by far as it offered breathtaking views of coast and the surrounding islands. The castle is still formed and offers insights into the past.,Date of experience: September 2018,Kritinia Castle,4,"Rhodes, Greece"
Prepare for a hike,"Wear comfortable shoes and bring water, etc. This is a hike. Pretty and lovely sights. Just be aware it is a walk over uneven and hilly terrain.",Date of experience: September 2018,Lighthouse Prasonisi,4,"Rhodes, Greece"
Breezy and unique,Beautiful sight where from up high you can see the difference between the seas. Sadly there is a lot of trash (likely washed up from the sea). We picked up some with the note that if each visitor did the same it would be much cleaner for all to enjoy. The beach is breezy and accessible by car. Great for kites.,Date of experience: September 2018,Merging of The Seas,4,"Rhodes, Greece"
Eat here!,"Steps from a delightful beach and nearby attractions, Johnny's is a clean cafe that serves wonderfully fresh food. Ask Johnny for the seafood specials and catch of the day. If you like seafood, it will not disappoint. This hidden gem was a delight and wonderful discovery. Thanks to other reviewers!",Date of visit: September 2018,Johnny's Taverna,4,"Rhodes, Greece"
Cool visit in September,"The Valley of the Butterflies offers a cafe, restrooms, a walk to see the moths (butterflies). We opted to do this mid-day/afternoon when it was too hot for anything else. Walking through the cool shaded paths and listening to the streams bubbling was a nice change from the bustle of the tourist areas of Rhodes.",Date of experience: September 2018,Valley of the Butterflies,4,"Rhodes, Greece"
"A gem, off the beaten path","Excellent food, lovely hosts - all family. Greek food served with love. Always fresh and authentic. Enjoy the lovely setting and atmosphere that augments the flavors you will enjoy. This was a one of the best restaurants we found during our week on Rhodes.",Date of visit: September 2018,Pelecanos Taverna,4,"Rhodes, Greece"
Wonderful day aboard and in the water,"Excellent experience - our group of four purchased tickets in advance. Seats can be on top deck or below; the crew will provide guidance if you ask. We were up top and enjoyed sun and shade throughout the day. The food is excellent and water, beer, juice and sodas were available throughout. The trip offered several options for getting in the water as well as provided a selection of floats, noodles, and snorkel gear for those interested. We explored three distinct areas and enjoyed an excellent lunch. Well worth the cost and a highlight of our week on Rhodes. Wear your swimsuit and bring overshirt, hat, sunglasses, sunscreen, and your camera. Definitely, bring your camera!",Date of experience: September 2018,Romantika All inclusive Day Cruise,4,"Rhodes, Greece"
Amazing!!!,Off the beaten path and a hidden gem. One of the favorites on our trip. Excellent food and service. Offers vegan and options for celiacs (gluten free).,Date of visit: September 2018,Chef Tommy’s,4,"Rhodes, Greece"
Breathtaking views,"Bring your camera, sunhat, and serenity. A bit of a walk, but well worth it for the views. These are ruins so don't expect Camelot. Enjoy the views and use your imagination.",Date of experience: September 2018,Feraklos Castle,4,"Rhodes, Greece"
"Lovely, small, off-the-beaten path","Fresh and excellent food with service and hospitality the Greeks are known for around the world. We were impressed with the view as well as the excellent and fresh food. If you don't speak Greek, ask the server to have the owner come over. He lived in the US and speaks fluent English.",Date of visit: September 2018,Agapitos Restaurant,4,"Rhodes, Greece"
Beautiful views,Hike up to the castle and enjoy the views. We hiked up just before sunset and enjoyed wonderful sights. You can drive up fairly close. Bring a flashlight / torch if you plan to hike up into the ruins at dusk.,Date of experience: September 2018,Asklipios,4,"Rhodes, Greece"
Excellent!,The food is delightful and served with Greek flair and freshness. The views are breathtaking and the atmosphere serene. Perfect for romantic dinner or an evening with friends and family. A favorite of our trip.,Date of visit: September 2018,Dionysos Restaurant-Meze,4,"Rhodes, Greece"
A must stop each evening of our stay,We honestly went here every night. One of the few places to find vegan or dairy free desserts if you have someone with an allergy in the group. Excellent frozen yogurt and gelatos.,Date of visit: September 2018,Royo Frozen Yogurt - Lindos Store,4,"Rhodes, Greece"
Amazing food,We enjoyed Olive Street and found the chef amenable to dishes that were allergen free for those in our party.,Date of visit: September 2018,Olive Street,4,"Rhodes, Greece"
Best sandy beach,"Amazing sands, gradual slope and perfect for those wanting to lounge. Amenities close by and sun beds a plenty. Bring a snorkel and mask and enjoy the fish and squid you will see at the sides and outer areas of the beach. Early is better since sun beds are rented for the day.",Date of experience: September 2018,Lindos Beach,4,"Rhodes, Greece"
Ideal spot for those avoiding the tourist traps,"Enjoy a close to perfect and authentic Rhodes by journeying to Lindos and the areas around it. Village has wonderful dining, excellent accommodations, and lots to do.",Date of experience: September 2018,Village of Lindos,4,"Rhodes, Greece"
Lovely beach!,Lindos has excellent beaches - varying from rocky to sandy. Enjoy the sand at this beach and sunbeds at the ready for a small fee (you get it for the day).,Date of experience: September 2018,Agios Pavlos Beach,4,"Rhodes, Greece"
Excellent dining and rooftop views,"Lovely dinner with another couple that included a lovely welcome and wonderful Greek food. Hospitality abounds and includes gracious service, a farewell drink, and lovely time. A gem in Lindos that should be included in your vacation and holiday.",Date of visit: September 2018,Kalypso Restaurant,4,"Rhodes, Greece"
"Look Up, Go Outside","Usually a stop on the way to somewhere else, Union Station does offer some lovely architecture and sculptures. Take a moment to enjoy them. Is also seasonally decorated. Offers a host of restaurants and shops as well as connections to metro, Amtrak, tour bus, bus, and rental cars. Parking on site for a fee. Metro, bus, and a free streetcar.",Date of visit: December 2018,Union Station,4,"Washington DC, District of Columbia"
"Very good food, Excellent for gf travelers.",Perched upon the highest level of DC's Union Station sits Legal Sea Bar. Opt for a high top the overlooks the entrance for great people watching or for a quieter lunch select one of the concourse tables. A good selection of spirits and two choices for those wanting a gf beer. Several gf options on the menu and manager supervision and delivery of your meal make this a top-tier for celiacs. Route your trip through Union Station for great sites and enjoy a gf meal.,Date of visit: December 2018,Legal Sea Bar,4,"Washington DC, District of Columbia"
Enchanting!,"The sculptures are enchanting to see and the restorations well done. Completely free. Stop at a nearby coffee shop for a beverage and walk the wall in the morning for warm light. Signs explain the history of the wall, restorations, and more.",Date of experience: October 2018,The Animal Wall,4,"Cardiff, United Kingdom"
Beautiful,Lovely gardens and sculptures. A must for fans of the bard. Still a treat for those in your party who don't quote the plays and sonnets.,Date of experience: October 2018,Shakespeare's New Place,4,"Stratford-upon-Avon, United Kingdom"
"Great food, near the stadium","We ate right after a game at nearby Wembly. As other reviewers said, it isn't much to look at from the outside, but the food is very good. Our group of 6 all found items to enjoy. From the mushrooms served with garlic mayonaise to the various pasta dishes, there was something to enjoy. For gf diners, there was a steak (grilled) with sides that was ordered by one in our party. The dairy allergy sufferer in our party also found a couple of options.",Date of visit: October 2018,Mushroom Italian,4,"Wembley, United Kingdom"
Wonderful walk through expansive gardens,"The roses are beautiful. The walks include areas where you can picnic or bring your dog. Other areas are more for gazing at the vast variety of plants. Many species on display and lots of opportunities to observe wild life, particularly water fowl and other birds.",Date of experience: October 2018,Regent's Park,4,"London, United Kingdom"
Easy to navigate,"Easy to make your way around at cheaper cost and more quickly than cabs. Oyster cards cover metro, buses, and more.",Date of experience: October 2018,London Underground,4,"London, United Kingdom"
"Good location, service","The hotel overall was very good. Check in experience was fairly quick and our room clean and ready. The king size bed comfortable and the room nicely appointed. We didn't try the restaurant, instead opting for coffee around the corner.",Date of stay: October 2018,Radisson Blu Edwardian Grafton Hotel,4,"London, United Kingdom"
"Wonderful, more than just a view","The host staff are courteous and friendly. You are welcomed as a valued customer. While the view of the Opera House is unique, lovely, and romantic, the true draw is the food. As someone with a food allergy, I was a little tentative. I explained to the host my dairy allergy and asked for advice on what to choose. Not only were there options, there were accommodations for most items on the menu. The food is served as one would expect of a restaurant of this quality. Service is excellent. Note if you dine on a Sunday, there is a surcharge.",Date of visit: July 2018,Aria Restaurant Sydney,4,"Sydney, Australia"
Great way to see the sights,"Easy to navigate and a great way to see the sights. Get an Opal card and use the Sydney Ferries to go to Bondi, Manly, Watson's Bay, the Zoo and other places.",Date of experience: July 2018,Sydney Ferries,4,"Sydney, Australia"
Excellent walk!,Amazing walk. We started about 2 pm in winter to end with the sunsets at Coogee. Great walk and a good way to walk off the body aches from plane travel.,Date of experience: July 2018,Bondi to Coogee Walk,4,"Bondi, Australia"
"Good Coffee, Open early",I walked over many mornings to grab a latte from Quay and Co. They open early and are friendly. The place fills up fast so if you want to sit and enjoy breakfast go early. Great food - Also have take away to get you on your way in the morning. They have alternative milk as well (almond and soy).,Date of visit: July 2018,Quay and Co,4,"Sydney, Australia"
"Cute little museum, orientation to the rocks",Lovely visit. Friendly staff who will orient you to the area and offer highlights. A free museum with three floors to explore and a rotating art exhibit of local artists.,Date of experience: July 2018,The Rocks Discovery Museum,4,"Sydney, Australia"
"Excellent choice, close to attractions, wonderful staff","Wonderful hotel with a caring staff who are friendly, helpful. The wine bar is fun and comfortable with a couple different seating areas. The breakfast and other amenities offered in the concierge lounge are high quality and offered at a variety of times. Bell staff and concierge services were great.
My room was well appointed and had a view of the Harbor Bridge. Walk in shower was nice and came with plenty of hot water. Hotel provided a full selection of toiletries to include not only the standard soap, shampoo and conditioner, but also hand wash gel, shave kits, and other items. Blackout curtains helped me deal with jet lag. Internet service was good and I experienced no issues.
Walking distance to several Sydney attractions aside from the obvious Quay - including The Rocks, Botanical Garden, aforementioned Harbor Bridge, and more.",Date of stay: July 2018,Sydney Harbour Marriott Hotel at Circular Quay,4,"Sydney, Australia"
Excellent Lebanese food; Outstanding service,Our mixed gender Western party very much enjoyed Karam Beirut. Our team looks forward to dining here at least once on each of our trips to Riyadh. We always start with a mezze and the tabbouleh is excellent (the mark of a great chef). We also enjoyed a couple of entrees to share amongst the table.,Date of visit: March 2018,Karam Beirut,4,"Riyadh, Saudi Arabia"
A Taste of NY in Riyadh,"Nice atmosphere and excellent food! Options for vegan, and more. Great Italian and well worth the visit. Newly added to our rotation and a nice variation on Middle Eastern cuisine.",Date of visit: March 2018,Eataly,4,"Riyadh, Saudi Arabia"
"Sky Bridge, spendy but great views at night","The mall and Sky Bridge are worth a visit. The Sky Bridge is spendy but at night is worth the trip for the photos. The lower level of the mall includes food court and affordable stores. The higher you go, the higher the prices.",Date of experience: March 2018,Kingdom Centre Tower,4,"Riyadh, Saudi Arabia"
