reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Lovely romantic meal,Good food good wine friendly staff and friendly people decent prices lovely views very clean I would recommend,Date of visit: August 2020,Seaside,1,"Zakynthos, Greece"
Promised john Smiths,We were conned into coming here on the promise of cold john Smith’s only to get 1warm can 45 minutes later food not good steak tough and pie hard underneath so very poor,Date of visit: August 2020,Sirocco Restaurant,1,"Zakynthos, Greece"
Lovely family owned small and friendly apartments,"Me and the wife visited here on the 18/8/20 for a week got a really good price,plane half empty,masks worn all flights,no problem with this,quick transfer 20 minutes,met by elena asked for low floor pool view was given that perfect,the pool is superb,we had many meals here and enjoyed every one the staff can’t do enough for you lovely people,well stocked supermarket on site also the same family,all staff wear masks hand sanitizer everywhere feels very safe here,apartment basic but for price it was worth it,no creepy crawlers seen ,very clean small and friendly complex ,beaches 2 minutes both ways outside,bars and restaurants 10 minutes walk all friendly,mostly empty because of these virus times everywhere all staff wear masks best bar we used was Wembley,he went out to get me john smiths what a star his name is Zeus he knows the best restaurants too we never had a bad meal 30£ for drinks and meals,forget fun train poor trips too bumpy no stops.gouves is a lovely little place and pella was just right,I will definitely come back here again,cheers steve and Linda",Date of stay: July 2020,Pella Apartments,1,"Crete, Greece"
This should be renamed sunrise happy place,"My wife and I spent a week here and it was very nice,most important to us is cleanliness and this is immaculate,secondly staff they are the most friendliest people,every one went out of their way to please us a special mention must go to mr Ahmed the food and beverage manager who looked after us daily he really loves his job thx Ahmed,also tarik the barman who always new what we drunk,thirdly the food was great and always fresh I loved this place nothing is too much trouble for these people,also felt very safe,I would return here no problem and I definitely will the people makes this place,so thanks from mr Steve and linda,we,ll be back",Date of stay: April 2019,Sunrise Marina Resort Port Ghalib,1,"Port Ghalib, Egypt"
Nice place shame about the breakfast,"Just got back from sun boutique hotel,we had a late arrival,given key and crammed into the tiny lift found room 112 overlooking the pool perfect just what we wanted,no water in fridge no nothing to eat,oh well we’ll get a good breakfast in the morning,after doing the towel run went for food what a disappointment continental breakfast with out croissants also no toaster just hard boiled egg ham and cheese but they have mugs not cups.we ate twice at the restaurant it was okay but small portions we was b/b so we ate out mostly,the small pool was lovely and cleaned daily the sunbeds was very good.room was very nice towels only changed 3 times a week also sheets,but overall room was nice,if you hire a car a interesting place was snail farm and fun was superb 20 kms away,would I come back probably not I like a good breakfast cheers Steve",Date of stay: August 2018,Sun Boutique Hotel,1,"Crete, Greece"
Very good seafood,We ate twice here food very good and reasonably priced seafood nice atmosphere and nice staff would definitely recommend,Date of visit: August 2018,Aris Katerina,1,"Crete, Greece"
"The most kids I,ve seen since school","We traveled with 6 adults and 6 kids,after a horrendous journey from the airport 2 hour 40 mins we was given what we asked for 4 rooms together,room had everything you needed cleaned daily balcony is tiny,we had heard about the sickness bug but was told it was remedied,but we still deep cleaned rooms and still 6 of our family was ill there is still a issue here people vomiting around the restaurant outside,the food was very good for the size of the hotel fruits was superb you won’t starve here kids pool is excellent I,ve never seen so many kids my grandkids loved it also ice cream and ice pops plus slush all day which was great,there is a wasp issue but only if you leave sugary drinks about,entertainment okay,but you have endure bingo before it starts would I come back,definitely not it’s too far from the airport,also they have not cured the sickness bug",Date of stay: August 2018,HSM Canarios Park,1,"Majorca, Spain"
I just love snails,"Wow found this place,the owner met us and she showed us around her snail farm witch her and her husband has built up,reminded me of the good life on tv,she was so knowledgable about the snails and then offered food home grown olives wine tomatoes feta and cooked snails it was superb,we left a donation for her troubles,a beautiful day thanks Steve and Linda",Date of experience: August 2018,Snail Farm and Fun,1,"Crete, Greece"
Friendliness hotel with a choice of john smiths,"Just got back from a very nice holiday,we stayed in the hotel so can’t comment on the studios or apartments ,first of all room cleaned daily,gardens immaculate no bugs in our room, we was ground floor which suited us,20 yards to restaurant and pool,pool was very nice after initially getting in it was very warm,no banging music just laid back very nice,we was half board the food was very good the choices are very good and the daily specials are excellent you won’t go hungry here.now the best bit the staff the most friendliness people we have encountered on holiday from the gardener to cleaners to bar staff to reception,the sotiris family are very hands on ,I must mention Tony who made my holiday just perfect,I happened to say that the draught beer was just blowing me up,I struggle with lager,Tony said no problem I,ll get you some john smiths cans with a widget chilled glasses chilled beer I was in heaven,we was given a beautiful cake for our anniversary and a lovely keepsake from Tony thanks for a wonderful holiday,would we come back absolutely and we will cheers Steve and Linda",Date of stay: July 2018,Sotiris Studios,1,"Cephalonia, Greece"
The trip that never was,"I arranged a trip while in uk when we got there was told they was not going out so we rebooked and then was told the day before there was going to be bad weather,let me just say I am a seasoned fisherman from Grimsby,and the weather was perfect hardly any wind i just think they overbooked people which is a shame because I was really looking forward to this trip.",Date of experience: July 2018,Fishing Tourism Kefalonia Michalis,1,"Cephalonia, Greece"
Book this hotel with confidence,"Wow we got this hotel at a good price with Tui and was so pleased we picked this place,we upgraded to a family room in the main building and was very impressed with our room 227 ,you could walk on your balcony to find fish at your feet common carp,mirrors koi orfe goldfish it was very peaceful,if you want a stress free holiday this is the place.rooms was very clean and very nice,the staff was very friendly and very helpful,the all inclusive drinks were superb proper keo beer,cocktails the best I, ve ever had at least 30 choices and real spirits not cheap rubbish am missing them all ready,but the best is yet to come,we have been all inclusive all over the world and I can honestly say that this hotel has the best food we have ever had,superb choices different themes every night,spotlessly clean and was perfect.we walked to ayia napa twice on the beach and on the road,but this hotel you don’t have to leave it really.mr nikos the manager comes round dailly asking if everything is okay lovely man,and would i come back a resounding yes and definitely will,so thanks Atlantico for a wonderful time cheers Steve and linda",Date of stay: April 2018,Atlantica Sungarden Beach,1,"Ayia Napa, Cyprus"
It does what it says on the tin,"We traveled with Thomas cook which was okay,transfer to hotel was in a small bus 8 people was swift,was met with cold towels and drink very much appreciated,shown the restaurant while bags were taken to room very nice,but when we saw room it was not as brochure described so rung reception a man came to explain why ,so ok never mind we are on our hols and didn’t want any arguments let’s just get on with it.now for our review food very good at each restaurant,the staff was very friendly and attentive,the room was very clean with some nice towel art,pool was very nice and was heated,pool bar was good,only problem was the toilet was 50 yards away perhaps I,m being lazy but a few people was also saying the same thing,yes there is work going on but it does not get in your way.we went to a couple of shows magician was superb karaoke also good the animations work hard,people come round every day asking if everything is okay,the general manager came to see me and after some consultation about my room gave me a good deal for my next holiday which I will take up,I,ve been to hurghada 5 times now and i would recommend this hotel to anyone I really enjoyed my holiday so thank you,one tip if you are with Thomas cook the return bus journey was very testing over 1 hour so I would get a taxi to the airport .so book and enjoy cheers Stephen",Date of stay: February 2018,SUNRISE Holidays Resort (Adults Only),1,"Hurghada, Egypt"
Football heaven,"Lovely bar football screens every where,friendly staff and decent food and cold beer what more do you want,so enjoy cheers steve",Date of visit: February 2018,Retro Bar & Pub,1,"Hurghada, Egypt"
Queue city,"Rooms spotless very good accommodation pools superb ,architecture magnificent most people friendly,now this is where it goes downhill food very repetitive they only have 1 chip frier for 1500 people it just doesn't work also egg man on his own just can't cope with the queue would I come back here,no way cheers steve",Date of stay: August 2017,Titanic Palace,1,"Hurghada, Egypt"
