reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Great find,Lovely comfy sunbeds and parasol and towels provided wrapped in celephane for €10 for 2 people. Bar service. Clean toilets and hand sanitiser. Very attentive staff.,Date of visit: October 2020,Ronda Restaurant & Beach Bar,1,"Rhodes, Greece"
Not 5* but clean and good staff,"Good: clean, whole hotel and rooms very clean. Staff work hard and all wear face masks. White wine nice. Mini bar stocked up every day. Temperature taken when you arrive and whenever you enter restaurant. Food at outside venues and bookable Asian excellent.
Bad: the bed is SO hard i couldnt sleep but they gave me 2 matress toppers. Rooms more like 3*, need renovating, stains on carpet, wires hanging out, stained bath. Sunbeds, a nightmare, queue for 1.5 hrs before they open at 10am, then massive race to get one, we didnt bother and went to Ronda bar with comfy sunbeds and parasol for €10. Overcrowded hotel and noone wearing masks. Buffet food not very good and luke warm. No private beach.
We wouldnt return.",Date of stay: October 2020,Mitsis Grand Hotel Beach Hotel,1,"Rhodes, Greece"
Absolutely loved it!,"Proper fishing boat, max 10 people, fishing in 2 different places, snorkelling by the caves. Amazing BBQ cooked on the boat with greek salad served in shells and big bunch of grapes. Wine, beer and water provided. Lovely couple do the trip, so friendly and nice. Would highly recommend.",Date of experience: October 2020,Makarounas Fishing Trip Rhodes,1,"Rhodes, Greece"
Great find,"Called in on way to see bon jovi concert. What a great place. Had fillet steak with horseradish mash and beetroot on specials and steak and ale pie with chips and peas. The steak was fantastic and plenty of hirseraddish in the mash, the pie was full of succlent steak. The owner straight away sorted our wobbly table out and was very friendly. Definately recommend this place. Lovely vibe too.",Date of visit: June 2019,The Millpool,1,"Coventry, United Kingdom"
"Second visit in 6 months, I love this hotel!","Great staff, Great food, Great location, Great rooms, Great entertainment, Great drinks, Great Coffee Shops, Great Cocktail bar, Just everything is Great! I asked to change room because I'd been before and had a pool view, we were moved the next day without a fuss to a view looking at the mountains and towards Kemer town which was lovely. There have been a number of updates and improvements since I went last, with the addition of a cocktail bar - which needs better signage and promotion, we didn't know it was there until day 3! The cocktails were lovely and the view at sunset over the pier was beautiful. They have replaced lots of wood on the pier and it looks lovely and have added some 2 person private covered pods overlooking the beach, the usual problem of people going early and allocating them by leaving towels, which needs changing, last time I went if your towel was left too long it was removed, that needs to be brought in again. Everyone is friendly, from the person giving out towels to the bar/restaurant staff, everyone. Reception is very helpful especially Katerina who helped me with a particular problem receiving new glasses from the optician. I would also like to say thank you to Sami Yasar, al la Carte chef. They have special nights where you can pay an extra 10 dollars/euro for a seafood night, italian or Arabian night. I did the Arabian court last time but this time it was at first cancelled due to the weather and the second time cancelled because of not enough people, BUT we were not informed, so turned up all hungry dressed up and ready and then had to ask 4 people what was going on. I also rang reception and spoke to 3 different people asking if the Arabian Court was on but they all said they didn't understand what I was asking, so gave up!! Those dining options were not advertised at all well, last year they were, this year, people I spoke to knew nothing about it and believe me it is definitely worth doing, I won't spoil the surprise for the Arabian Court just a shame it didnt happen this time. These are just little niggles, we plan on going again next year with friends. The hotel is also so clean and staff are always sweeping up, its just a Great Place! I should be paid for this review!!!",Date of stay: May 2019,DoubleTree by Hilton Antalya-Kemer,1,"Kemer, Turkey"
"Lovely country pub, great food","Now our local when staying at Longbeach camping in the forest site. Beautiful pub, superb food, the roast is fantastic. Dogs welcome in the bar area. Lovely cosy and happy atmosphere. Staff all lovely. Highly recommend. Food only served until 5.30 sundays. Recommend booking.",Date of visit: May 2019,The Green Dragon,1,"Brook, United Kingdom"
Lovely new venue and great steak,"Loving their new place, close to the premier inn. Recommend booking, luckily we did. Had scallops to start and chicken livers with peri peri sauce, both really nice. Had the fillets steaks, yum, cooked just right and juicy and tasty. Really liked the salad bar too. The pudding i thought was expensive for what it was, a sundae, £7.50, small and mostly cream. However this is my favourite eatery in Bournemouth. Plenty of staff, quick to serve and friendly.",Date of visit: January 2019,Funki Griller,1,"Bournemouth, United Kingdom"
Lovely and cosy,"Had read the reviews and decided to visit. A lovely atmosphere, food lovely, staff very friendly. The do 2 sittings 7.30 and 9. Highly recommend.",Date of visit: January 2019,Lolas Restaurant,1,"Bournemouth, United Kingdom"
90th birthday meal,"Best indian i have had for a very long time. The chicken was moist, paneer had a chilli twist. Fresh, hot, tasty and plentiful. Even my Dad was treated to an ice cream with a birthday candle and complimentary drinks. Definately my new favourite.",Date of visit: January 2019,Gurkha Sunkoshi,1,"Didcot, United Kingdom"
Alice in Wonderland,"Wonderful hotel, lovely breakfast, great room, great location, lovely spa with amazing outdoor hotub. But staff, by far are the top selling point, so friendly, happy and helpful. A massive thankyou to Alice who should have a pay rise! what a credit to the hotel. Couldnt recommend this hotel highly enough..",Date of stay: November 2018,Midgardur by Center Hotels,1,"Reykjavik, Iceland"
