reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
The grit in the oyster,"Lovely views from this restaurant, service poor, food was underwhelming, made to feel undervalued as a customer as dining with children, all in all we were churned and burnt.
There are several other restaurants in the bay, look elsewhere for pearls.
Ciao",Date of visit: August 2018,Antica Osteria Dindi,1,"Genoa, Italy"
Picture perfect bay on outskirts of Genoa,"Beautiful bay, relaxed chill atmosphere. Stylish and sophisticated enclave of Genoa. a must see to escape the hustle and bustle of Genoa",Date of experience: August 2018,Boccadasse,1,"Genoa, Italy"
Tired shadow of a glorious past,"Nice hotel on outskirts of centro.
Easy walk to most tourist areas, as only 20 mins from Ponte Vecchio. This Hotel would have once been fabulous, a little tired now, could do with reinvestment.
Although we are told parking is £22 per day and the use of the swimming pool an extra £2.50 per person, it still leaves you feeling ""milked "" and under appreciated as a guest.
Far better to include the pool and add £2.50 to room rates. It does leave a bad taste in your mouth, breakfast however does not and if a welcome and tasty delight.",Date of stay: August 2018,Villa Royal,1,"Florence, Italy"
Hidden Gem,"Wonderful backstreet setting, Local dining at its best.
Knowledgeable front of house staff, excellent chefs. Moderately Priced.
We went twice in 3 days, something we never normally do. Try the Seafood risotto or any pasta/seafood.
Fantastic",Date of visit: August 2018,Taverna La Zigoela,1,"La Spezia, Italy"
Treasure uncovered.....,"Beautiful restaurant in an authentic Italian fishing village. Food was amazing, we savored every mouthful. On par with some fine dining we have experience and better than most mid ranged restaurants.
Only con was the lack of outside seating, Grilled octopus, seafood soup and sardines standout dishes",Date of visit: August 2018,Creuza de ma,1,"Genoa, Italy"
Kitchen let down by front of house,"Food was amazing, pushing on an open door for a star, But like Fraiche in Oxton the experience let down by front of house staff. At 13% service charge they need another weeks training. Send them off for a dinner at Arts School restaurant where the service is exceptional.",Date of visit: June 2018,Röski,1,"Liverpool, United Kingdom"
"Lovely atmosphere, excellent food.","The excellent food is complimented by knowledgeable and friendly staff, we were recognised and welcomed as old friends. Food is plentiful and great value for inside the old town.",Date of visit: August 2017,Island Lipsi,1,"Rhodes, Greece"
The best family fun we had in Rhodes..........,"Travelling as a family, generally its difficult to find activities a couple and Girls would be happy to do. despite early reservations (would girls be ok with the fishing) we embarked on our trip and had a most wonderful experience.
Captain Vassilli and his co pilot Mark were excellent and basically taught us all to fish, They showed great patience and skill with our 10 year old who initially found the sport alien, however she went on to catch 5 good fish... and thoroughly enjoyed her day. to a man we all agreed this was a holiday highlight.
Food was fabulous and included some of our catch... well done Makarounas Fishing Trip. Highly recommended.",Date of experience: August 2017,Makarounas Fishing Trip Rhodes,1,"Rhodes, Greece"
Kids Club or Kidnap Club?,"The title may seem a little alarming, but if you are travelling with children, it is relevant please read on.......

Firstly , may I say we have enjoyed the Holiday Inn Resort on 5 occasions over 15 years. We specifically choose this Resort due to its location and Kids Club, and in the past the service from staff and facilities have been exemplary. If we did not have children we would definitely return, as to stigmatize a whole hotel for the actions of one absent staff member if not our aim.

We travelled through Asia in April 2017 ending our journey in Patong, Phuket.

On our second night in Holiday Inn Resort we booked our Children into the Kids Club, During their 2 hour stay whilst we went for Dinner the children were abandoned by Jina the kids club representative for what they said was 25 Minutes. Now 25 minutes is barely enough time to cook a pizza, but it is a long time to leave Guests children alone in an unlocked, unmanned child care facility, within 1 minute from 3 pools and 2 main roads.

We were phoned by our children to say they were alone and we returned to pick them up. Whilst the children were alone, the youngest 4 years old, another parent returned her child to Kids Club, but refused to leave them as there was no supervisory staff.
Consequently we collected children and contacted Guest relations.
Guest relation Manager apologised for her staffs Negligence (her word not Mine) and left a basket of insult inducing chocolates in our room the following day, I returned them to reception and asked to be contacted by senior Management.

As seasoned travellers we are able to forgive small, sometimes medium sized mistakes, a little food poisoning here, a dirty towel there etc, but when the only duty of the kids Club staff is to look after your children, and they leave 5 kids alone in an unlocked kids club we thought we should bring this to peoples attention.

I met with The General Manager, whom assured me the staff were hauled over the coals, however Jina was back in work the following day without a care in the world.
The Manager acknowledged the token chocolates did nothing but add insult to injury, and offered us a ride to the airport............. we declined. Mr Bart Callens the general manager checked the cctv tapes and admitted Jina had abandoned her post for ONLY 13 minutes, this was never confirmed and we really didn't care, 2 minutes would have been way too long.

I have never before seen such impotent management. If your hotel reputation as a top 10 family resort, rests with an absent, negligent childminder, the management needs to take decisive and swift action. The safety and security of guest and more importantly their children should be paramount.",Date of stay: April 2017,Holiday Inn Resort Phuket,1,"Phuket, Thailand"
"Happiness in PP Central, clean, excellent service and facilities","Since a full recent programme of modernisation, PP Charlie has become a fantastic little resort, small enough to be personal but big enough not to feel crowded.
New infinity pools are amazing and the beach is kept meticulously clean. We certainly will return, one of the highlights of our recent tour of Asia..........",Date of stay: April 2017,PP Charlie Beach Resort,1,"Ko Phi Phi Don, Thailand"
Scabby transit hotel in seedy cowboy town......,"Nothing good to say really....
spend a couple of extra dollars and stay in KLIA at sama sama etc.
By the time you get a taxi to cowboy town and back thats more than the difference in the hotel prices......",Date of stay: April 2017,the youniQ Hotel,1,"Sepang, Malaysia"
"Great views, great service, exceptional food.....","Great views, great service, exceptional food.....

We booked this after our normal haunt was overbooked, and this is far superior.
Food was wonderful and the staff amazing.
Great restaurant for business of leisure.

we will return.",Date of visit: April 2017,THIRTY8,1,"Kuala Lumpur, Malaysia"
"Wonderful Food, woeful service","We were recommended this restaurant by friends and so paid a visit in June.

The main outside tables were all taken so we opted to stay and eat at the less atmospheric rear of the restaurant. Unfortunately the service here was woeful. Had we not been with the children and needed them to be fed I would not have stayed. The waitress was the least charismatic person we met on vacation. Even grumpier than Parisian taxi drivers in the recent floods. She tutted, coughed and spluttered through our order, then went missing whilst cheerily serving French speaking customers. Pure Faulty towers.

We waited over an hour for starters. Its just not adequate.

The restaurant is worth a visit, as the food is fine so long as you get a smiling waitress, if the service is forced or offhand run to the nearest restaurant were your custom may be more appreciated. At £60 per head you should feel valued as a customer..............",Date of visit: June 2016,La Mediterranee,1,"Mougins, France"
