reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Traditional Food,Great food offered at great prices. Reminded me of my Greek grandma's cooking! The zucchini keftedes were unreal!,Date of visit: August 2020,Aristos Taverna,1,"Corfu, Greece"
Interesting trip to History,This museum is all about the society of Milos and how it revolved around the various resources available on the island. I strongly recommend to watch the videos available on the basement.,Date of experience: August 2019,Milos Mining Museum,1,"Milos, Greece"
Incredible experience,This is probably the highlight of our trip to Milos. Nikos and his wife have developed an incredible idea that stands out from the canned boat tours you can book.,Date of experience: August 2019,Milos Fishing Trip,1,"Milos, Greece"
Εξαιρετικό φαγητό,"Επισκεφθήκαμε το εστιατόριο μετα από παρότρυνση ντόπιων φίλων και το καταευχαριστηθηκαμε!

Παραγγείλαμε ψητά ψάρια και σαλάτα. Τα πιάτα μας ηταν νοστιμα, έφτασαν γρήγορα και γνωρίσαμε ακομη και τον ιδιοκτήτη τον Κύριο Κώστα.

Το προτείνουμε ανεπιφύλακτα!!",Date of visit: August 2018,Balalas,1,"Edipsos, Greece"
Best restaurant on the Island,"This is one of the few instances where 5 stars are just not enought.

By far the best restaurant on Andros.",Date of visit: August 2018,O Kossis,1,"Andros, Greece"
Incredible food but service could be better,"The food was phenomenal with beautiful twists on Greek recipes.

The only concern is on service. Our waiter was friendly and helpful but missed to place an order for one of our mains. Things like that happen in every restaurant however, the waiter did not apologise and didn't offer a discount on the 30min late dish.

I don't blame the waiter, management should train their staff better to deal with such mistakes that, inarguably, happen even to the best restaurants.",Date of visit: July 2018,Endochora,1,"Andros, Greece"
The best option in Chora,"This place offers excellent service, good prices and interesting coctails! All in a very beautifully decorated building.",Date of visit: July 2018,Lithi,1,"Andros, Greece"
Excellent,The owner was very polite and helpfull to all our questions. The prices where reasonable and the shop was centrally located. This place earns a well earned 5 review from me.,Date of experience: December 2017,Bike City,1,"Amsterdam, The Netherlands"
Excellent room,"We stayed for five nights and the room was cleaned on a dialy basis. The staff was friendly and we were only 2 minutes away from Lixouri town centre on foot. Very nice, comfortable studios and a good value for money.",Date of stay: August 2017,Alkestis Studios,1,"Cephalonia, Greece"
Πολύ καλό!,"Πολύ ωραία γλυκά σε ένα πολύ όμορφο χωριό. Το μόνο κακό είναι ότι είχε μόνο ένα άτομο στο σέρβις που έτρεχε και δεν έφτανε.

Αξίζει μια επίσκεψη!",Date of visit: August 2016,Tratarisma Pastry Shop - Cafe,1,"Amorgos, Greece"
Δεν κόβει αποδείξεις. .,Δοκιμάσαμε την πίτσα τους και ήταν πραγματικά υπέροχη. Ωστόσο οι τύποι δεν κόβουν αποδείξεις σε κανέναν. Είναι το μοναδικό μαγαζί σε όλο το νησί που είδαμε να ακολουθεί αυτήν την τακτικη.,Date of visit: August 2016,Petrino Restaurant,1,"Amorgos, Greece"
Επάξια το Νο 1,"Το μαγαζί τα έχει όλα. Ωραίο φαγητό, πολύ καλές τιμές, ευγενικο/γρηγορο σέρβις. Τι άλλο περιμένετε? Επισκευθειτε το με κλειστά μάτια!",Date of visit: August 2016,TranzisToRaki,1,"Amorgos, Greece"
Υπερεκτιμημενο,"Πήγαμε δύο φορές στό μπάρ. Γενικά ωραίο concept κακη διαχείριση.

Την πρώτη φορά οι μαργαρίτες ήταν πολύ κακές με λάθος αναλογίες. Πολύ εφε για το τίποτα. Όλο το μαγαζί είχε δύο σερβιτόρους που τους κυνηγάς πάνω από 20 λεπτά να παραγγείλεις και να πληρώσεις. Τη δεύτερη δεν υπήρχε ξανά καμία ικανοποίηση απο τα coctails που πήραμε κι απλά δε ξανά πήγαμε.",Date of experience: August 2015,Mercurius Cocktail Bar,1,"Skopelos, Greece"
