reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Weekend in Bologna,"I Portici - Hotel Review

Overall lovely hotel. Staff predominantly lovely & helpful.

Pros
• Great location - 10 min walk from Piazza Maggiore.
• V clean & tidy
• Staff in the bar (Osteria Portici) are fantastic. Fabulous cocktails.
• Room turn down service - lovely touch
• Most staff engaged with very helpful & keen to help.
• A great selection of toiletries.

Cons

Nothing major - just a few niggles.

• Room too warm for the time of year. We had thought there may be AC (as advertised, and there was a control panel on the wall) but we were unable to affect the temperature. Had to ask twice for the heating to be turned off in our room.
• Room is described as soundproofed but we may have been unlucky as we did not find this to be the case. It is true that you cannot hear the traffic outside when the window is closed, however, we were able to hear people in the room next door using hairdryers. Unfortunately, we also had an extremely noisy family in the room above & could hear the children running around like a family of elephants. Staff did address this on the first day for us - after going down to reception to ask them to. This was not a straightforward request as one member of staff suggested it was a difficult request for them address.
• We were three adult women sharing a family room. The room was only set up with 2 coffee cups, 2 glasses & 2 peoples worth of toiletries. This was not a major problem as staff were happy to top us up, we just found it frustrating that we had to ask - as there were clearly 3 people staying in the room. Toiletries were not always replenished. We paid for 3 people for 3 nights, so feel that should be acknowledged.
• There is no light above the shower in room 405. We found this odd. The main light doesn’t quite provide enough light in the shower.
• The hairdryer is of little use if you have long hair.",Date of stay: November 2019,I Portici Hotel,1,"Bologna, Italy"
Great Location for London CBD,"This is my second stay at this hotel in 3 months. Whilst the rooms are fairly basic they are totally adequate for an overnight business trip.
Hotel location is superb!
Great transport links.
Easy access via City Thameslink to St Pancras - short walk to Euston. Easy access to several tube stations Blackfriars, St Paul’s & Mansion House.

Plenty of bars & restaurants within walking distance.

This hotel has a housekeeping cupboard on each floor - you may need to request an iron.
Cold bottled water available by lifts to refill.

I found the staff extremely friendly & helpful.
Complimentary Wine available between 5-6
Coffee machine in lounge during the day.

Breakfast varied & plentiful / excellent service.",Date of stay: September 2019,Club Quarters Hotel St. Paul's,1,"London, United Kingdom"
Lovely welcoming & friendly bar.,"Great cafe / bar serving light meals, snacks & deserts.
Gentle jazz playing in the background- super views.

WiFi available.
Fantastic spinach & feta pie & the most incredible home made Galatopita

Service was fantastic- Victor & Panos extremely hospitable & nothing too much trouble.

Friendly atmosphere & excellent view of harbour.",Date of visit: May 2019,Ikion Cafe,1,"Alonnisos, Greece"
Great local taverna,"Just returned from a weeks holiday in Steni Vala suffice to say I ate here each night. Great food & excellent friendly service.
Varied traditional menu - this is a local Greek Taverna serving a good selection of local dishes.

My favourite was definitely the Scorpion Fish cooked in lemon although the fried aubergine was simply delish! incredibly light & crispy! The aubergine dip amazing!
Each dish a joy!

Excellent.",Date of visit: May 2019,Tassia's Cooking,1,"Alonnisos, Greece"
Brilliant! Totaly Relaxing Trip,"I have just returned from a wonderful and very relaxing break in Alonnisos, in all honestly I didn't venture to far from the hotel as the wonderful bay of Steni Vala is only 6 minutes stroll away, there are 3 Tavernas one of which Tassia's is rated as number 4 on Trip Advisor due to not only the most delicious home made food but incredibly friendly service. IKION café is the next property playing gently jazz and also offering superb service, in a relaxed atmosphere with super views. Between 3-4 pm the sailing flotillas arrive and moor for the evening.

A couple of stoney beaches with clear water are no ore than 8 minutes walk away.

Back to 4 Epoches!
Huge thank you to George & Katerina & Anna who made me feel so welcome wonderful atmosphere.
The hotel is spotlessly clean, rooms have small hob and refrigerator, I was on the ground floor but a second floor room would allow for incredible sea views and sunsets!
Breakfast was plentiful and varied, Greek Yoghurt, Pastries Ham, Cheese etc Cereals together with hot options including back egg & sausages - enough for everyone. The roof-bar wasn't open during my stay but I sat reading on the terrace which was fantastic, with sea and bay views.
Small and friendly hotel - perfect for solo guests as very safe and welcoming.
The staff here cannot fail to ensure you have a wonderful trip.",Date of stay: May 2019,4 Epoches Hotel,1,"Alonnisos, Greece"
Superb welcome & great experience,"Enjoyed a great stay at the Royal London House on Tuesday 28th August.
Plenty of staff on hand to assist as soon as I walked through the door!

Each member of staff passing reached out & enquired if I need assistance!

Lovely room, spotlessly clean with high end technology and Nespresso machine, lovely biscuits. Fruit & Still Water.

Great nights sleep!

Next morning on leaving the hotel I was faced with torrential rain - on hailing a taxi the service from the staff on attendance by the door was exceptional not only did they run out of the hotel to ensure the taxi drove further along Finsbury Square they also held an umbrella for me ensuring I didn’t get wet!

My opinion overall is that this hotel strives to ensure that each guest has a great experience and the staff work as a team to make it happen.

Thank you.",Date of stay: September 2018,Montcalm Royal London House - City of London,1,"London, United Kingdom"
Good transport links,"We booked this hotel as didn’t wish to stay in a city or airport corporate hotel - good call if you wish to explore Luxembourg.
Hotel is only 5 mins from a local railway station & 10 mins from the bus stop. Regular service into city centre.
We took a taxi from the Airport due to arriving late at night - however this would be quite an easy transfer during the day.

Reasonable priced hotel.

Initially we were shown to a room on ground floor - however due to the close proximity to the restaurant - it was very noisy!
The hotel responded very quickly and moved us to superior room on the second floor.
Absolutely excellent customer service dealt with swiftly & efficiently.

The new room was fully equipped for self catering -there is a shared kitchen available to all guests with lockers and although far more upmarket than a hostel shares the same ethos.

Room very clean and modern but probably not the best layout - clinical.

No coffee facilities in the general rooms at the hotel you are able to purchase pods for 50 cents.

Overall good hotel - very friendly and helpful staff - excellent service.",Date of stay: December 2017,Hostellerie du Grunewald,1,"Luxembourg City, Luxembourg"
Great Location Friendly Staff,"Booked this hotel fairly last minute as meeting a friend who was staying in St Germain - great location as only 5 mins walk to Metro. As per the other reviews the reception service is fantastic - extremely helpful & pleasant nothing too much trouble. Small but very clean & comfortable rooms.
No coffee machine or drinks facility in the rooms - they have a Nespresso machine in reception that is complimentary but coffee must not be taken to the room. Sadly this is due to previous guests causing damage etc - shame as this would be my only criticism .
.
I took the Le Bus Direct from CDG to Gare Montparnasse and the hotel is 10 min walk. Ticket machine at Airport or pay on the bus. I got the at gate 14 Terminal 2TD very easy - made a stop at terminal one then left - transfer is about an hour subject to traffic and 17€. Bus stops at 3 locations. Gare Lyon Gare Montparnasse.

Took the metro all weekend - quick easy - buy 10 tickets for just under €15 - use also on the buses. They don’t appear to expire! Used some from two years ago.

I would stay again - very reasonably priced hotel - left more money to enjoy Paris!",Date of stay: November 2017,Hotel Le Royal Rive Gauche,1,"Paris, France"
Conference Stay,"Stayed here for 3 nights as part of a conference, extremely friendly hotel. Good atmosphere. I had room 224 which was large and spacious. Bed was comfortable. Very centrally located just off the M69. Lunch was of extremely good quality and varied. In terms of Conference Catering I do feel the standard of lunch provided was better than average.",Date of stay: October 2017,Jurys Inn Hinckley Island,1,"Hinckley, United Kingdom"
Very Remote - not for me,"Firstly let me say that these studios are very clean although basic.

Fairly limited in terms of kitchen equipment - although there is a small oven the two ring electric plate is nowhere near a plug socket - it's probably just adequate for breakfast or simply lunch on the terrace.

Showroom clean & water hot and plentiful.

Wifi - drove me nuts. Very intermittent and dependent on where about the phone was positioned in the room.

Small TV on the wall.

The studios are on two sites - we stayed in the lower building & the second floor rooms having the better view.

The nearest shops & restaurants are a good 25 minute walk up hill and along the main road. Walking boots & high viz jacket recommended!!

The main road doesn't have street lights & quite hairy walking back at night.

We feel - car or quad bike essential whilst staying here.

Kanali beach is probably the nearest - having parked the car a very steep climb down a rocky path awaits - even tougher on the way back!

Beach is quiet - beautiful clear water no beds just naturists! - also possible to walk along the beach to Lourdata for lunch.

Pool was huge with plenty of beds - no pool bar open -
Wifi available.

Overall in my opinion better places to stay nearer nearer civilisation.

Lots available in Lourdata.",Date of stay: September 2017,Afrato Village Apartments,1,"Cephalonia, Greece"
