reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Great place,"Took our two families there for dinner, great food up on the roof garden. There were 9 of us and the staff looked after us very well",Date of visit: July 2017,Rhodos Blue,4,"Rhodes, Greece"
Great food,"Took our two families there for dinner, great food up on the roof garden. There were 9 of us and the staff looked after us very well",Date of visit: July 2017,Vasilis Restaurant,4,"Rhodes, Greece"
Great place to stay,"Took our two families to stay and had 2 apartments. The apartments where simple and clean with easy access tot he swimming pool which was very good. Really enjoyed staying, the location is a short walk from the beach",Date of stay: July 2017,Hotel Terinikos,4,"Rhodes, Greece"
"Great food, perfect place for dinner","Took our two families there for dinner, great food up on the roof garden. There were 9 of us and the staff looked after us very well",Date of visit: July 2017,Kamariko Taverna,4,"Rhodes, Greece"
"Great food, excellent service, great location,","Took our two families there for dinner, great food up on the roof garden. There were 9 of us and the staff looked after us very well. The host could not do enough for us, even popped down to the kitchen to bring fish for me to compare before cooking.",Date of visit: July 2017,Delight Restaurant Lindos,4,"Rhodes, Greece"
"Great place to stay, perfect location",We were two families with 9 people altogether and had 4 rooms at the apartments. We were welcomed by the owner Christos who was very friendly and helpful. The apartments were clean and simple with plenty of space. The location is superb being just 5 minutes from Lindos square and about 10 miniutes from the beach. I Thoroghly recommend this accommodation,Date of stay: July 2017,Eleftheria Studios,4,"Rhodes, Greece"
"Great place to stay, a short walk to the old town",We were two families with 9 people altogether and had 4 rooms at the hotel. The rooms were very clean with plenty of space. The location is good being about a 20 minute walk to the habour and old town. The pool was excellent and ideal after a hot day. I Thoroghly recommend this hotel,Date of stay: July 2017,Agla Hotel,4,"Rhodes, Greece"
Brilliant day out,My family of four took the boot trip in the afternoon and we had a wonderful time. We went round the habour for soem nice views and then settled down for some fishing. Altogther we caught 20 or so fish and then went for a swim off the boat while the crew of 3 cooked us a meal of sea bream caught further out plus our fish. The crew looked after us very well. Its a great way to spend a few hours away from the rush and bustle of Rhodes.,Date of experience: July 2017,Makarounas Fishing Trip Rhodes,4,"Rhodes, Greece"
Excellent accommodation,We stayed for 3 nights for a university visit. The hotel was great and very convenient with parking available directly in front in the public carpark £10 for 24 hours. Like all Premier Inns you know what it'll be like before you arrive so there were no surprises.,Date of stay: February 2017,Premier Inn Exeter Central St Davids hotel,4,"Exeter, United Kingdom"
Superb little find,"Our two familes met there for lunch to celebrate our respective eldest's 18th birthdays.The food and service was excellent and we were very well looked after. The portion sizes were very generous and everyone left full and satisfied.

I had prevously told the owner that it was a birthday event and he very kindly baked a cake for us, very kind of him and we even had a time for drink with him. We could not have asked for more. I thoroughy recomend it",Date of visit: February 2017,Alexander The Great,4,"London, United Kingdom"
Superb and a little bit different,"My family went there to celebrate our eldest's 18th birthdays before going the theatre.The food and service was excellent and we were very well looked after. There is a self eservcie salad bar and then a range of meats are brought to the table on an ongoing basis. The portion sizes were very generous and everyone left full and satisfied.

We could not have asked for more. Thoroughy recomend it",Date of visit: February 2017,Preto West End,4,"London, United Kingdom"
Superb little find,"My family and I were on our way to Exeter when we stopped for lunch at this little gem. The food was excellent, home made , delicious and good value. Brigette was very friendly and we had a nice chat about the area. I hope we will be able to stop again next time we are in Hereford",Date of visit: February 2017,The Harewood End Inn,4,"Harewood End, United Kingdom"
"Very disappointed, not worth it by a long way","If you want to feel expoited and unwelcome ,then this is the place for you. The New Old Synagogue is the oldest in Prague and maybe Europe so it is historically important, but at 200 Koruna per person it is very poor value. All there is to see a single basement celar room with no artifacts, just a central altar. I paid 540 Koruna for a family ticket which is the same as the entry fee to the Castle. To add insult to injury the toilet nearby is 50% more fees charged than most places in Prague.",Date of experience: August 2016,The Old-New Synagogue,4,"Prague, Czech Republic"
"Excellent, the perfect place to stay","Stayed here with family and friends. The hotel is comfortable and clean, staff are friendly and helpful, breakfast is very nice and the location is great for getting to the sights. Can't fault it in any way",Date of stay: August 2016,Hotel Julian,4,"Prague, Czech Republic"
Great way to spend an hour with the kids,A visit to Nottingham is not complete without a trip to the caves. The guided tour made the experience all the more interesting,Date of experience: February 2016,City of Caves,4,"Nottingham, United Kingdom"
Great place for a drink,The oldest Inn in Britain mus tbe worth a visit. It still retains all its character and with 9 different ales to choose from its ideal place to try the local brews,Date of experience: February 2016,Ye Olde Trip to Jerusalem,4,"Nottingham, United Kingdom"
