reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Hidden gem,Last night we visited this little gem and the food was outstanding the service was also good we got talking to the manager Raj what a guy very funny and so humble. Thank you prince of India for making our night remarkable,Date of visit: July 2020,Prince Of India,1,"Windermere, United Kingdom"
Poisoned,Had the 3 meats. Big mistake. Poisoned after it. Stuck to toilet for 2 days. Had to go on antibiotics. Mrs had chicken. She was ok.,Date of visit: September 2017,Five Fat Monks,1,"Mumbai, India"
Lobster or sausages? You decide.,"This was a fantastic trip we did with Nikos and Froso. We're dropped a net coming out of the bay and pulled it in with lobsters and lots of fish while we enjoyed the sight and had a couple of beers with feta and tomatoes on some crunchy bread. We then went for a swim while they cooked up a fantastic feast of lobsters salad and spaghetti with some local white wine. Next we did a spot of fishing from the boat with rods. Then onto the bluest water I've ever seen for a swim and snorkel. Then we had yogurt with some grape jam. Then a little siesta then back to the bay in the evening. Had some lovely chats with the folks on the boat and was made to feel very welcome. We also saw some of the other boat trips cooking sausages on the beach while we were eating our lobsters lol.

All in all the best day we've had in Greece and really finished off our stay in Milos on a high.",Date of experience: June 2018,Milos Fishing Experience,1,"Milos, Greece"
Fantastic customer service,"Great food in a fantastic setting. Food was amazing. Dim sum platter to start with followed by sliced fillet steak with spring onion and ginger and King po chicken. Couldn't finish the beef so asked for a take away. There was a misunderstanding and food got thrown out but when they realised the give me some rice with pekingese duck, pork belly, and char six pork to take home. Really nice friendly staff and they went above and beyond. Will definitely be back.",Date of visit: July 2017,Yang Sing,1,"Manchester, United Kingdom"
Absolutely delicious,"Just got a delivery from here. Was expecting it to be pretty good as it was a higher end delivery service but it was absolutely delicious. Lamb and chicken schwarma, falafel, hommos, babaganoush. Fantastic choice when you want something a little bit different but had a very spicy Thai green curry for lunch. Mild tasty which beautiful flavours and lovely grilled meat. Highly recommend",Date of visit: March 2017,Bakchich Manchester,1,"Manchester, United Kingdom"
Scam artists avoid at all costs,"Brought some people to this restaurant and everything was ok until we went to pay. First they tried to charge for a bottle of wine we didn't have. They didn't write anything on the bill just the price so nearly missed it. Called them out so they changed it to a glass.
Price still looked wrong so queried further. They had added on an extra 15 for no reason. Told them how much it should cost so they chsnged it.
Give them my card and saw him write in the price. He then proceeded to put on an extra 10 quid for a tip. I said what the hell are u doin. He said service charge. I said that's for me to decide not you and he pressed enter to put it through before I could take it off him. Avoid at all cost. He thought we were tourists because it was St Patrick weekend but I live on princess street and will never bring anyone here again. Terrible service",Date of visit: March 2017,Rozafa,1,"Manchester, United Kingdom"
Fish and chips,Very good fish and chips. Even give me a few chips and curry sauce while I was waiting. Very Good size portion,Date of visit: February 2017,Portland Plaice,1,"Manchester, United Kingdom"
Ants in the food. Very tasty,Really clever and interesting menu and helps young Cambodian people to learn the business. Came with fiance and her parents and ordered a selection of tapas. Some menu items pretty out there which I love to see like frogs legs and red ants and beautiful cocktails. Definitely worth a visit,Date of visit: November 2016,Marum,1,"Siem Reap, Cambodia"
First experience in Chennai...,"...was waiting in Sangeetha after a long 16 hr bus ride from munnar for check in time at the hostel. Had poori and a doughnut thing and my gf had an onion Dosa with two fantastic south Indian filter coffee. Made me happy. Waiter was great and very accommodating helping us out by explaining the menu and sauces.

Very good value

Thank you from the Irishman in India.",Date of visit: November 2016,Sangeetha Vegetarian Restaurant,1,"Chennai (Madras), India"
Mini tiffin was awesome,"Visited with my girlfriend and had the mini tiffin while she had poori as well as south India filter coffee, obviously. Fantastic food and attentive waiter. Really very nice and great value for money.",Date of visit: November 2016,Hotel Saravana Bhavan Restaurant,1,"Chennai (Madras), India"
Best restaurant in alleppey,Delicious food and clean and safe. Great selection and very good prices. Found it on my last night but would have eaten here for every meal if I knew about it. Awesome keep up the good work,Date of visit: November 2016,Mushroom,1,"Alappuzha, India"
