,reviewer_profile,date,rating,title,text
0,https://www.tripadvisor.com/Profile/1972chelsie,September 2020,5,BRILLIANT !!! Mixalis AKA Mike great fishing trip ☀️,"Honestly really lovely trip so worth the money, we caught so many fish... Mike was very patient with me.. I have no clue about fishing but honestly had so much fun, the Food Mike cooked on the barbecue was amazing... very special memory created for us... to be topped off listening to BONEY EM even had a little dance on a fishing trip... DADDY COOL"
1,https://www.tripadvisor.com/Profile/Becka01,August 2020,5,Fabulous day out! ,"We had such a fantastic time Yesterday! We arrived early and my partner messaged himTo say we were there so he came early to save us waiting. The captain was kind and patient, especially with me as I won’t ever make a pro fisher! But we had so much fun- even when we caught the puffer fish which was a pleasure to see! Ironically I won’t go in the sea because I’mScared of fish touching my feet but my partner and the kids loved going for their swim! The food made for us was so fresh and cooked to perfection! We had such a lovely day. Thank you so much! I would most certainly book this trip again, even if I am crap at fishing ha ha! "
2,https://www.tripadvisor.com/Profile/810jeanetten,August 2020,5,Exhilarating,It was a exhilarating experience being able to drive a speed boat. My 14 year old son suggested this to me and I'm so glad I did it.
3,https://www.tripadvisor.com/Profile/alinach5,July 2020,5,Amazing trip!,"Captain Mike is a real professional captain, fisher man, chef and a very nice person!We had an amazing and wonderful trip, a very tasty lunch and of course a great fishing!We will come back! Dear Mike, thank you very much! "
4,https://www.tripadvisor.com/Profile/luka13f,August 2019,3,Overpromising but fairly priced,"Fishing experience is below average, boat is small and quite unstable, half of guests were feeling sick. Biggest fish we caught was 15cm, don’t believe what you see in the pics. Most of the time we were catching tiny blowfish. Bright side is captain Mike who cooked an amazing lunch with fish they bring from the fish store... not even caught in Greece if I understood correctly. Overall good value for price but if you are looking for fishing experience, look elsewhere."
0,https://www.tripadvisor.com/Profile/sisvin,July 2019,5,Fantastic experience for kids,We just went for the fishing trip today and it was really nice. Captain mike was very good and helpful and was there whenever a fish was hooked in our rods to take it and put further baits .He cooked a wonderful bbq while we swam in the sea and we have never tasted such an amazing mouth watering grilled fish....A good and amazing trip and thank you captain
1,https://www.tripadvisor.com/Profile/philsC8102QI,July 2019,5,Grand Day Out,"We spent a fantastic day out on this trip paying €190 for the four of us. We were picked up from our hotel, which for a small company was a really nice touch. The boat sets off from Collona harbour and takes about 30 mins to reach the fishing area. Captain Mixhaillis was great at showing us how to bait and fish and was very patient with us when things were not going well!  We fished for around two hours catching a variety of small fish and some larger puffer fish unwelcome visitors from the red Sea. We then took a trip closer to shore where we swam and waited while the captain prepared a fantastic fish barbecue and salad for us. This was a cracking day out and we couldn't have been better looked after!"
2,https://www.tripadvisor.com/Profile/smel62,July 2019,5,Fishing with Captain Manolis ,"Booked this as my partner loves fishing, but I don’t but said would give it a go. I absolutely loved it. Captain Mihalis was so patient, knowledgeable, had your safety at the forefront of his thoughts, and made this experience truly memorable. We had about 3 hours of fishing then some time for swimming while Mihalis bbq’d the fish for us. He served this up with a delicious Greek salad and Greek bread. If you want a few hours of fun and a great meal to boot, I recommend this trip! "
3,https://www.tripadvisor.com/Profile/peacock143,June 2019,5,Loved every minute,"This trip was brilliant. I’d never fished before but Captain Mixalis was very knowledgable and patient. The views from the boat, the swimming experience and bbq were second to none. Of all the trips you get hassled for when walking through the port this was by far the best. Ended up Facebook friends with the captain, sharing all our photos and a trip we’ll never forget. "
4,https://www.tripadvisor.com/Profile/CenAbeach,May 2019,5,Great Fishing Trip and an amazing BBQ,"At the end of May 2019 we were guests on the boat of Captain Manolis.  We were together with 3 other guests of different nationalities.  It was a fantastic afternoon.  The group was perfect and very pleasant.  Quite a lot of fish was caught.  The captain was always helpful in catching the hooks and handling the fish.  Enjoyed a fantastic barbecue and a delicious cold beer at the end of the afternoon.  The boat trip was very nice, given the opportunity to swim in the clear blue sea.  Highly recommended .C&A"
