,reviewer_profile,date,rating,title,text
0,https://www.tripadvisor.com/Profile/LeoAMav,August 2020,5,Excellent fishing tour in Santorini,"Captain Anthi and her crew are wonderful guides with deep knowledge of the art of fishing and love for their island. This tour was the highlight of our vacation, as we got to explore the real gems of Santorini, catch fish and the unique red tiny shrimp and enjoy authentic fisherman's cuisine. A must do while on the island, definitely suggest for family and friends and would gladly do it again.…"
1,https://www.tripadvisor.com/Profile/Happy2travelyou,August 2020,5,An unique experience not to be missed when in Santorini,"We decided to try this experience to celebrate our 15th marriage anniversary and it was the best decision! Arvaniti, the capitain, was the perfect host and together with Mohamed offered us a wonderful sunset trip including fishing, dinner, drinks and good mood. We highly recommend this experience to all people of all ages. We will definitely try this tour next time when we will return to Santorini! Our recommendation is to choose the sunset tour so you will have unforgettable sunset views.…"
2,https://www.tripadvisor.com/Profile/TwisterDK2300,August 2020,5,The best Santorini boat trip,"Every time we go to Santorini we go on this trip. It combines authentic fishing, swimming, and the best seafood directly from the sea with a lot of information and knowledge about the animals.  Captain Anthi and her staff - this year Mohammed - gave us again some of our best days of our holiday. You always feel so welcome on board - and all restrictions of the Covid -19 was respected this year.  Every time it so exiting to see what's in the nets that have been set before the trip. Anthi knows every fish and other creatures in the sea and tells us with her great enthusiasm about them and answers all questions with a great knowledge. While swimming in the sea or fishing with your own fishing lines the staff prepares the catch of the day on the grill. It'll be served with rice, bread, frish tomato salad, and grilled squash - a meal which never will be the same dependent on the catch.   There might be two trips per day - one in the morning and one in the afternoon that includes the beautiful sunset.  Don't hesitate to sign up.....it's a trip you'll come back to.....anyway we do.....  …"
3,https://www.tripadvisor.com/Profile/misspeppery,August 2020,5,Wonderful fishing trip!,"We were so lucky to be able to book a tour last minute! We had such a wonderful time learning about the different methods of fishing used.  Assisting Mohammed remove the fish caught in the net was a great highlight.  He and Anthi explained the different species very well.   They prepared the days catch in several different ways, all of which tasted amazing.  Of all of our meals we had during our stay, this was by far my favorite.  This is a very enlightening tour.  Anthi and Mohammed are wonderful hosts, and we could not have asked for a more pleasant experience.…"
4,https://www.tripadvisor.com/Profile/JHleigh,July 2020,5,Wonderful day,"We did this fishing tour in July. Everything was great. Comfortable transportation from our hotel to the port, amazing fishing experience, fun snorkeling, so delicious and quite unique seafood dish, very kind and experienced captain and beautiful sunset..... Moreover, it was very private.(So, I felt that we were totally 'safe' during this tour in this tough times. )It was the best experience in Santorini. I strongly recommend this tour.…"
0,https://www.tripadvisor.com/Profile/OnHolidayM,July 2020,5,Idyllic,"Anthi and Mohammed were unpretentious, welcoming, and knowledgeable. We had such an enjoyable afternoon/evening. It really was idyllic and the food was delicious!"
1,https://www.tripadvisor.com/Profile/AthensMama,July 2020,5,One of our best memories ever!,"Captain Anthi is such a sincere, hardworking Super Lady. She and Mohammed took such good care of our family. Watching the live shrimp and fish come out of the water, wriggling out of their nets was exciting for the children. Anthi gave a biology lesson, explaining the features…"
2,https://www.tripadvisor.com/Profile/Olgie_G,March 2019,5,Amazing experience,My husband and I did a sunset fishing trip back in 2018 and I've been thinking about writing a review ever since. It was a fantastic experience.  We try do some sort of fishing on all of our travels and this was by far the best one yet! It was different from most fishing trips…
3,https://www.tripadvisor.com/Profile/Mtnanative,October 2019,5,Great tour!,My husband and I originally booked the morning tour with fishing and lunch but had to reschedule our booking due the weather. The captain was able to get us on an evening tour.   Although we didn’t get to fish as we originally planned the experience was just as amazing! They…
4,https://www.tripadvisor.com/Profile/Rosetoo76,October 2019,5,An Amazing Experience,"We had a wonderful time with Anthi and her Mates.  We could not have asked for a better experience.  The knowledge of this crew is off the charts.  We had a great day at sea catching an octopus, eel, barracuda, shrimp and my very own sardine.  We ate everything we caught thanks…"
