,reviewer_profile,date,rating,title,text
0,https://www.tripadvisor.com/Profile/stavros50,October 2020,5,Fantastic birthday trip,"Saw this trip advertised as we were walking along the Harbour .Did some checking and found it to be very highly recommended.Paid the €20 deposit and went on our merry way .Thursday ( my 50th birthday ) arrived and we were at the Jetty for 08:50 to fill in documentation and comply with COVID restrictions ( temperature test etc) .Skipper of the boat met us and assisted with our and other guests boarding . When all were seated he took us around the ancient harbour for great photo shots and then out to a fishing ground . The first mate ( skippers wife) laid out bait and fished out rods and gear . Scupper gave advice on what to do as well as safety brief on type of poisonous fish in these waters. On completion we went at it .Weather was great . A little swell in the water but great for fishing . I pulled four fish in ( much to my delight) . No record breakers but great sport.Following a change of fishing ground, we headed south down the east coast of Rhodes. Drinks were available throughout and acquaintances made with fellow fishermen.Arrived in a secluded cove with sea caves and tied off . Swimming and exploring were the name of the game as the crew prepared a feast of BBQ fish and Greek salad ( tasted fantastic).On completion we headed North back to port . A fantastic day out . Felt safe and secure throughout and have memories of a most wonderful day.The price was very fair (€100 for two adults) and I would happily go again .Fully recommend this to both novice and expert purely for the joy of the day. Was very surprised when the skipper produced a chocolate cake with a candle and sang happy birthday to me ..... it’s the little things that count as well . Amazing day Amazing crew Thank you very much ."
1,https://www.tripadvisor.com/Profile/547deec,October 2020,5,Fantastic trip,"Extremely enthusiastic couple who obviously enjoy their job and are passionate about their customers having the best possible experience. A few of us felt sick and they moved to calmer waters, checking everyone was ok.They had a good knowledge of fishing spots and assisted the less experienced! ( me).We swam in a beautiful spot, followed by a fabulous meal, plenty of drinks available.It was my partners 50th birthday and they presented him with a cake which was a lovely touch.Thank you very much for a great day."
2,https://www.tripadvisor.com/Profile/c0nnylee,October 2020,5,Perfect trip,"We had a great day, the kids and us had so much fun fishing, equipment was easy to use und very good, even the grandparents did catch fish!After swimming and snorkeling, we had a wonderful meal, very tasty and prepared with love! We will come back for sure! Thank you!"
3,https://www.tripadvisor.com/Profile/sued693,October 2020,5,Absolutely loved it!,"Proper fishing boat, max 10 people, fishing in 2 different places, snorkelling by the caves. Amazing BBQ cooked on the boat with greek salad served in shells and big bunch of grapes. Wine, beer and water provided. Lovely couple do the trip, so friendly and nice. Would highly recommend."
4,https://www.tripadvisor.com/Profile/91g_ntherj,October 2020,5,Go for it!,Beautiful trip where the whole family had a great time. Food was great too. Highly recommended. ️
0,https://www.tripadvisor.com/Profile/RJM2202,October 2020,5,A trip that has a bit of everything ,"Thoroughly enjoyable 5 hours out on this fishing trip. Site seeing, sea fishing, swimming in the caves and a beautiful BBQ cooked on board washed down with a few beers.Would certainly recommend this to anyone "
1,https://www.tripadvisor.com/Profile/742mindaugasl,October 2020,5,Best fishing time,The best fish I ever tasted. Best service and really nice people. I will get back on next holidays definitely 
2,https://www.tripadvisor.com/Profile/alexvandermeij,October 2020,5,"Fantastic organization, great and active tour","Went with a friend and was super pleased. Crew takes great care of you with anything, beers and drinks on board. Fishing is great, the Captain grills your catch and other fish, pleasant snorkelling in a nice cave area, and overall a nice boat to spend a couple hours on. Highly recommend."
3,https://www.tripadvisor.com/Profile/835hadass,October 2020,5,Amazing!!!!!,We were 3 friends we had a lovely time with vassili he was upset nice and careful You shouldn’t miss it if you’re in Rhodes!!!!
4,https://www.tripadvisor.com/Profile/Cleopatra001,October 2020,5,Fab trip,"Fab trip, really enjoyed it, 5 hours at sea and a delicious lunch of barbecued fish, salad, crusty bread and fruit on the boat.. Great value for money and would highly recommend"
0,https://www.tripadvisor.com/Profile/Idan123ba,October 2020,5,Very good,Its the second time for us with caption vasiliy really nice person we hope to come back again it was really fun we was with all the famliy and we really really enjoyi am very recommmend for who doesnt like fishing also it really nice tour and meal thanks again caption vasiliy
1,https://www.tripadvisor.com/Profile/TakisZ450,September 2020,5,Fantastic,"If you want a fishing trip with real fisher man and a special greek hospitality just join the trip and let the captain Basilis make the other for you,Highly recommended!!!"
2,https://www.tripadvisor.com/Profile/568tareks,September 2020,5,Tolle Erfahrung,"Makarounas was a spicial experience, which i really recomend. It was like a family, and we learned alot about fishing. And we had alot of fun. The food was perfect and we had enough time to swimm. Everything was perfect, we really enjoyed it, and i m sure u will too."
3,https://www.tripadvisor.com/Profile/357jenniferh,September 2020,5,Brilliant day out,"The only word to describe this trip is ‘fabulous’. Great crew, lovely boat, everything provided. Went on this trip as a group of 7 adults, holiday with our adult family.  The delightful crew catered for everyone.  Starts with a sightseeing cruise along Rhodes town then off to fish for about an hour.Once lunch is caught we were taken to a small bay for swimming and snorkelling while the crew cooked a scrumptious bbq.5 hours of fun - would highly recommend this trip "
4,https://www.tripadvisor.com/Profile/O2478YWtonyb,September 2020,5,Amazing,"Couple days ago we have absolutely amazing fishing trip whit makarounas fishing trip. Staff 10 points, grilled fish for dinner absolutely fantastic,  its my first review,  but i give 11 points of 10. Thanks very much for fantastic day."
0,https://www.tripadvisor.com/Profile/willd157,September 2020,5,A must do!,"Really great trip. The crew were great, friendly and helpful. Don’t expect to catch big fish to eat but it was really good fun and great value for money. The lunch was simple but so tasty (fresh grilled fish, Greek salad & grilled bread). All the drinks were included (ice cold local beer). Stopped off for a swim in a really cool cove. Thoroughly recommend!"
1,https://www.tripadvisor.com/Profile/380samerh,September 2020,5,Best in Greece,"The best in all Greece ,, the Manager is the nicest person ever , very nice experience, he is so familier"
2,https://www.tripadvisor.com/Profile/lifeofsophies,September 2020,5,The highlight of our holiday...,"I really can recommend it, If you like authentic bothtrip, an friendly captain,traditional Greek music and fish,its the best choice for your holiday!!All the time we feel save.The captain and her assistant always take care of us and the passenger's and explain you everything you want know about fishing . Unfortunately time was running very fast...But we hope,we will see us next time again!Thank you for everything  "
3,https://www.tripadvisor.com/Profile/chelseah330,September 2020,5,"Brilliant day out, one to experience!","Having read the reviews already, I had a good idea we’d have a great day, and we wasn’t disappointed! The captain and the lady (I’m sorry I can’t remember names!) we’re fantastic hosts, the hospitality was great, all drinks were included with plenty of choice. The views were wonderful and plenty of photo opportunities with a relaxed atmosphere, even in these troubling times. We fished for just over an hour and everyone and then went snorkelling in the caves and came back to fresh fish and Greek salad with watermelon for dessert.We will definitely be visiting the island again and certainly will be booking another Makarounas  trip! Look forward to seeing you again. "
4,https://www.tripadvisor.com/Profile/868lloydd,September 2020,5,Brilliant experience - definitely worth time and money,Fantastic experience - great views as you leave the city and then some brilliant fun fishing for a couple of hours. Quick swim around the caves and hop back out for you bbq’d fish for lunch/dinner. Great fun and trying to persuade my other half to do a second trip in the same week.
0,https://www.tripadvisor.com/Profile/HannesDG94,August 2020,5,One time experience!,We really enjoyed our time at this trip. It was a one time experience. I could recommend this trip to everyone! Jasmin and Wasselis were really nice people. The food was really good! See you next time!
1,https://www.tripadvisor.com/Profile/Sepreviews,August 2020,5,Brilliant trip,"Brilliant day out! It was a lovely relaxed and chilled atmosphere, left at 9am and fished for an hour or so, I think nearly everyone on our trip (9 people) caught a fish! We then stopped at a little bay where you could snorkel round the Ancient caves whilst they barbecued the fresh fish on board the boat! (When we booked the trip we were asked if we wanted chicken or fish so if you don’t like eating fish there is another option) the lunch was delicious and the setting was beautiful it was a great day out."
2,https://www.tripadvisor.com/Profile/898glynw,August 2020,5,Beautiful day out fishing & snorkeling with a delicious BBQ if a little windy!,"Makarounas is one of those little gems that you occasionally find while on holiday.  Primarily, wanted to try some fishing. This trip certainly delivers plus lots more.  The captain is very amenable, friendly and helpful,  as is the lovely lady who assisted him. The grilled fish was delicious with a large portion of Greek Salad followed by a refreshing slice of water melon.  The caves we visited are interesting and full of marine life.  Be careful when swimming near the rocks.  It's very easy to graze a knee or your back like I did .  We took our own snorkeling equipment but you can borrow theirs if you're comfortable to do so.  All in all a good day out which was lots of fun.  Thanks! "
3,https://www.tripadvisor.com/Profile/chrishZ2103GP,August 2020,5,brilliant trip,"We had a fabulous day on this trip. A boat trip, few hours fishing,( everyone caught a few ) . Then swimming and snorkeling near the caves while the fish was being cooked on the bbq.  The smell was amazing, so back to the boat to eat. A must do trip."
4,https://www.tripadvisor.com/Profile/loukyluke,August 2020,5,One of the best deals in Rhodes,We went on a fishing trip with Makarounas today and it was fantastic. One of our friends felt sick of the sea and they took care of him. Captain Vasilis and Mrs Asimina were very polite and kind. We went fishing and had a bbq on board. Food was great and overall a great experiennce. Only thing id change is to have a bit more time to fish other than that 10000% recommend it. You won't regret it i promise.
0,https://www.tripadvisor.com/Profile/Safentou,September 2019,5,Michael Afen Makarounas Fishing Trip Review!,The most beautiful and wonderful fishing experience I have had with my son! I highly recommend anyone who visits the most beautiful Rhodos Island of my ancestors to take this amazing fishing experience of all time.  This is what Greece and Rhodos is all about! Check out Paradissi Village next to airport to!
1,https://www.tripadvisor.com/Profile/Sweetcarol11,September 2019,5,Lovely day.,We had such a great time! The sun was out the staff were lovely and we so thankful for making our day so special
