,reviewer_profile,date,rating,title,text
0,https://www.tripadvisor.com/Profile/bastoz21,October 2020,5,What a day!!!,"Not much to say about this day except... Absolutely perfect!!!  The entire boat was for us and hosted by this beautiful couple that gave us the complete experience of what we were looking for. Nikos the captain knows everything about those islands and where to go to make you spend a perfect day for fishing, discovering nice spots for swimming and show you some breathtaking places ; can’t forget about madame also, Frosso who’s a really good chef and knows how to host you perfectly. Well, if you pass by Milos don’t hesitate go to this place you won’t be disappointed that’s for sure.…"
1,https://www.tripadvisor.com/Profile/N7085RNpaula,August 2020,5,Don t forget to do the tour to Polyaigos! FANTASTIC,"Wonderful boat trip to Polyaigos!We went with my wife to Kimolos, and went to the trip. the boat has 10, 12 persons, enough space for all.  You can see all the process of taking the fish from the net they put in water the day before, see fishes one by one, and after see them in your plate, fantastic food!! The captain and captenissa are 2 wonderful person that will explain you all the things you have to know, and take you to the best beaches!! It s 80€ per person, but 8 hours, very good food, company, and good beaches, it s cheap! Highly recommended !…"
2,https://www.tripadvisor.com/Profile/vinzparini,August 2020,5,Best boat tour in Milos!! ,"Great couple, very friendly, very caring. Departed from Pollonia at 10.00 to go around the beautiful Poliaigos and returned at 18.00ish.. Great cook, and Super captain! "
3,https://www.tripadvisor.com/Profile/anthi2019,August 2020,5,A fantastic cruise in Polyaigos! Perfect hosts!,"We were in Kimolos just for two days and we  were wondering if it's worth to go to Polyaigos. Thankfully we went and we enjoyed not only the pure turquoise water of Polyaigos sea but also a real fishing experience, guided by Mr Nikos and Mrs Froso, who do this job for years and know everything about fishing! They are two perfect hosts who made us feel like our home from the first moment. We had the chance to see the whole process of picking the net together with all the fresh fish were being caught, clean them and, undoubtedly the best part, eat them!! After enough stops at the best spots around Polyaigos, where we could swim, dive and relax, we ate the ""kakavia"" meal, made by Mrs Froso. A soup with all these fish inside. It is rare to find it and it was so delicious! They served it to us with ""skordalia"" (kind of garlic sauce), salads and fresh bread. I also liked that they were just 10 people in the fishing boat and we were like company. As Mr Nikos told us they take 12 people max. The price is 80 euros per person, but it's not expensive if you think that snack, beverages, main meal, fruit and sweet are included and the duration is about 8 hours. Don't lose this trip if you are in Milos or Kimolos. Highly recommend it!…"
4,https://www.tripadvisor.com/Profile/IamElenaP,August 2020,5,The highlight of 2 amazing weeks!,"We chose this fishing experience cruise in Polyaigos for the last day of our vacation and we couldn’t have chosen anything better! Captain Nikos and his wife, Froso, are 2 wonderful people who will make you feel the traditional greek hospitality from the first moment on the fishing boat. We did 3 cruises in total during our trip, but THIS one exceeded every other cruise. From the people on board, to the amazing locations of Polyaigos we visited and the best food we ate on board, all these made a wonderful experience that we will treasure! We did 5 stops for swimming in crystal green and blue waters and Froso kept on feeding us wonderful recipes of her own. Our lunch was FRESH fish that Captain Nikos caught in the morning and they made a traditional “Kakavia” (the fishermen’s fish soup). Thank you so much for this gift on an experience and we wish you to continue being as you are!…"
0,https://www.tripadvisor.com/Profile/smarobabani,August 2020,5,Fantastic experience! Don’t miss it!,"It was a fantastic experience for all of us. Nikos and Froso are great hosts. The experience of fishing was very impressive, the food amazing and the seas you will swim during the trip are marvelous. Strongly suggested trip!"
1,https://www.tripadvisor.com/Profile/zhanab2017,August 2020,5,Amazing trip Polyaigos,"Amazing trip to Polyaigos Island. Its the most beautiful place I have ever seen. All shades of blue, and crystal clear waters. The host were perfection, Nikos & his wife were a dream come true. Great food, freshly caught. The best hospitality. Thank you for the trip ill remember…"
2,https://www.tripadvisor.com/Profile/DrHook123,October 2019,5,Fantastic day aboard Niko's boat!!,"We enjoyed every minute of our day long cruise aboard Niko's fishing boat. He, his wife, and crew, kept us well fed as we stopped at countless coves along the islands. We caught fish in the morning, and enjoyed them for lunch in the afternoon. Our trip exceeded all expectations!…"
3,https://www.tripadvisor.com/Profile/Lisa8411,October 2019,5,Amanzing fishing boat trip in Poliegos!,"We had such a great time during our excursion together with Niko and his Wife and their team! Very intimate boat trip (10 people), great fresh and tasty food (0km fish - we ate all fish fished by the boat fisher during the morning!), wonderful blue crystal water and last but not…"
4,https://www.tripadvisor.com/Profile/AllyStevo,October 2019,5,Best day ever ,"Thank you so much :) we had the most amazing day, food, drink everything was to die for! We have been on my boat tripe and this was so special and beat them all! You can’t go wrong. Yamas from the Aussie honeymooners! Great crew xxx"
