,reviewer_profile,date,rating,title,text
0,https://www.tripadvisor.com/Profile/salimatag2020,August 2020,5,Unforgettable experience,"Magical and unique experience. We were received on the Milos Fishing Trip for a whole day. We discovered the extraordinary sea caves of kleftiko and swim in their unrealistic blue sea, had lunch in a magical place with fish we had just caught and other delicious Greek food. Just to name a few memorable moments on this unforgettable day. Most of all, we were so well received by the captain and his family who welcomed us as guests and moved us with their kindness. If you want to experience Milos as it bests, Milos Fishing tour is a must!  Expérience unique et magique. Nous avons été chaleureusement reçu sur le bateau « Milos FishingTrip » pour toute une journée. Nous avons découvert les caves extraordinaires de Kleftiko, avons nagé dans une mer d’un bleu irréel et avons déjeuné sur le bateau au milieu des caves des poissons que nous venions de pêcher. De plus, l’accueil du capitaine et de sa famille était d’une générosité et d’une gentillesse qui ont ajouté du bonheur à cette journée. Si vous allez à Milos, vous devez absolument faire ce tour…"
1,https://www.tripadvisor.com/Profile/329katerinac,August 2020,5,Amazing and Authentic Experience ,"Captain Kyriakos is an authentic man and very joyful person and his daughter Tina was very kind.They are both very friendly and full of humor!! We went for fishing and caught many fishes!! Mr Kyriakos and his daughter Tina cooked the fishes and other tradiniotal greek dishes. They also provided delicious breakfast and fruits! The trip and the beaches we visited were amazing (Gerakas, Tsigkardo, Kleftiko) . The fishing trip is for maximum 10 persons therefore i suggest to book 2-3 days before. The most amazing and authentic experience!! Thank you so much Captain and Tina!…"
2,https://www.tripadvisor.com/Profile/2020Marialena,August 2020,5,Greek hospitality,"One of the most unexpected experience than I ever had. These team , mr Captain Kyriakos and his daughter ,makes me feel the Greek hospitality. The trip was amazing, we swam in places with crystal waters evev if you could imagine. Last but not least is the experience that we had with the fishing on board. Mr Kyriakos did the unexpected made us to feel like we are expert in this. I love more Milos than before after this excursion. If I will visit Milos in the future, i will be sure that i will make it again.…"
3,https://www.tripadvisor.com/Profile/18joer,September 2019,5,We Caught TOO MANY FISH!,"My girlfriend and I went on a fishing tour and we caught over 10 fish in 3 hours! We caught so many fish that we shared some of our catch with another fishing tour so that they could eat lunch.   The fish were delicious, and the captain and his daughter were excellent hosts and guides! We had such a blast, would strongly recommend this to anyone interested in a beautiful trip around Milos, especially if you're looking to catch a lot of fish!…"
4,https://www.tripadvisor.com/Profile/882vikyp,November 2019,5,A Story of friendship !,"We arrived very early (4:50 am) in Milos port, no accomodation booked til then, no idea what should we do at this time, out from the ferryboat. First person we met in the habour was Kiriakos, the fisherman and his family on his boat Anna-Maria and he sold to us fresh fish!! We left at the end of November for a season end getaway. On top of that! If Kiriakos and his family had not been, we would probably have left the island of Milos again....  Kiriakos not only showed us the island with his big boat, but also provided us with fresh fish and salads on his boat for 4 days, as family. We heard very great and interesting stories and laughed a lot. We came as strangers and we left as friends. We thank you very much, Tina, Anna, Anna Maria and Kiriakos for this great time and that you have been there for us. You really saved our holiday!  Of cause you can stay in Winter on Milos, with fishingtrips and alot of good food with Kiriakos and family !  See you again, either back on Milos or in Crete!  Love Vaggeli, Ari and Biky…"
0,https://www.tripadvisor.com/Profile/piratfritz,September 2019,5,Best Milos boat experience with fresh caught fish!,"Beat all the tourists and join this local boat (fishing) tour! We stopped along all the highlights of the west coast of Milos, caught fresh fish and fried them for lunch! A truly great experience that surpasses the other crowded boat tours by far!"
1,https://www.tripadvisor.com/Profile/vangelis0,August 2019,5,Incredible experience,This is probably the highlight of our trip to Milos. Nikos and his wife have developed an incredible idea that stands out from the canned boat tours you can book. 
2,https://www.tripadvisor.com/Profile/akallergis,August 2019,5,Fantastic trout by amazing people ,Would recommend this tour 100% great experience with great people. Thanks for a unique and memorable activity! 
3,https://www.tripadvisor.com/Profile/CARochaPT,August 2019,5,Well deserved 5 stars!,"My family and I strongly recommend this activity. We have been on other greek islands of the Cyclades, and have had also quite wonderful boat rides, but this one was somehow different and surprising. Tina and her father take realy good care of you, one feels they have true…"
4,https://www.tripadvisor.com/Profile/theo_room,August 2019,5,Top experience,This is the best way to discover the beaches of Milos. You can't ask for more - eating fish you caught yourself freshly bbqed on the boar's very own grill after snorkelling in the crystal clear azure blue waters around Kleftiko! The fishing caique is authentic and so comfortable…
0,https://www.tripadvisor.com/Profile/smoesgaard,August 2019,5,"Great fishing, snorkeling and lunch ","We are a family with 3 kids age 5, 12 and 15 and we wanted to combine a sailing trip with fishing. This was absolutely perfect. Tina was very considerate about picking the best day for us (with the least wind). All kids caught a fish and loved the delicious lunch. We were only a…"
1,https://www.tripadvisor.com/Profile/AugoustinosKall,August 2019,5,Ever felt at home on a boat?,"When not taking you on a trip around the island with his daughter Ntina, Kyriakos is a fisherman.   This trip is the perfect mix between a touristic hop between the unaccessible beaches of Mílos, the experiencing or Paragadi fishing, and the tasting of traditional fish soup…"
2,https://www.tripadvisor.com/Profile/simonlZ7826TD,August 2019,5,Unforgettable day with the nicest hosts!,"My girlfriend and I went on the fishing trip with Tina and her father and it was the most wonderful day of our vacation. We went along the south shore of Milos and the views were breathtaking. We did snorkling in otherwise unaccessible locations, we fished the coast and we…"
