,reviewer_profile,date,rating,title,text
0,https://www.tripadvisor.com/Profile/GerardR420,May 2019,5,Gerard,"Fantastic day out. Stunning scenery, great food and wonderful company of Captain Giorgos and his crew. An experience you should not miss!"
1,https://www.tripadvisor.com/Profile/fitzyit,September 2019,5,Read the reviews then just book it.,"Booked our trip from the UK and everything was very easy. Our original trip was cancelled due to adverse weather so Giorgos (captain) tried to fit us in at a later date. Called that morning saying he would have to cancel again due to weather. Rang me back about 2 hours saying although we were about 3 hours late  would we still like to go but on a condensed trip as Giorgos did not want to let us down. We all agreed to go. Giorgos said the trip would not be as long as normal but we would get a feeling of what normally happened. So glad we went, the best day of our holiday. The boat is absolutely spotless. After coffee Giorgos explained what we would do and explained all about fishing. So interesting and informative. We put nets out and went to an island with no one on it for swimming etc. Went back to collect nets, hoping we would get some fish, which we did. More swimming at a different beach while lunch was prepared.  Food was excellent and so tasty and also very plentiful. All in all an excellent day we all agreed that if we return we would do it again but hope to get the full day in.  Can not recommend this trip enough, all crew and facilities first class.…"
2,https://www.tripadvisor.com/Profile/Aliyajd,August 2019,5,Amazing,This was by far the best day of our holiday. It was a great learning experience and lots of fun. The boat was clean and beautiful and they paid attention to detail using beautiful hand made plates instead of plastic.. the fish we caught was well cooked and delicious.. all in all a fantastic day. Thank you Giorgos!…
3,https://www.tripadvisor.com/Profile/bundi103,September 2019,5,My best day in Zaky,"1st impression: the looking of the ship: beautifully maintained and amazing clean 2nd impression: warm and smiling welcome of the captain and its crew 3nd impression: the sailing to the fishing spot, with Cpt.Giorgos and his presentation what we gonna do and why 4th impression: the beautiful and unique beaches where we couldn't get access without this amazing team 5th impression: the chance to have a little taste of this heavy fishing life 6th impression: tasting the delicious lunch prepared out of our catch, prepared by Cpt.Giorgos (NO, it was not his reward, but his lovely team member) 7th impression: the kindness and patient he showed to all of us 8th impression: he wanted to drive us back to the hotel, when our taxi didnt show up  9th impression: few hours after the cruise, we have already got the pics he made I can probably keep listing impressions here, but the point is, that Zante Fishing Cruise is an absolute recommended category, u can miss the shipwreck beach, u can miss the island tour, but never miss this tour!!! U will get wonderful experience what the perfect hosting mean!!! Thank u Cpt.Giorgos Nikolatos!!…"
4,https://www.tripadvisor.com/Profile/Sarahp55555555,August 2019,5,Amazing day fishing ,"Had an amazing day fishing ( 27/8/19) with George and his crew , the boat can take 12 passengers but we decided to hire it privately as we were a party of 7 . We all had a go at putting the nets out about 1500 metres , then over to a private island for a swim to shore , drinks in Porta Roma which is beautiful. Kids had a go on a speedboat inflatable ride which they loved! Then lunch on board the boat which was delicious, best day of our holiday, only Georgios has the licence to do this type of trip , was brilliant day! Thanks Georgios …"
0,https://www.tripadvisor.com/Profile/lisachaffey,September 2019,5,HIGHLY RECOMMEND ZANTE FISHING TOURS,Myself and my two brothers went on the all day traditional Greek fishing trip with captain Giorgos and his crew. The trip was throughly enjoyable and Giorgos was very informative. They really care about the environment and spoke passionately about the importance of sustainable…
1,https://www.tripadvisor.com/Profile/Mabel1018,August 2019,5,Fantastic day out!,Our family spent a fantastic day with Cpt. Giorgos last week.  My children (aged 15 and 13) had the most amazing time learning about the fishing and then diving in from the boat in some of the most beautiful spots on the island.  Nothing was too much trouble and the…
2,https://www.tripadvisor.com/Profile/Mbscarey,August 2019,5,Fantastic day Fishing,"This trip was booked to celebrate a birthday, there were 7 of us in our group and it was the most amazing day ever.  I was a little worried about sea sickness which I had suffered from before, I have to say I didn’t, feel unwell at all.  The whole day from start to finish was…"
3,https://www.tripadvisor.com/Profile/ElfCaerdydd,August 2019,5,Amazing day out,I can not recommend this trip enough. We were made so welcome from beginning to end and the trip was an amazing experience for us adults as well as the children. We consisted of 4 adults and 5 children ranging from 5 years old to 15. Our first impressions were how spotlessly…
4,https://www.tripadvisor.com/Profile/750deanm,August 2019,5,Amazing,I booked this trip for me and my son for a bit of bonding while on holiday. What a amazing day we had giorgias was very informative and a pleasure to be around. We learnt about how they fish and stopped of for swimming while the nets was out. We ate our catch and was absolutely…
0,https://www.tripadvisor.com/Profile/WalesWorldwide,August 2019,5,What an amazing day!,What an amazing day we had. From the moment we arrived on the boat to be greeted by traditional greek coffee and pastries we were made to feel welcome and part of Giorgio‘s fishing family.  We were all taught how to let the net out and bring it back in and my son even caught his…
1,https://www.tripadvisor.com/Profile/276mathiast,August 2019,5,The undisputed highlight of our holiday!,"My girlfriend and I were looking for day trip by boat and got in contact with Georgios a few days in advance. Due to a cancellation we were lucky to get on the trip, so I recommend you to book the trip from home or at least a few days before (just to be sure).  Georgios and his…"
2,https://www.tripadvisor.com/Profile/597vagelisa,August 2019,5,Simply amazing,Very original idea!A nice way to see all the beautiful places in the island.Crystal clear blue waters and tasty food.And if you are lucky like us you will get to see some turtles as well!
3,https://www.tripadvisor.com/Profile/Hellamour,August 2019,5,Highlight of our vacation,"We booked a morning/afternoon fishing tour at Zante Fishing Tours. We were in contact with the owner (Georgios) a couple of days before the tour and we were given prompt instructions on departure time, the program of the tour etc. We arrived too early on the day of the tour…"
4,https://www.tripadvisor.com/Profile/Sarsteph1,August 2019,5,Amazing Zante Fishing Tour,"This journey with Georgios and his crew was simply amazing! Departure from Zante harbour, breakfast on the boat, put the net in the water, go on a wonderful beach to wait to catch, come back, remove the fishes, go on another beach and finally eat the fishes... All this in a…"
0,https://www.tripadvisor.com/Profile/109DavidW109,July 2019,5,Best fishing tour ever,"Our day with Zante fishing tour was amazing. A great crew, beautiful swim stops, delicious food. Highly recommend this fishing tour to everyone!"
1,https://www.tripadvisor.com/Profile/F6248EMianb,August 2019,5,Trip,"This is a must do trip when in zakynthos, very professional and very  greek, fish caught, cooked (by the FBI) superb day out "
2,https://www.tripadvisor.com/Profile/cerid885,August 2019,5,Highly recommend,Booked this through PM on facebook and communication was swift & informative. Didn’t want the usual boat trips available and this sounded exactly what we were looking for. I was messaged the evening before that there would be a later start with apologies. It was only 30 mins &…
3,https://www.tripadvisor.com/Profile/Kkolenac,July 2019,5,Unforgoten adventure MUST TRY 👌🏻,"It was an unforgettable day and I would be very sorry that I would not take part in this excursion, fishing. As soon as we boarded the boat, they served us with excellent coffee, biscuits. Captain Giorgios  is very friendly and hospitable, as well as his crew. The fish that we…"
4,https://www.tripadvisor.com/Profile/Welshtash1970,July 2019,5,A Truly Fantastic Day at Sea!!!,"We experienced this fantastic boat trip with Zante Fishing Tours whilst on holiday in Kalamaki. We have holidayed here for many years and were looking for something different. This trip provided this and lots lots more!   From being involved in casting the nets, watching the…"
0,https://www.tripadvisor.com/Profile/cguevara,July 2019,5,If you do one trip in Zante - do this one!,"We now live in Zakynthos and this trip was recommended to us by friends they raved about it so much we booked and took along our daughter and her partner, leaving from the Port of Zakynthos we headed out to sea, George (Captain) explained what we would do and what we would see…"
1,https://www.tripadvisor.com/Profile/Rachel15F,June 2019,5,What a great day out,Celebrated a friends 50th birthday on board and had the most fun.  The fish freshly caught and cooked as part of an amazing lunch.  So friendly and welcoming on boat.  Highly recommend a trip with Zante Fishing Tours.  Thanks for the memories. 
2,https://www.tripadvisor.com/Profile/Experience793598,June 2019,5,Sniffer’s 50th!,"Well, what can I say, came with 13 mates, booked with George a while back, and we had a brilliant day!!  Great fun, swimming, great hosts, and the lunch/ wine etc was lovely! Caught some fish too, and had a swim with a turtle! Great thanks to George, his mum in law, and other…"
3,https://www.tripadvisor.com/Profile/gamanc2015,June 2019,5,A unique experience that shouldn’t be missed,"A special day spent with special people that are passionate about what they do, at the end even preparing us an absolutely exquisite meal from the fish caught on board. The ride is a commercial fishing ship that fits a maximum of 10 people and doesn’t cause nausea.  It is…"
4,https://www.tripadvisor.com/Profile/larryuan,June 2019,5,Fantastic day with Giorgos,"It is my first time ocean fishing.Giorgos is the best captain! He is knowledgable, and likes to share with people.  Such a good experience. It's not only about fishing. The food we got is fabulous as well!!"
0,https://www.tripadvisor.com/Profile/X885CLneilm,June 2019,5,Boat trip you will never forget,"An amazing day spent with the crew of Zante Fishing tours. You get to go aboard an authentic fishing boat, get up close and personal with the 2 crew. The captain makes you feel welcome and wants to make sure the day is on of continual happiness and pleasure. You go out , put out…"
1,https://www.tripadvisor.com/Profile/matgaudreau,June 2019,5,A must do trip,"First of all, the Captain, Giorgios, is one of the most friendly person I've met. When we arrived, he offered us coffee and biscuits made by his mother-in-law, who does the cooking in the shop. He will also talk to you like you are one of his best friend and it makes the…"
2,https://www.tripadvisor.com/Profile/christina1zeri,June 2019,5,A joyful day at sea,"Great experience!!!  Getting fish out of the nets is such a fun! The greek flair at sea. Captain George - a higly skilled sailor, his mother in law -the best cook ever- and Sadik will make your day. Dont miss it."
3,https://www.tripadvisor.com/Profile/elenik929,June 2019,5,oceanographic research and experimental fisheries ,"Very well organized fishing boat for oceanographic research and experimental fisheries. Excellent service, very friendly atmosphere onboard the boat as well."
4,https://www.tripadvisor.com/Profile/argiro2015,June 2019,5,Perfect trip,HCMR scientists are cruising with F/V Panagia and captain Giorgos investigating #plastic #pollution at Zakunthos waters within the framework of the INTERREG-MED #PlasticBastersMPAs project
0,https://www.tripadvisor.com/Profile/LuteH1,May 2019,5,Best fishing experience with Captain Giorgios. ,"Friendly Captain Giorgios and his family members, excellent fresh seafood lunch and unforgettable experience. It is a good way for you to know how to fishing on the sea. Sometimes you could find the seal and turtles in good season. …"
1,https://www.tripadvisor.com/Profile/MorrisonJo,May 2019,5,Fantastic day out,"Zante fishing tours is an early start but well worth it  Georgio the captain is an excellent host and the small group of 12 made it more interesting  You will see and learn traditional methods of fishing in Zakynthos and the lunch of spaghetti and squid ,homemade bread Local…"
2,https://www.tripadvisor.com/Profile/rachelpJ1283WW,May 2019,5,THE best day of our holiday!,"Its an early start, but so worth it. With only 12 passengers it was a very intimate and interesting trip. Giorgio was so friendly and makes everyone feel very welcome as soon as you get on board. You can have as much ‘hands on’ experience as you wish, helping to put nets in and…"
3,https://www.tripadvisor.com/Profile/tomlA1824ZU,September 2018,5,Great trip,Loved the trip with George and the crew! Got the 7.30 start and was well worth it  Had multiple swimming stops and even cooked seafood that was caught along the trip! A must do day trip for everyone involved!  Cheers George 
4,https://www.tripadvisor.com/Profile/billywood2404,September 2018,5,Excellent Day out on the sea,"If you fancy a change from sunbathing and doing something a little bit different, I would recommend you try this trip with Captain Georgios and his crew, Set sail from Zante Town about 07.30 sail for approx 1 hr then put the nets in, move closer to the shore have some breakfast…"
0,https://www.tripadvisor.com/Profile/sueh812018,September 2018,5,Fantastic fishing trip!,"I visited Zante for a two week holiday, I love fishing and this trip was brilliant and well worth the money. Would highly recommend and the food was great too as we caught it ourselves   Geoffrey Hardware"
1,https://www.tripadvisor.com/Profile/Dina240,September 2018,5,"Fishing, food & fun!!","This day out with the lovely Captain Giorgos and his crew was well worth getting up early for!  We watched the sunrise as we headed out to sea from Zante Town at 7.30am.  After the nets were cast we headed for a lovely, secluded beach only accessible by boat or bike for swimming…"
2,https://www.tripadvisor.com/Profile/emilykatewoods,September 2018,5,This was a ripper tour!,"Friendly and informative captain, Giorgos. Enjoyable net-fishing experience followed by a sumptuous buffet on board (which included our catch of red mullet - delicious!).  Also included swimming stops and a beach stop. A top-value experience not to be missed!   Would definitely…"
3,https://www.tripadvisor.com/Profile/CMcPW,August 2018,5,Best trip of the holiday,"Giorgos is one the nicest Greek Sea Captains I’ve ever come across – it doesn’t count that I haven’t met another before!  I had seen the trip on Facebook and really fancied it.  If you do the trip as a private large group booking, it is fantastic value for money!  Giorgos is…"
4,https://www.tripadvisor.com/Profile/davesooty69,September 2018,5,Zante  fishing,Wow what can i say about this trip.just an amazing  experience  fishing the old traditional  way.you leave zante harbour  7.30 am traveling  out in the boat for a  round 90 min then the anchor  goes in and you then start putting  the nets  in this takes around 90 min .you then…
0,https://www.tripadvisor.com/Profile/MichaelJ6137,August 2018,5,value for money,leaving zante harbour at 07.15 we sailed for about 90 mins Captain George was keeping us entertained and well informed on every aspect of traditional Greek fishing accompanied by coffee and homemade very tasty cookies.We then all took part in casting the nets these were about…
