,reviewer_profile,date,rating,title,text
0,https://www.tripadvisor.com/Profile/Bardsey123,September 2019,5,A magical day!,"An absolute must for anyone visiting Kephalonia even if you are not into fishing! Efi, Dimitrios and Mohammed are fantastic people who went out of their way to make every part of our trip enjoyable. Greeted with coffee, tea and pastries we set off to sail down the coast. We watched the hauling in of the fishing nets and the preparation of the fish, drinking refreshing tasty home made lemonade. We then had a swim in a beautiful bay before sailing further down the coast for another swim whilst Efi cooked the fish and prepared lunch. The highlight of this second swim was dipping into a pool of clay at the end of the beach and covering ourselves in this elixir of youth!! We all swore we looked 10 years younger afterwards!!! The very best part of the day came with the consumption of beautifully cooked fish with salad, potatoes and bread washed down with really good home made red wine, bliss on a plate! The company was really convivial and it made for one of the best days of our holiday."
1,https://www.tripadvisor.com/Profile/Greekaholics,September 2019,5,Great Day's Fishing and Swimming!,"We had a fabulous day with Dimitris and Efi. Helping to take fish from the nets, then 2 swimming stops, then a lovely lunch prepared by Efi from the fish caught plus salads and wine etc. This was one of the best days of our holiday in Katelios, Kefalonia. Thank you Dimitrios and Efi, and Mohammed the crew man."
2,https://www.tripadvisor.com/Profile/Ramallah123,September 2019,5,Best day of my holiday. Fishing and eating with great hosts,"Such a wonderful day spent with Efi, Dimitrios and Mohammed on their fishing cruise. The experience is one I shall never forget. Swimming in the small secluded bays. Great company. The fish we caught in the nets were the best fish I have ever eaten all cooked by Efi. Served with lemon potatoes and salad and washed down with red wine, beer or soft drinks. Our hosts were exceptional. I cannot wait until next year so I can do it all again. Thank you for the best day of my holiday. A*** all the way "
3,https://www.tripadvisor.com/Profile/Y1422ASsusank,September 2019,5,Magical Fishing Cruise,"Getting down with the locals...... Well, what a perfect day spent with the wonderful, charismatic Efi and husband Dimitrios.   Together with the fisherman of few words, Mohammed (but when he spoke, his words were kind and full of wisdom). It was magic watching him work those nets. It was a day of fun, wonder, relaxation and laughter, gently cruising the coastline of Kefalonia.  We stopped a few times to haul in the fishing nets and those who wanted to helped free the vast assortment of fish and crustaceans from the nets.  A real education for a complete novice like me.  So we continued, anchoring twice to swim in exotic coves that were almost inaccessible by land.Meanwhile,  Efi magically conjured up the most delicious  barbecued seafood feast, accompanied with local fresh salad and Efi’s secret recipe of buttery lemon potatoes.  Not to mention carafes of local wine and fresh fruit.....Amazing how sharing good food and a few glasses of wine can unite strangers into friendship, united by such a splendid experience!   Saying goodbye was hard.  The end of a memorable day, feeling very happy and content.  Very thankful to all three of our perfect hosts."
4,https://www.tripadvisor.com/Profile/Meeks81,September 2019,5,Amazing experience A*,"If you are looking for a boat trip with a difference look no further. This is an amazing experience for all ages. It’s a great experience to learn how to haul fishing nets in and about the array of fish caught. The day started with the most amazing cookies and coffee and a very friendly welcome.  Then it’s time to haul the nets, once all of the nets are in you stop of for a swim stop. while the fish are being cooked for lunch, which was amazing so tasty and the home brewed wine went down a treat.  Information about the different spots/places on the way which is a really nice touch. I really can’t rate this trip highly enough and if your wanting something different to the normal boat trips this is definitely for you.We received a lovely welcome and they couldn’t do enough for you. Will definitely be booking the trip again when we are back to this beautifulIsland."
0,https://www.tripadvisor.com/Profile/McihaelMuenchen,September 2019,5,"Excellent Trip, Great experience","Efthimia and Dimitrios are very friendly and charming hosts. We had a lovely day, a multitude of differnt fishes caught, and great Food. We enjoyed also the remote and quiet beaches we visited. We can heavily recomand this activity! Jennie and Michael"
1,https://www.tripadvisor.com/Profile/JP134,September 2019,5,Good Catch ;-),We had so much fun spending the day on the fishing boat getting to know different sorts of fish while helping to get the fishes out of the nets.most of the fish we fished we Efi grilled and fried us and made us a amazing Lunch. We also stopped at two beaches where almost nobody was so cool.Too bad we haven't seen any seals or Dolphins or carettas but the animals have their own way of living so you can never know when or where they will appear. It was very relaxing to just enjoy the view of the neverending ocean and silence between. Thank you for a perfect last day on Kefalonia.
2,https://www.tripadvisor.com/Profile/Sprow,September 2019,5,What a day ,"My wife and I met up with Efi and Dimitrious at the harbour lovely couple. My wife use a stick but it was not a problem she walked on fine. We were offered coffee tea or water with dry snacks which were very tasty. We set of to bring in the nets and hauled in lots of fish a big catch see photos. We then went to a place were the seals hung out but none there ((nature is not on demand) maybe next time we go? We then dropped of at our first cove for a swim beautiful beach, then on to the final beach which had clay which is claimed to knock 10 years of your age two of us did it twice but our wife’s looked disappointed when we swam back. Back board Ffi and Dimitrious had been busy cooking our fresh fish we caught with great salad, Greek potatoes lots of lovely fish wine and beer flowed there were four couple who never met before but we became friends. Efi and Dimitrious are great hosts and we will be back also we highly recommend this boat and crew Jackie and Paul xx"
3,https://www.tripadvisor.com/Profile/ttzenos,September 2019,5,"A really unique boat trip, which is a must if you visit Kefalonia!","My wife and I took this trip on board Dimitris and Efi's boat last week and enjoyed it to the full. I cannot overemphasize how satisfied we were with everything offered in the course of the trip. The weather was so nice, the boat was comfortable and amazingly clean, the hosts were so caring, considerate, generous and ready to cater for our needs. They offered us breakfast when we boarded, despite not having promised to do so, to make us feel welcome. There were plenty of cold water, soft drinks, beers and wine on board and they constantly asked us whether we wanted some. In a little while everyone on board felt comfortable enough to help themselves to the fridge! The fishing experience was really cool. Efi and Mohamed (their assistant) were patient while taking the nets on board, to enable us to take part in untangling the fish ourselves and show us how to do that. Efi explained so many things about the different fishes caught and was so patient and eager to answer our questions. I should also stress that Efi did her best to explain everything in English, given that most on board were not Greek speakers, and did a very good job indeed. We also swam in marvelous secluded beaches with crystal clear water, inaccessible from land. My wife took a natural spa bath in a place where natural clay was available in shallow water. She loved it. And here comes the food!!!! Efi and Dimitris chose the best fish caught to prepare a feast for us. The grilled and fried fish was excellent, delicious and abundant. I love fish, so I ate lots of it. Everyone did, and there were leftovers. Dimitris and Efi were always there, attending to the table and ready to help us. And they served us their own wine (given the end of the season, their own wine was limited, so there was also great wine from other local producers available too), beers and soft drinks. Lots of them! The whole experience was incredible, interesting and fantastic, not boring at all. We had such a great time so we want to thank Dimitris and Efi for their kind-heartedness and generosity and wish them all the best! If you visit Kefalonia, do not miss this trip!!!!! It is a must!!!!"
4,https://www.tripadvisor.com/Profile/Destination734599,September 2019,5,Wonderful day out!,"This was a belated birthday treat for my husband for his 60th and we both loved it. Nothing was too much trouble from start to finish, Efi's English is excellent and was so knowledgeable about the different kinds of fish, and all three of them were so friendly and jolly.After first getting to know the other passengers over coffee, tea and biscuits we set sail to the first of two areas where the nets were waiting to be brought aboard and you could help as little or as much as you wanted, it was great fun.We stopped at two small beaches which could only be reached by boat and the water was so clear and a beautiful turquoise. You could get off the boat and swim if you wanted to and at the second stop you could swim ashore and cover yourselves in the liquid clay which Efi told us would take 10 years off our husbands, this bit she was telling fibs about!!!!!.During this time they cooked the fish they had caught and then laid the table with it plus potato dishes, salad and bread and home produced wine or beer, cold drinks and water.It was such a great day with good company and wonderful hosts. We would definitely do it again."
