,reviewer_profile,date,rating,title,text
0,https://www.tripadvisor.com/Profile/gabrield383,July 2020,5,Friends fishing trip,"Great experience. Nice guest on the boat. Snack, coffe and local drink provided on board. We had also a nice chat with the guest."
1,https://www.tripadvisor.com/Profile/Member161,August 2019,5,Fishing,Great experience and kind staff. All equipment is provided as well as food and drinks on board. Traditional liquor is provided to try.
2,https://www.tripadvisor.com/Profile/P9678OZ_,August 2019,5,🐠🐠,Today my friends and I went for fishing and we spend our day beautifully. I recomend this Fishing Trips to the people who like sea and fish
3,https://www.tripadvisor.com/Profile/johnpL4110LB,August 2019,5,Supreme fishing,We enjoyed the time so much. Even our children were excited by the process. The couple are extremely friendly and kind. They offered us drinks and national drink! They provided us with the equipment necessary for fishing and helped us. And in the evening we enjoyed our freshly caught grilled fish )))
4,https://www.tripadvisor.com/Profile/930dimitrise,August 2019,5,Σουπερ Επιτυχια! ,"Went withy 8th year old son! He got a lot of fish and had wonderful time! Captain's wife, Vily, brings a lot of good energy! Thank you for the nice experience! "
0,https://www.tripadvisor.com/Profile/luke081193,August 2019,5,Fishing Trip,We had an amazing time and it was great to be on the boat as the sun set. The crew were amazing and we laughed lots. Would definitely recommend and good value for money.
1,https://www.tripadvisor.com/Profile/Al1yz,August 2019,5,Fishing trip,"Amazing fishing trip. If you went for fishing before or this is your first time, they give you everything that you need. They were very welcoming and gave us drinks and food and made it so it was the best experience."
2,https://www.tripadvisor.com/Profile/danielaD3101II,August 2019,5,Great fishing,Excelent crew. Very friendly. Attentive with children. We caught some good fish. We recomend for family fishing.
3,https://www.tripadvisor.com/Profile/Popi890,July 2019,5,Fishing  Trips Thassos,Our experience with  Fishing Trips Thassos Limenaria  it was amazing and unique that will never forget.The  fish  we fished were great. Also the  amazing  route  blue seas Thassos .We will never forget  this  special experience  we 'll go back again next year for sure.l   suggest  you  unconditionally and you can tru it!!!!!!!
4,https://www.tripadvisor.com/Profile/LetitiaSavu,August 2019,5,Fishing trip,"Great fishing trip, nice crew, children friendly . We did a 3hour trip, coffee and some fruits included. I recommend them!Thank you "
0,https://www.tripadvisor.com/Profile/483balana,July 2019,5,Fishing Tasos !!!,"Very interesting and spectacular fishing on a boat, I recommend it to everyone, very interesting - recommend!!!"
1,https://www.tripadvisor.com/Profile/christinabE6527YS,July 2019,5,Amazing experience!,Me and my family had a great time with Antonis and Villy! We went for fishing we had very joy and it was lovely experience! We laughed and really fulled our batteries!! Surely recommend them!!!
2,https://www.tripadvisor.com/Profile/Sophietso,July 2019,5,An amazing fishing trip!,It was an amazing experience!!! We had a great time.We are going you visit you again!!! Don't miss it!!!
3,https://www.tripadvisor.com/Profile/716dimitrist,July 2019,5,Fishing Trips Thassos,I had a great time it was something special and you have to try it because it's something monastic and amazing!!!!!
4,https://www.tripadvisor.com/Profile/_J2070AG,July 2019,5,fishing,amazing people!we catches a lot of fishes!we drunk greek tsipouro and we grilled the fishes we catched
