,reviewer_profile,date,rating,title,text
0,https://www.tripadvisor.com/Profile/ambfra1981,August 2020,5,"A ""must-sail"" cruise around Poliegos","First of all, Poliegos is the best isle among Milos, Kimolos and Poliegos itself so you must cruise there if you're visiting Kimolos or Milos. It is absolutely one of the best isle in Greece.The cruise is an all day one starting from Pollonia Beach in the morning. We had a stop for a bath at least of 30 minutes in Kato Mersini Beach, Galazia Nera Beach (Blue Bay), another beach in the south coast where we had lunch and finally in another beach in the north coast of Poliegos. He made us to visit some caves along the path too. The captain sailed along the coast trying to make us to see all wonderful water along the coast: he is very expert because he is a fisherman in Milos during the wintertime. We were luckly because the wind, waves, sea and weather so we succedeed to go around completely in Poliegos. We visited also Epano Mersini Beach (Mersine Beach) and Ammoura Beach where is the lighthouse. We had a very long lunch stop where he offered a delicious lunch composed of salads and pasta with fish. It's offering you all drinks for free anytime you would like, not only during the lunch: juices, beer, coke, water and so on.  The captain is VERY kind and funny, the boat is small so there are few tourists on board so the enviroment is very familiar. You can freely ask everything you need at the captain and he'll make the best to satisfy! That money spent with the cruise are the BEST spent of your holiday there! ;) I advice to sail with him because you will not be able to forget easily this ""familiar-cruise"" because Poliegos and the captain Andreas!"
1,https://www.tripadvisor.com/Profile/FrancescoF675,August 2020,5,Wonderful familiar Cruise in the south coast of Milos,"The cruise is an all day one starting from Paliochori Beach in the morning. We had a stop for a bath at least of 30 minutes in Tsigrado Beach, Gerontas Beach, Kleftiko Beach and Gerakas Beach. He made us to visit some caves along the path too. The captain sailed along the south coast trying to make us to see all wonderful water along the coast: he is very expert because he is a fisherman in Milos during the wintertime. We had a very long stop in Kleftiko Beach where he offered a delicious lunch composed of salads and pasta with fish. It's offering you all drinks for free anytime you would like, not only during the lunch: juices, beer, coke, water and so on. The captain is VERY kind and funny, the boat is small so there are few tourists on board so the enviroment is very familiar. You can freely ask everything you need at the captain and he'll make the best to satisfy! The money is VERY well spent! I advice to sail with him because you will not be able to forget easily this ""familiar-cruise""!"
2,https://www.tripadvisor.com/Profile/DioKor,August 2020,5,Capten Andreas experience,"Last day at Milos...We had go to the most beaches in the island the previous daysand we were surprised by the beauty of the island and got the greatest moments.But we were wrong.Capten Andreas had others plans for us.We had arrange with hima trip over Polyaigo,an island near Milos.Was one of the best experience in our lives.I have a lot to say but these things that made all this unique was the incredible sea with turquoise water,the deliciousspaghetti with shrimps inside the vessel cooked by Capten,the wild beautiness of the caves and rocks and of course Capten Andreas with his authentic smile who love this so it cant be less than perfect!Try this and you wont lose for sure!"
3,https://www.tripadvisor.com/Profile/nilsgerlach,August 2020,5,Half a day boat rental,"We had an amazing time on the boat, there was enough space for all of us and the boat was nice and comfortabele."
4,https://www.tripadvisor.com/Profile/Camper546268,August 2020,5,Poliegos plus...,"Andreas was a perfect guide and great cook too. We saw Poliegos for the first time and were totally amazed. After swimming in the most incredible places, we had the perfect lunch, prepared by Andreas. We very much recommend his tours!"
0,https://www.tripadvisor.com/Profile/J9379IAlisae,August 2020,5,Fabulous!!,We had such a wonderful time on this tour! Polyaigos was absolutely stunning and Andreas was was amazing!! He provided us with lots of snacks & refreshments and made us delicious seafood pasta for lunch. Would definitely recommend this trip!! 
1,https://www.tripadvisor.com/Profile/fanimator,August 2020,5,The best way to view Polyaigos,"The trip with with the boat was awesome. We made the tour around Polyaigos and visited the best parts of the island. The waters were so clear, i could see the bottom. We swam with the fish and saw sea turtles. We saw caves and beaches i have never seen on another island. The captain, Andreas was kind, funny and a great cook. He served us traditional delicacies and the best fish soup I have ever eaten. The meal was served onboard in a breath tanking cove at the southern part of Polyaigos. The whole experience was amazing. I will definitely take the tour again."
2,https://www.tripadvisor.com/Profile/nikolettav988,July 2020,5,Astonishing trip,"It was an amazing tour!  Mr Andreas is a great captain! We feel like we are still there, swimming in these crystal waters. The best moment was lunch!!! Captain Andreas was the chief fisherman and we tried to help him to catch fish and then we had a perfect meal with absolutely fresh fish. Almost forgot to mention the traditional treats we enjoyed, like ladenia and watermelon pie (DELICIOUS). Can't wait to visit Milos next year and of course our friend Mr Andreas!"
3,https://www.tripadvisor.com/Profile/lngts,June 2020,5,The best,"One of the best experiences in mylos island.We visited kleftiko beach,all the stuff was very kind.Mr Andreas was very helpful and he guide us in the best beaches of the island... "
4,https://www.tripadvisor.com/Profile/nassosf2017,,5,Navigate around gorgeous Milos!!,"Chartered “Poseidon” as a family with our skipper, captain Andreas! Sailed from picturesque “Pollonia” in the morning, we spent the day touring the southern part of Milos, visiting spectacular beaches, most known the magical one, called “Kleftiko”!!Captain Andreas was a great companion and host making continuously sure that we have everything, from a tasty breakfast to a gourmet-style “fruit de mer” lunch (fresh shrimps, pasta dishes), cooled white wine, etc!!A relaxing and enjoyable day, the best way to explore Milos and see beaches that you can’t reach from land!!! Highly recommended!! "
