,reviewer_profile,date,rating,title,text
0,https://www.tripadvisor.com/Profile/nogah875,October 2020,5,Boat trip with Dimitris,"We had a blast with Dimitris! Spent a full day on his boat traveling from one amazing beach to another. Dimitris spoiled us with food and drinks and taught us about the area and sea life. Our kids (7 and 10) had a joy and loved it so much that we ""had"" to book another day with Dimitris! During the trip I lost my wedding ring in the sea and a day later Dimitris went back to that place and found it which was insane.. I have no idea how he managed to do it and it just shows what a great guy he is and how much he cares! I highly recommend this boat trip!"
1,https://www.tripadvisor.com/Profile/726jadeh,August 2020,5,Best day of our holiday ❤ ,"This was our second trip out with Dimitris and this time we had a 14 year old with us & fair to say we all agreed this was the best day of our holiday (and we're only half way though!) Highlights included snorkeling & watching Dimitris dive for urchins and oysters. Dimitris caught a small octopus that we were able to pet.While on the boat we ate the freshest urchins, oysters, breem, prawns and fruit salad.The whole day was fantastic and I couldn't recommend it enough. "
2,https://www.tripadvisor.com/Profile/rachelhD5718GA,August 2020,5,Best day everrrrrr,"This was hands down our best day of the holiday. Dimitris fed us from the second we stepped aboard the Alexander till the moment we disembarked 8 hours later. We had pastries fresh caught urchins, prawns, sea bream & beautiful fresh fruit platter, the compliment to this was an open bar with water & soft drinks for our teen. We had the most amazing eight hours visiting beautiful beaches inc Lalaria which was breath taking. I would definitely recommend this trip & will definitely be back, thank you Dimitris for making our holiday in Skiathos a memorable one."
3,https://www.tripadvisor.com/Profile/728georgek,August 2020,5,An excursion to remember,"We had our trip 4 days ago with a group of 6. Something you shouldn't miss in Skiathos. A beautiful experience which we love in every second.  We discovered places we haven't been plus we had some stops at Tsugrias and Lalaria. We had beautiful lunch cooked by captain Dimitris and amazing fruits salads.What you will expect is ....swimming at the most beautiful places on Skiathos,  some snorkeling,  delicious meal, drinks and of course dont forget to capture some beautiful skiathos spots. Highly recommend "
4,https://www.tripadvisor.com/Profile/athanasiosk592,August 2020,5,Best day of our vacations,"Me and my girlfriend wanted to have a private relaxed day around Skiathos and the nearby islands as too take fool advantage of the beauty Skiathos has to offer but is accessible only by boat. I spoke with Dimitris on the phone and he was very clear on what our day plan would be.We met in the morning and the amazing experience began! Got our coffee, relaxed on the comfy seats and sailed away... We visited many beaches, caves where we got to swim all the way at the end, had amazing food and live sea food from the bottom of the sea!Dimitris is an amazing captain! We had a lot of fun, interesting discusions and info of the places we visited. After the trip we had a coffee all together and Dimitris helped us taking our staff to the main port as we were going to the mainland the same day and got us a souvenir!!Also it was just me my gf and 2 Italian friends, so it was really relaxed. As I noticed other boats were really crowded and commercial.Next time we will be in Skiathos we will definitely join him for another day in paradise!"
0,https://www.tripadvisor.com/Profile/Garysuid,August 2020,5,Tuna fishing skiathos 2020,"Best experience ever, we went for tuna and got a 30 kilos yellow fin, we had dolphin folowing us as an extra and sashimi as dinner️. Dimitri is the best, long life memories, efraistoume!!"
1,https://www.tripadvisor.com/Profile/353tamara,September 2019,5,Fantastic day!,"We had the best day in Skiathos, Dimitrios is an amazing host, took us to the most beautiful places, natural uncrowned, spoiled us with delicious food - absolutely wonderful day! Highly recommended "
2,https://www.tripadvisor.com/Profile/LucaMartinetto,September 2019,5,It's a MUST HAVE in Skiathos!,"If you're searching for a dedicated fishing trip in a complete relaxed atmosphere, this is the solution!Snorkeling in amazing beaches and perfectly cooked and prepared food complete the overall experience.As I said, it's a MUST HAVE!"
3,https://www.tripadvisor.com/Profile/Firestorm2313,September 2019,5,Best day ever!,"Had a wonderful day with Dimitris while fishing and enjoying beautiful beaches and islands around skiathos. We catch a great fishes and eated them later that day :) definitely most amasing day at Skiathos. Thank you Dimitris, we will come again :)"
4,https://www.tripadvisor.com/Profile/Passport564564,August 2019,5,Best day of our holiday!,"We had the most amazing day with Dimitris. 8 of us ranging from 17-50+++We swam, snorkeled, sunbathed and ate the most wonderful food prepared by Dimitris.It was a full day from 10.30-7.30pm and would recommend the trip to anyone!Thank you Dimitris"
0,https://www.tripadvisor.com/Profile/VickyC2470,September 2019,5,An alternative experience!,"We decide to visit Dimitris for an alternative experience with the fishing boat ""Alexandros""! It was magic! Dimitris is very kind and funny person so we had a great time with him! He has all the equipment for fishing so you didn't need anything extra with you!! I recommend it for sure!!!Thank you Dimitris!"
1,https://www.tripadvisor.com/Profile/Giorgos_alex7,September 2019,5,Just perfect!,"Can’t ask for anything more! Amazing experience for a second time after 2 years. Trip to the best areas and sites around Skiathos plus the excitement and fun of the fishing experience (either for lovers of the hobby or novice). Dimitris is an amazing host, always making you feel welcome, doing his best for your joy and comfort. Boat is specious and sturdy; combined with an experienced seaman offers the most comfortable experience and fun of such a trip. Strongly recommend! Also toddler friendly."
2,https://www.tripadvisor.com/Profile/irini_alexa,September 2019,5,Amazing experience,"After 2 years, we trusted again Dimitris boat for an amazing trip to Tsougrias island. The boat is big enough that although it was windy we didn’t have any problem. We recommend captain Dimitris for a safe and unique experience. He took us for a trip choosing the best route for fishing and amazing scenery. Fully equipped with life jackets even for small children, fishing gear and a fridge full of drinks and snacks.Highly recommended."
3,https://www.tripadvisor.com/Profile/CamembertBedford,July 2019,5,Wonderful day with my son fishing,Firstly Dimitrios the owner and Captain of this boat is a super host and very kind and thoughtful with his guests. You couldn't want for a better fisherman to take you out. The boat is lovely and clean and not too big to be impersonal and not too small to feel cramped. We chartered the day for just my son (6 years old) and I to go out and rod fish and Dimitrios was great with him. Showed him how to fish an helped him. We stopped for a magical swim at a cave on the way back and made superb memories. he 32 fish we caught we took to a local tavern a I had the chef cook them. This was one of the best days of our holiday. We will be back. Make sure you do this trip!
4,https://www.tripadvisor.com/Profile/nataliehL2792AC,August 2019,5,Perfect!,"Dimitris is a very nice host, he makes sure everything is fine, even to prevent from being see sick, he s got a complete pharmacy on board! The breakfast, the pastas he cooked, the salad, the fruit salad were all very fresh, tasty and homemade. He s got a full range of fishing rods to try to catch different kinds of fish. I highly recommand his fishing trips."
0,https://www.tripadvisor.com/Profile/sk8wall,July 2019,5,A day on the ocean,Amazing trip where we visited 5 different islands. Dimitris was a great captain and served great food. The boat was great for spending a whole day. Can truly recommend this cruise.
1,https://www.tripadvisor.com/Profile/helly_hansen_86,July 2019,5,Great trip with the whole family! ,"We had a great day at the sea with skipper Dimitris. Great spots, great service and great food (he even arranged a gluten free alternative for one passenger). He has snorkels onboard for everyone and drinks are included. The boat is clean and cozy.Enjoy! "
2,https://www.tripadvisor.com/Profile/8victor96,July 2019,5,Highlight of the week!,"We had a fantastic day on the with many stops for swimming, snorkeling and exploring. We did not do any fishing but just went out with 6 people to discover Skiathos, Skopelos and some smaller islands. Dimitris was super nice and fixed everything, including fresh delicacies from the ocean, delicious lunch and fresh fruit platter. All in all I would strongly recommend this for any group of people, old or young."
3,https://www.tripadvisor.com/Profile/lindaconstantinax,July 2019,5,Sailing to Skopelos end other places,We had a great time! We visited the most amazing beaches that can’t be approached by car. We also went to skopelos and some of us tried fishing and it was so fun! Great music and very friendly environment. Highly recommended as it doesn’t feel like an experience designed for tourists but like a friend taking you to the nicest places.
4,https://www.tripadvisor.com/Profile/Katliappis,July 2019,5,"Liked it so much, did it twice!","This was my second time going on the trip with Dimitri (my family and I went two years prior) and it was even better than the last time! A beautiful excursion out at sea, fresh-caught sea urchins for lunch (and an amazing fruit plate for dessert!) and snorkeling with Dimitri while he lured in fish for us to see was a “twice” in a lifetime experience. Captain Dimitri is friendly and engaging, and he has constantly worked towards making his experience better every time (something I can personally attest to). If you’re in Skiathos, this is the perfect day-trip!"
0,https://www.tripadvisor.com/Profile/Go337128,September 2018,5,T,"Day spent on a yacht with Dimitrios, This is definitely one of the best exclusive tours you can imagine. We spent about 9 hours on the boat, ate sea delicacies, admired the most beautiful scenery..bathed in a grotto.... met the sunset in a fantastic place! there was an indescribable atmosphere on the yacht!! And amazing music!! And what a delicious fruit salad!!! Thank you for an amazing incredible day!!"
1,https://www.tripadvisor.com/Profile/Curiosity602912,September 2018,5,Best trip ever!!,"Best boat trip we’ve had! Doesn’t matter if only one of you like fishing there is enough to do for everyone! If your not experienced Dimitri is on hand to help! We stopped off for swimming, snorkelling, went to a cave, Dimitri cooked lunch with what had been caught and we had an amazing fruit salad in the afternoon! Tunes were on all day, really friendly boat, we were friends with everyone by the end of the day! Find him by his boat on the new port or at Meltemi coffee shop opposite his boat! Amazing value for money!"
2,https://www.tripadvisor.com/Profile/silverarcher,September 2018,5,Great morning's fishing,This was my 3rd and most successful fishing trip with Dimitris. Every time is a pleasure as Dimitris is great company and really knows how to find a good catch. Spent the morning trolling around Tsgouria island catching many tuna which we later barbecued at home and also caught a small swordfish which was duly released to fight another day!All in all cannot recommend Dimitris enough. Great guy and great day out!
3,https://www.tripadvisor.com/Profile/letiziaormil,August 2018,5,Amazing adventure,"Dimitris is the attraction. We really enjoyed the adventuring experience on boat. Beautiful places and beaches, a tasty fish lunch and a huge  and delicious macedonia.A great company full of a great sense of sharing. Dimitris made all of this more enjoyable thank to his positive and polite attitude. He was one of us in every funny moment.One of the best experience to visit an island through the eyes of a great sailor!"
4,https://www.tripadvisor.com/Profile/holidays3333,May 2018,5,Always on my mind,"Our trip with Dimitris was certainly a highlight! We had a very personal contact. It was a great day and we had so much fun! Love the island, love Dimitris!"
0,https://www.tripadvisor.com/Profile/MartinWJH,September 2018,5,Pirates at Sea,"Fab day’s fishing with the pirate crew & Captain Dimitri. Good music,great food plenty of beer and a basketful of fish to bring home. Cracking time thoroughly recommend!!Thank you Dimitri."
1,https://www.tripadvisor.com/Profile/evakarras1,September 2018,5,best fishing trip ever..he is proffessional!,"one of the best trips i have ever had! Dimitrus is amazing..took us away from the civilization of sporades ..we passed tsougria, tsougradelli, stoped at a small rock seaside beach which he dived and fished ahinous and fouskes with wine and music ...the best !!"
2,https://www.tripadvisor.com/Profile/conia673,September 2018,5,fishing trip amazing,"we had agreat time at dimitris boat. the man is amazing he duved and brought up axinous and petalides as they are called at their islands. so kind and great host ,"
3,https://www.tripadvisor.com/Profile/_F6504UA,September 2018,5,One day trip with dimitris,What an amazing host. He dived and brought pines and ahinous amazing Greek meze for tsipouro. Always with a smile and a great man dimitris. 
4,https://www.tripadvisor.com/Profile/fotist703,September 2018,5,Daily boat trip around Skiathos,"There were many options in the port, but we were looking for something special and different. We got a proposition from our hotel to choose the specific boat with Dimitris as our captain. We didn’t even ask where we were going. We fully trusted Dimitris. The first impression of the boat was excellent.  Special decoration and a very warm welcome from him giving us the feeling we knew each other for long time. We started our trip on time visiting a small island opposite the port. We had time to dive, enjoy the sun and the wild life of the isolated island. Dimitris also dived to our surprise. As we found afterwards, he wanted to collect oysters and sea urchin for our lunch later on. We left the small island enjoying a very delicious croissant on board that Dimitris offered to us. While moving to our second stop we start fishing. In the end we had 2 tuna and a great lunch prepared by our captain. We stopped in super beautiful spots to enjoy our lunch, our drinks and have fun. Dimitris was a unique host. In general, an unforgettable boat trip. Dimitri, thanks a million for everything. U r the besterer"
0,https://www.tripadvisor.com/Profile/manthoshotels,August 2018,5,KEEPS OUR GUESTS ALWAYS HAPPY,"In the beginning of the Summer, our Hotel guests asked from us to recomend a fishing trip or something different that they could do in order to discover the secret beauties of Skiathos island. We also tried to find out...Finally,we found that the best was SFT and Mr. Dimitris from that time we never stoped introducing him to our guests as everybody returned really happy , smiling  and relaxed. Mr Dimitris combines relaxing fishing trips , snorkeling , or private around the island cruises and even visits the other islands of North Sporades. Don't miss out to taste his recipes like : sea urchins, octopus, and traditionally cooked sea fruits"
1,https://www.tripadvisor.com/Profile/151fabianan,August 2018,5,The best of Skiathos!,"It is my second time in Skiathos and my second fishing trip with Dimitris..He is the best guide/fishing instructor in Skiathos /Skópelos.Fun for all levels,kids will have loads of fun,and adults too!Refreshments,fruits and you keep your catch,take to the taverns and have a fantastic meal!For the ones that likes a little bit more challenging,i recomend the night fishing for squid!If you don’t get one squid,you at least have a laught (or get a water squirt right of your face,squids have a very good aim!)No look further,go straight to the New Port and look for Skiathos fishing trip!"
2,https://www.tripadvisor.com/Profile/715evgeniam,July 2018,5,The only way worth seeing Skiathos!,"We didn’t really liked Skiathos until we went on Dimitris boat tour! Starting from the boat and the owner till the view, the unique waters we swam in and the amazing sunset hour, everything was beyond my expectations! I could include sea urchins in the menu for the rest of my life! Absolutely don’t miss the chance to merge into sea life!"
3,https://www.tripadvisor.com/Profile/AlexD4680,July 2018,5,Must do in Skiathos!,"We went on an evening fishing trip around 6:30pm - we saw the sunset and dolphins, caught some fish, saw the lunar eclipse and the rest of the amazing night sky. Straight after the trip, which took us to around 10pm, we went to a restaurant where our fresh fish was cooked for us and it was absolutely delicious. This was such a well thought out trip with refreshments and Dimitri was a great captain. Probably our best evening in Skiathos, I highly recommend it!"
4,https://www.tripadvisor.com/Profile/AnnabelleD_13,July 2018,5,Excellent boat trip,"Can highly recommend our boat trip around Skiathos and Skopelos. Our skipper/guide, Dim, went above and beyond to make sure we had a great day. We stopped multiple times - all stunning locations - and even saw dolphins in the late afternoon. Delicious food with croissants, seafood and fruit, plus ice-cold waters and wine. The boat was simple but a good size for seven of us."
0,https://www.tripadvisor.com/Profile/eiphos_v,July 2018,5,Best trip I’ve ever had!!,Best trip i’ve ever had! We experienced a special day with captain Demetres and his boat. Demetres showed us many hidden beauties of Skiathos that you can only reach by boat. He was very kind and friendly with us and the best guide of the island. He positively surprised us with lots of fresh fruits and aperitifs. At Lalaria beach he served us the freshest sea urchins which he had just fished for us. It was an excellent day! We will definitely come back next summer for this trip with Demetres.
1,https://www.tripadvisor.com/Profile/O7359BH_,July 2018,5,The best relaxing daily trip we had,"We visited Skiathos 1-7/7 and we had the best relaxing trip ever!!! We visit Skiathos every year, but this we found *SFT * We went to Tsougkrias island and the captain dived and gave us to try sea fruits yummy! Then we went to the south part of the island (hidden beaches!!!) We went at the blue and dark cave Not just for photo shooting but for swimming and snorkeling and other boats do not aproach.we went to lalaria on the time that all the boats do not go sooo it was like our prive vip lalaria top top top !!!! Lovely captain friendly an real exceptional dont miss out SFT"
2,https://www.tripadvisor.com/Profile/nary2018,July 2018,5,Blissful afternoon !! ,"Had a fantastic afternoon on the water with captain Dimitris. Toured breathtaking islands near Skiathos, private beaches, to a special spot he knew about for urchins and fouscas (type of oyster) where he proceeded to dive, bring on deck and prepare a feast. HIGHLY recommend! He was professional and easy going the entire journey and had everything to make the trip special including music, cold beer and a fresh fruit platter he made up on the spot. Will remember always  "
3,https://www.tripadvisor.com/Profile/6magdam,July 2018,5,A wonderful fishing trip,We spent 4 hours magnificent with Dimitri. Thank you so much for fishing and for your hospitality!!!
4,https://www.tripadvisor.com/Profile/davidlK2320KL,June 2018,5,Wonderful Experience,Absolutely magical time on the water .... can t say enough good things about Dimitris and his wonderful hospitality. Took us to some wonderful locations in and around the isles of skiathos and skopoles. Charming and so considerate of his guests. Would heartily recommend his company SFT Skiathos Fishing Trips to anyone who might be visiting this area.
0,https://www.tripadvisor.com/Profile/anaghi,August 2017,5,Best boat trip,"We went out on a tour of the island and on a fishing trip with Captain Dimitris last summer and it made our whole trip. The Captain had a keen eye and made sure everyone had a good time. He was a wonderful host. One of us actually did not know how to swim and was afraid to go into deep water ,but the Captain made sure that he too spent time in the water so he took us to a beach where my friend could swim as well and not be afraid of the water being too deep.If you are in Skiathos and want to go on a boat ride to see beautiful landskapes and enjoy yourselves then I highly recommend you to contact Capitain Dimitris !"
1,https://www.tripadvisor.com/Profile/nickl255,June 2018,5,Thank you Captain Dimitri!,"We spent a week in Skiathos and the highlight of our trip was our day on Capt Dimitri’s boat.  He was an amazing host - bringing food for us and even swimming out a fruit platter to the private beach we anchored by.  We got a full tour of the coasts of skopelos - even seeing where Mama Mia was filmed!!! Our 5 yr old son still talks about his buddy Capt Dimitri and asks us to go again.  Without a doubt, will be contacting him again on our next trip to Greece.  "
