username,gender,age,marital_status
-evinaki1994.csv,man,35-49,unknown
0101alexandrosm.csv,woman,35-49,unknown
109DavidW109.csv,woman,['35-49' '50-64'],unknown
136arner.csv,man,35-49,unknown
139ur_aa.csv,man,35-49,unknown
13meeganp.csv,woman,35-49,family
151fabianan.csv,woman,35-49,family
153estherj.csv,woman,35-49,family
162majdib.csv,man,35-49,family
176lefterisl.csv,['man' 'woman'],['35-49' '50-64'],unknown
177eleanas.csv,woman,35-49,unknown
177johnt.csv,woman,35-49,family
180graemek.csv,man,35-49,family
181NeilH.csv,woman,35-49,couple
186maryannep.csv,woman,35-49,couple
18joer.csv,woman,['35-49' '50-64'],family
199chrise.csv,woman,35-49,couple
1Janie.csv,woman,35-49,family
2020Marialena.csv,man,35-49,family
217iinam.csv,woman,35-49,family
226francescop.csv,woman,35-49,family
230mixalism.csv,woman,35-49,unknown
236debim.csv,woman,35-49,family
276mathiast.csv,woman,50-64,couple
281terryh.csv,['man' 'woman'],['35-49' '50-64'],couple
28antoniosk.csv,['man' 'woman'],35-49,family
28kadim.csv,woman,35-49,unknown
294skipt.csv,woman,35-49,unknown
296juhap.csv,man,50-64,family
2risttttt.csv,['man' 'woman'],35-49,family
315sebastianw.csv,woman,35-49,unknown
329katerinac.csv,woman,35-49,family
329paraskevia.csv,man,50-64,unknown
344amers.csv,woman,50-64,unknown
353tamara.csv,woman,35-49,unknown
357jenniferh.csv,woman,35-49,family
369razg.csv,man,35-49,unknown
380samerh.csv,woman,35-49,family
384jinh.csv,woman,50-64,family
386katherinas.csv,woman,50-64,unknown
392SimonS.csv,woman,35-49,family
3llevill.csv,woman,35-49,family
419miket.csv,man,35-49,family
422gavd.csv,man,35-49,family
426jakah.csv,man,35-49,unknown
433ethand.csv,woman,35-49,unknown
440neringap.csv,woman,35-49,family
46danilo29.csv,woman,35-49,unknown
483balana.csv,man,35-49,unknown
534DavidJ.csv,man,35-49,family
542phaedral.csv,man,35-49,family
547deec.csv,woman,35-49,family
568tareks.csv,woman,35-49,unknown
571AlanC571.csv,man,35-49,family
574willg.csv,woman,35-49,unknown
575famk.csv,man,50-64,unknown
575garyn.csv,man,['35-49' '50-64'],family
591selinak.csv,woman,35-49,unknown
597vagelisa.csv,woman,50-64,unknown
601Jude56.csv,woman,50-64,family
618octavianp.csv,woman,35-49,unknown
61JF2016.csv,woman,50-64,unknown
6245gillian.csv,woman,35-49,family
656kirsil.csv,woman,35-49,family
658derekb.csv,man,50-64,family
661adreasm.csv,woman,35-49,unknown
675adrianv.csv,woman,35-49,unknown
679samanthao.csv,woman,50-64,unknown
684dani_lleb.csv,woman,35-49,unknown
692shirleys.csv,woman,35-49,family
6magdam.csv,woman,35-49,unknown
704letib.csv,woman,35-49,unknown
705santas.csv,woman,35-49,family
70reginam.csv,woman,35-49,family
715evgeniam.csv,woman,50-64,unknown
716dimitrist.csv,woman,35-49,unknown
71mastro.csv,man,35-49,unknown
726jadeh.csv,man,35-49,family
728georgek.csv,woman,35-49,couple
736PaulR.csv,woman,35-49,couple
742mindaugasl.csv,woman,35-49,unknown
750deanm.csv,woman,35-49,family
750johannac.csv,woman,35-49,family
768stathist.csv,woman,35-49,unknown
779romans.csv,man,35-49,family
782tessac.csv,woman,50-64,unknown
78chengchengc.csv,woman,35-49,family
798tabitas.csv,woman,35-49,unknown
798williamr.csv,man,50-64,family
803sph.csv,['man' 'woman'],['35-49' '50-64'],couple
807lindseyp.csv,woman,35-49,couple
82colet.csv,woman,35-49,unknown
835hadass.csv,woman,35-49,unknown
838peggyk.csv,woman,35-49,unknown
847julietp.csv,woman,35-49,family
860athinas.csv,woman,35-49,unknown
868lloydd.csv,woman,['35-49' '50-64'],unknown
879sashap.csv,woman,35-49,family
882vikyp.csv,woman,50-64,family
885jacquiep.csv,woman,50-64,family
895lexv.csv,man,50-64,unknown
898glynw.csv,man,50-64,family
8logan8.csv,woman,50-64,unknown
8victor96.csv,woman,35-49,unknown
917lauran.csv,woman,35-49,family
91g_ntherj.csv,woman,35-49,unknown
927dmitrijsu.csv,woman,['35-49' '50-64'],couple
92dominikb.csv,man,50-64,couple
930dimitrise.csv,['man' 'woman'],35-49,family
930lynnx.csv,woman,35-49,unknown
931tammin.csv,woman,35-49,family
939tinneg.csv,woman,50-64,unknown
943vinnief.csv,woman,35-49,family
951naomih.csv,woman,35-49,family
952lindav.csv,woman,50-64,family
953larsg.csv,woman,35-49,unknown
958jackf.csv,man,35-49,unknown
974pippap.csv,woman,50-64,family
